cell_id,pool,H,sel,pos,exit,family,total_signals,entered,n_trades,dropped_slot_full,dropped_limitup,dropped_no_quote,dropped_cash,truncated_no_next,truncated_window,truncated_exhausted,deferred_exits,open_at_end,vol_fallback_mid,p3_atr_fallback,p4_atr_fallback,e4_lot_skip,e7_atr_missing,exits_E0,exits_tp,exits_sl,exits_horizon,exits_trail_tp,exits_scale_out,exits_breakeven_sl,exits_time_stop,exits_chandelier_sl,neg_equity_idx_days,neg_equity_cash_days,signal_days,signal_days_burst,signal_max,p5_days_diluted,p5_days_cashbound,p6_days_diluted,p6_days_cashbound,coverage,capital_utilization,final_equity_cash,final_equity_idx,annualized_cash,annualized_idx,bench_annualized,excess_cash,excess_idx,per_cash,per_idx,sharpe_cash,sharpe_idx,maxdd_cash,maxdd_idx,cluster_t,passed,runtime_sec
ALL__H60__S0__P5__E0,ALL,60,S0,P5,E0,E0,76471,11834,11568,0,461,0,64094,82,213,53,199,266,0,0,0,0,0,11568,0,0,0,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3341.000000,,,0.154751,0.948826,677126.830727,762338.266225,-0.026632,-0.018611,0.031245,-0.057876,-0.049856,-0.060998,-0.052545,-0.007272,0.033119,-0.806773,-0.800106,1.606513,False,9.758000
ALL__H60__S0__P5__E1_A1,ALL,60,S0,P5,E1_A1,E1,76471,23924,23616,0,461,0,52004,82,291,17,1545,308,0,0,0,0,0,0,7091,12210,4315,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3297.000000,,,0.312851,0.649998,480359.075520,377162.401746,-0.049495,-0.065277,0.031245,-0.080739,-0.096522,-0.124214,-0.148496,-0.167252,-0.185381,-0.700147,-0.813011,-0.988102,False,9.328000
ALL__H60__S0__P5__E1_A10,ALL,60,S0,P5,E1_A10,E1,76471,17392,17135,0,461,0,58536,82,237,20,1328,257,0,0,0,0,0,0,2575,9413,5147,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3338.000000,,,0.227433,0.508833,319118.460536,274529.756102,-0.076029,-0.085607,0.031245,-0.107274,-0.116851,-0.210823,-0.229645,-0.289577,-0.276644,-0.791351,-0.847968,-0.369835,False,5.801000
ALL__H60__S0__P5__E1_A11,ALL,60,S0,P5,E1_A11,E1,76471,17718,17376,0,461,0,58210,82,322,20,1201,342,0,0,0,0,0,0,2842,7137,7397,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3343.000000,,,0.231696,0.604172,452462.169024,360424.372018,-0.053424,-0.068210,0.031245,-0.084668,-0.099455,-0.140139,-0.164614,-0.157785,-0.182843,-0.769263,-0.831919,0.139015,False,6.955000
ALL__H60__S0__P5__E1_A12,ALL,60,S0,P5,E1_A12,E1,76471,15901,15589,0,461,0,60027,82,288,24,968,312,0,0,0,0,0,0,2562,4754,8273,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3347.000000,,,0.207935,0.567605,370620.506096,228346.223381,-0.066409,-0.097193,0.031245,-0.097654,-0.128437,-0.172045,-0.226280,-0.221982,-0.308319,-0.788927,-0.870881,-0.486601,False,7.053000
ALL__H60__S0__P5__E1_A2,ALL,60,S0,P5,E1_A2,E1,76471,23903,23501,0,461,0,52025,82,382,20,1362,402,0,0,0,0,0,0,7900,8963,6638,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3309.000000,,,0.312576,0.767415,635298.290535,513432.964199,-0.030919,-0.045103,0.031245,-0.062164,-0.076347,-0.081004,-0.099487,-0.059331,-0.088472,-0.703822,-0.802506,0.232864,False,8.101000
ALL__H60__S0__P5__E1_A3,ALL,60,S0,P5,E1_A3,E1,76471,24191,23688,0,461,0,51737,82,479,24,1205,503,0,0,0,0,0,0,8423,6565,8700,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3312.000000,,,0.316342,0.825235,719555.435245,528280.615289,-0.022528,-0.043216,0.031245,-0.053772,-0.074461,-0.065160,-0.090230,-0.012519,-0.075043,-0.671120,-0.789991,0.930575,False,8.828000
ALL__H60__S0__P5__E1_A4,ALL,60,S0,P5,E1_A4,E1,76471,22069,21732,0,461,0,53859,82,318,19,1430,337,0,0,0,0,0,0,5196,11549,4987,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3307.000000,,,0.288593,0.652689,471848.911866,337892.319154,-0.050670,-0.072365,0.031245,-0.081915,-0.103610,-0.125503,-0.158743,-0.163071,-0.207223,-0.727134,-0.841316,-0.144229,False,6.732000
ALL__H60__S0__P5__E1_A5,ALL,60,S0,P5,E1_A5,E1,76471,22425,21992,0,461,0,53503,82,409,24,1334,433,0,0,0,0,0,0,5849,8672,7471,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3319.000000,,,0.293248,0.780413,693528.057193,566074.690499,-0.025018,-0.038628,0.031245,-0.056262,-0.069873,-0.072093,-0.089533,-0.027489,-0.060723,-0.692464,-0.783255,0.819499,False,7.966000
ALL__H60__S0__P5__E1_A6,ALL,60,S0,P5,E1_A6,E1,76471,21183,20723,0,461,0,54745,82,434,26,1161,460,0,0,0,0,0,0,5686,6005,9032,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3329.000000,,,0.277007,0.715186,596466.492840,452124.976376,-0.035141,-0.053472,0.031245,-0.066386,-0.084717,-0.092823,-0.118454,-0.069978,-0.119360,-0.694647,-0.789243,0.695436,False,8.619000
ALL__H60__S0__P5__E1_A7,ALL,60,S0,P5,E1_A7,E1,76471,19280,18973,0,461,0,56648,82,290,17,1388,307,0,0,0,0,0,0,3613,10267,5093,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3330.000000,,,0.252122,0.549785,379398.225196,324361.065048,-0.064895,-0.074986,0.031245,-0.096139,-0.106231,-0.174867,-0.193223,-0.231312,-0.224442,-0.757517,-0.827860,-0.023040,False,6.160000
ALL__H60__S0__P5__E1_A8,ALL,60,S0,P5,E1_A8,E1,76471,17769,17416,0,461,0,58159,82,334,19,1194,353,0,0,0,0,0,0,3565,7069,6782,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3339.000000,,,0.232363,0.569766,469472.447252,407162.331022,-0.051002,-0.060312,0.031245,-0.082246,-0.091556,-0.144351,-0.160690,-0.153435,-0.157665,-0.744607,-0.808122,-0.041597,False,9.876000
ALL__H60__S0__P5__E1_A9,ALL,60,S0,P5,E1_A9,E1,76471,16798,16429,0,461,0,59130,82,345,24,1023,369,0,0,0,0,0,0,3502,4934,7993,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3343.000000,,,0.219665,0.562765,431493.330286,280814.034774,-0.056528,-0.084173,0.031245,-0.087773,-0.115417,-0.155967,-0.205090,-0.172157,-0.241901,-0.755355,-0.853094,-0.297953,False,4.897000
ALL__H60__S0__P5__E2_B1,ALL,60,S0,P5,E2_B1,E2,76471,20853,20482,0,461,0,55075,82,348,23,1280,371,2001,0,0,0,0,0,5324,8085,7073,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3328.000000,,,0.272692,0.709471,581326.636655,481868.537071,-0.036857,-0.049288,0.031245,-0.068102,-0.080533,-0.095990,-0.113511,-0.088947,-0.111716,-0.709517,-0.791616,0.309595,False,10.340000
ALL__H60__S0__P5__E2_B10,ALL,60,S0,P5,E2_B10,E2,76471,22196,21839,0,461,0,53732,82,338,19,1281,357,1954,0,0,0,0,0,7223,8381,6235,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3319.000000,,,0.290254,0.690904,563345.459096,439993.346690,-0.038950,-0.055253,0.031245,-0.070195,-0.086498,-0.101598,-0.125195,-0.101292,-0.134326,-0.707181,-0.805432,-0.389717,False,10.233000
ALL__H60__S0__P5__E2_B11,ALL,60,S0,P5,E2_B11,E2,76471,17699,17357,0,461,0,58229,82,321,21,1195,342,1952,0,0,0,0,0,3547,7106,6704,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3342.000000,,,0.231447,0.576049,456593.844817,375214.551946,-0.052828,-0.065612,0.031245,-0.084072,-0.096857,-0.145946,-0.168140,-0.161527,-0.178874,-0.768453,-0.831621,0.073208,False,13.578000
ALL__H60__S0__P5__E2_B12,ALL,60,S0,P5,E2_B12,E2,76471,17252,16909,0,461,0,58676,82,322,21,1218,343,2039,0,0,0,0,0,2719,6964,7226,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3344.000000,,,0.225602,0.596701,435189.594689,355944.472691,-0.055971,-0.069017,0.031245,-0.087215,-0.100261,-0.146163,-0.168026,-0.165399,-0.183517,-0.796074,-0.848082,-0.073790,False,13.983000
ALL__H60__S0__P5__E2_B13,ALL,60,S0,P5,E2_B13,E2,76471,21071,20762,0,461,0,54857,82,291,18,1431,309,1702,0,0,0,0,0,4960,11041,4761,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3311.000000,,,0.275542,0.598012,427424.202733,313760.651936,-0.057147,-0.077112,0.031245,-0.088391,-0.108356,-0.147809,-0.181194,-0.194780,-0.226955,-0.736476,-0.840898,-0.250851,False,12.890000
ALL__H60__S0__P5__E2_B14,ALL,60,S0,P5,E2_B14,E2,76471,20484,20059,0,461,0,55444,82,398,27,1150,425,2135,0,0,0,0,0,5450,5814,8795,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3334.000000,,,0.267866,0.694666,538640.322940,419206.310947,-0.041929,-0.058413,0.031245,-0.073174,-0.089658,-0.105337,-0.129066,-0.098911,-0.138085,-0.712218,-0.797998,0.540689,False,16.949000
ALL__H60__S0__P5__E2_B18,ALL,60,S0,P5,E2_B18,E2,76471,21854,21447,0,461,0,54074,82,384,23,1327,407,2008,0,0,0,0,0,5645,8515,7287,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3326.000000,,,0.285782,0.745941,642940.038854,545186.409920,-0.030117,-0.041128,0.031245,-0.061361,-0.072372,-0.082260,-0.097021,-0.052416,-0.072544,-0.702472,-0.784195,0.499637,False,13.707000
ALL__H60__S0__P5__E2_B19,ALL,60,S0,P5,E2_B19,E2,76471,17540,17203,0,461,0,58388,82,315,22,1227,337,2061,0,0,0,0,0,2770,7043,7390,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3345.000000,,,0.229368,0.596478,433787.101437,358667.385323,-0.056182,-0.068525,0.031245,-0.087426,-0.099770,-0.146571,-0.167265,-0.172243,-0.187077,-0.782846,-0.838878,-0.029715,False,9.434000
ALL__H60__S0__P5__E2_B2,ALL,60,S0,P5,E2_B2,E2,76471,20431,20074,0,461,0,55497,82,335,22,1266,357,2010,0,0,0,0,0,5195,7992,6887,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3331.000000,,,0.267173,0.688597,535109.361413,439565.477638,-0.042365,-0.055317,0.031245,-0.073610,-0.086561,-0.106898,-0.125707,-0.118424,-0.141142,-0.722229,-0.802375,-0.027423,False,8.639000
ALL__H60__S0__P5__E2_B20,ALL,60,S0,P5,E2_B20,E2,76471,21630,21226,0,461,0,54298,82,381,23,1278,404,2003,0,0,0,0,0,5531,8425,7270,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3326.000000,,,0.282852,0.748657,625008.900030,524303.395637,-0.032014,-0.043717,0.031245,-0.063259,-0.074961,-0.084496,-0.100128,-0.065884,-0.088951,-0.683729,-0.774744,0.320537,False,11.342000
ALL__H60__S0__P5__E2_B3,ALL,60,S0,P5,E2_B3,E2,76471,22194,21775,0,461,0,53734,82,395,24,1326,419,2020,0,0,0,0,0,5759,8560,7456,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3324.000000,,,0.290228,0.762238,694213.994572,591928.886808,-0.024951,-0.035651,0.031245,-0.056195,-0.066896,-0.073724,-0.087763,-0.026312,-0.047389,-0.686766,-0.774590,0.891609,False,11.774000
ALL__H60__S0__P5__E2_B4,ALL,60,S0,P5,E2_B4,E2,76471,20853,20482,0,461,0,55075,82,348,23,1280,371,2001,0,0,0,0,0,5324,8085,7073,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3328.000000,,,0.272692,0.709471,581326.636655,481868.537071,-0.036857,-0.049288,0.031245,-0.068102,-0.080533,-0.095990,-0.113511,-0.088947,-0.111716,-0.709517,-0.791616,0.309595,False,14.734000
ALL__H60__S0__P5__E2_B5,ALL,60,S0,P5,E2_B5,E2,76471,20853,20482,0,461,0,55075,82,348,23,1280,371,2001,0,0,0,0,0,5324,8085,7073,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3328.000000,,,0.272692,0.709471,581326.636655,481868.537071,-0.036857,-0.049288,0.031245,-0.068102,-0.080533,-0.095990,-0.113511,-0.088947,-0.111716,-0.709517,-0.791616,0.309595,False,14.733000
ALL__H60__S0__P5__E2_B6,ALL,60,S0,P5,E2_B6,E2,76471,22024,21614,0,461,0,53904,82,386,24,1303,410,2020,0,0,0,0,0,5675,8532,7407,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3323.000000,,,0.288005,0.768928,650845.486019,544277.980236,-0.029296,-0.041238,0.031245,-0.060540,-0.072483,-0.078733,-0.094265,-0.050376,-0.075488,-0.670833,-0.763510,0.724707,False,10.619000
ALL__H60__S0__P5__E2_B7,ALL,60,S0,P5,E2_B7,E2,76471,20879,20507,0,461,0,55049,82,349,23,1300,372,2061,0,0,0,0,0,5299,8161,7047,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3328.000000,,,0.273032,0.701836,554658.488006,463999.756897,-0.039983,-0.051772,0.031245,-0.071228,-0.083017,-0.101488,-0.118285,-0.104760,-0.124161,-0.728736,-0.803220,-0.036972,False,15.366000
ALL__H60__S0__P5__E2_B8,ALL,60,S0,P5,E2_B8,E2,76471,20195,19839,0,461,0,55733,82,332,24,1259,356,1974,0,0,0,0,0,5205,7820,6814,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3330.000000,,,0.264087,0.667631,522895.938585,432981.980981,-0.043895,-0.056303,0.031245,-0.075139,-0.087548,-0.112546,-0.131132,-0.122297,-0.141418,-0.722051,-0.799446,0.380306,False,14.703000
ALL__H60__S0__P5__E2_B9,ALL,60,S0,P5,E2_B9,E2,76471,20479,20159,0,461,0,55449,82,299,21,1249,320,1865,0,0,0,0,0,6260,7959,5940,0,0,0,0,0,0,0,3395,1706,488,1706.000000,3335.000000,,,0.267801,0.659810,501238.835831,408853.773825,-0.046691,-0.060042,0.031245,-0.077935,-0.091286,-0.118118,-0.138352,-0.142357,-0.162006,-0.720269,-0.806284,-1.060358,False,14.359000
ALL__H60__S0__P5__E3,ALL,60,S0,P5,E3,E3,76471,18447,18349,0,461,0,57481,82,80,18,7934,98,0,0,0,0,0,0,0,0,547,17802,0,0,0,0,70,0,3395,1706,488,1706.000000,3312.000000,,,0.241229,0.342840,122337.723103,-12435.210364,-0.135368,-1.000000,0.031245,-0.166613,-1.031245,-0.485979,-3.007946,-0.658448,,-0.890730,-1.014858,-5.822947,False,3.294000
ALL__H60__S0__P5__E4,ALL,60,S0,P5,E4,E4,76471,21139,27033,0,461,0,54789,82,327,59,5085,386,0,0,0,5958,0,0,0,0,9665,11088,6280,0,0,0,0,0,3395,1706,488,1706.000000,3334.000000,,,0.276432,0.724909,588482.833610,446116.256333,-0.036041,-0.054349,0.031245,-0.067286,-0.085593,-0.092820,-0.118075,-0.074143,-0.129085,-0.693515,-0.788420,11.317846,False,8.809000
ALL__H60__S0__P5__E5,ALL,60,S0,P5,E5,E5,76471,16443,16282,0,461,0,59485,82,139,22,8345,161,0,0,0,0,0,0,0,0,4564,0,0,11718,0,0,0,0,3395,1706,488,1706.000000,3354.000000,,,0.215023,0.442252,198668.208362,166239.403954,-0.105853,-0.116817,0.031245,-0.137098,-0.148061,-0.309999,-0.334789,-0.429427,-0.421351,-0.879701,-0.910887,-3.364869,False,5.177000
ALL__H60__S0__P5__E6,ALL,60,S0,P5,E6,E6,76471,20603,20400,0,461,0,55325,82,189,14,3155,203,0,0,0,0,0,0,0,0,5993,0,0,0,14407,0,0,0,3395,1706,488,1706.000000,3323.000000,,,0.269422,0.598417,295909.365655,295006.754417,-0.080847,-0.081041,0.031245,-0.112091,-0.112286,-0.187313,-0.187638,-0.156150,-0.135260,-0.843756,-0.849611,-2.475332,False,4.312000
ALL__H60__S0__P5__E7,ALL,60,S0,P5,E7,E7,76471,16597,16429,0,461,0,59331,82,139,29,8770,168,0,0,0,0,0,0,0,0,1627,0,0,0,0,14802,0,0,3395,1706,488,1706.000000,3354.000000,,,0.217037,0.452556,198595.115086,181363.197459,-0.105876,-0.111477,0.031245,-0.137120,-0.142721,-0.302991,-0.315367,-0.394796,-0.375728,-0.868040,-0.890928,-5.117720,False,4.438000
ALL__H60__S0__P6K3__E0,ALL,60,S0,P6K3,E0,E0,76471,13631,13162,0,461,0,62297,82,410,59,267,469,0,0,0,0,0,13162,0,0,0,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3385.000000,0.178251,1.086706,933151.498695,903518.864448,-0.004778,-0.006999,0.031245,-0.036023,-0.038244,-0.033149,-0.035193,0.096194,0.092135,-0.772320,-0.788764,1.523115,False,7.598000
ALL__H60__S0__P6K3__E1_A1,ALL,60,S0,P6K3,E1_A1,E1,76471,22088,21814,0,461,0,53840,82,256,18,1457,274,0,0,0,0,0,0,6608,11194,4012,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3375.000000,0.288842,0.580718,396932.324875,379047.926805,-0.061965,-0.064955,0.031245,-0.093210,-0.096199,-0.160508,-0.165656,-0.221989,-0.185507,-0.744401,-0.803139,-0.775242,False,6.061000
ALL__H60__S0__P6K3__E1_A10,ALL,60,S0,P6K3,E1_A10,E1,76471,15925,15728,0,461,0,60003,82,179,18,1252,197,0,0,0,0,0,0,2332,8639,4757,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3382.000000,0.208249,0.446121,255762.979568,360880.648113,-0.090078,-0.068129,0.031245,-0.121323,-0.099373,-0.271950,-0.222749,-0.343039,-0.209130,-0.826179,-0.810895,-0.592329,False,5.066000
ALL__H60__S0__P6K3__E1_A11,ALL,60,S0,P6K3,E1_A11,E1,76471,13576,13348,0,461,0,62352,82,207,21,1000,228,0,0,0,0,0,0,2146,5458,5744,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3385.000000,0.177531,0.437089,267570.505355,303336.824560,-0.087231,-0.079268,0.031245,-0.118475,-0.110512,-0.271055,-0.252837,-0.278249,-0.218792,-0.859472,-0.861180,-0.362206,False,5.413000
ALL__H60__S0__P6K3__E1_A12,ALL,60,S0,P6K3,E1_A12,E1,76471,13234,12989,0,461,0,62694,82,222,23,860,245,0,0,0,0,0,0,2182,3847,6960,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3388.000000,0.173059,0.445194,291069.934649,285912.335799,-0.081895,-0.083031,0.031245,-0.113140,-0.114276,-0.254137,-0.256688,-0.282790,-0.258945,-0.823782,-0.839229,0.104572,False,5.965000
ALL__H60__S0__P6K3__E1_A2,ALL,60,S0,P6K3,E1_A2,E1,76471,21272,20931,0,461,0,54656,82,320,21,1262,341,0,0,0,0,0,0,7019,7976,5936,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3372.000000,0.278171,0.677545,492845.489459,367387.960238,-0.047804,-0.066975,0.031245,-0.079049,-0.098220,-0.116670,-0.144964,-0.127968,-0.166690,-0.799131,-0.868227,-0.003315,False,5.934000
ALL__H60__S0__P6K3__E1_A3,ALL,60,S0,P6K3,E1_A3,E1,76471,17866,17595,0,461,0,58062,82,248,23,1054,271,0,0,0,0,0,0,6090,4998,6507,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3379.000000,0.233631,0.541630,331218.997208,242946.291221,-0.073646,-0.093311,0.031245,-0.104890,-0.124555,-0.193656,-0.229964,-0.243310,-0.281043,-0.823596,-0.878750,-0.715695,False,9.234000
ALL__H60__S0__P6K3__E1_A4,ALL,60,S0,P6K3,E1_A4,E1,76471,20315,20021,0,461,0,55613,82,275,19,1391,294,0,0,0,0,0,0,4788,10662,4571,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3375.000000,0.265656,0.562531,383258.238967,401522.785539,-0.064239,-0.061218,0.031245,-0.095484,-0.092463,-0.169740,-0.164369,-0.221476,-0.167640,-0.769898,-0.794132,-0.527853,False,6.297000
ALL__H60__S0__P6K3__E1_A5,ALL,60,S0,P6K3,E1_A5,E1,76471,18605,18270,0,461,0,57323,82,312,23,1202,335,0,0,0,0,0,0,4768,7291,6211,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3375.000000,0.243295,0.594303,420523.102971,390746.810097,-0.058209,-0.062985,0.031245,-0.089453,-0.094229,-0.150518,-0.158554,-0.166807,-0.153541,-0.811701,-0.846350,-0.247862,False,8.323000
ALL__H60__S0__P6K3__E1_A6,ALL,60,S0,P6K3,E1_A6,E1,76471,16431,16161,0,461,0,59497,82,247,23,982,270,0,0,0,0,0,0,4293,4837,7031,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3380.000000,0.214866,0.509076,299466.395329,309961.920544,-0.080086,-0.077890,0.031245,-0.111331,-0.109134,-0.218691,-0.214377,-0.266086,-0.228633,-0.832657,-0.843627,-1.083672,False,8.781000
ALL__H60__S0__P6K3__E1_A7,ALL,60,S0,P6K3,E1_A7,E1,76471,17532,17250,0,461,0,58396,82,264,18,1320,282,0,0,0,0,0,0,3314,9316,4620,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3379.000000,0.229263,0.478551,313356.452625,367277.362518,-0.077194,-0.066994,0.031245,-0.108439,-0.098239,-0.226598,-0.205284,-0.281370,-0.198401,-0.786578,-0.799661,-0.063538,False,5.551000
ALL__H60__S0__P6K3__E1_A8,ALL,60,S0,P6K3,E1_A8,E1,76471,13561,13324,0,461,0,62367,82,219,18,972,237,0,0,0,0,0,0,2707,5337,5280,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3382.000000,0.177335,0.411751,260116.539870,225527.803524,-0.089014,-0.097969,0.031245,-0.120259,-0.129213,-0.292066,-0.313814,-0.302390,-0.297773,-0.853770,-0.889025,-0.308467,False,5.048000
ALL__H60__S0__P6K3__E1_A9,ALL,60,S0,P6K3,E1_A9,E1,76471,13107,12867,0,461,0,62821,82,217,23,879,240,0,0,0,0,0,0,2693,3840,6334,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3384.000000,0.171398,0.410706,237087.134258,170739.647289,-0.094842,-0.115182,0.031245,-0.126087,-0.146427,-0.307000,-0.356524,-0.312961,-0.347405,-0.857243,-0.904143,-0.645669,False,6.115000
ALL__H60__S0__P6K3__E2_B1,ALL,60,S0,P6K3,E2_B1,E2,76471,17225,16928,0,461,0,58703,82,274,23,1104,297,1770,0,0,0,0,0,4404,6689,5835,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3381.000000,0.225249,0.541419,360688.153645,388480.746857,-0.068163,-0.063362,0.031245,-0.099408,-0.094607,-0.183606,-0.174738,-0.213376,-0.161879,-0.830339,-0.845345,-0.073322,False,8.666000
ALL__H60__S0__P6K3__E2_B10,ALL,60,S0,P6K3,E2_B10,E2,76471,19169,18869,0,461,0,56759,82,280,20,1187,300,1772,0,0,0,0,0,6239,7161,5469,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3375.000000,0.250670,0.568351,408363.409762,331178.818105,-0.060120,-0.073653,0.031245,-0.091364,-0.104898,-0.160754,-0.184565,-0.179725,-0.189555,-0.807058,-0.864615,-0.471048,False,13.226000
ALL__H60__S0__P6K3__E2_B11,ALL,60,S0,P6K3,E2_B11,E2,76471,12699,12510,0,461,0,63229,82,170,19,949,189,1683,0,0,0,0,0,2468,5094,4948,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3384.000000,0.166063,0.388320,212082.557699,291780.919653,-0.101799,-0.081740,0.031245,-0.133044,-0.112985,-0.342614,-0.290958,-0.357014,-0.246122,-0.890267,-0.873497,-0.972283,False,6.697000
ALL__H60__S0__P6K3__E2_B12,ALL,60,S0,P6K3,E2_B12,E2,76471,13619,13385,0,461,0,62309,82,212,22,1016,234,1717,0,0,0,0,0,2107,5496,5782,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3385.000000,0.178094,0.444254,264587.670810,319878.638267,-0.087939,-0.075877,0.031245,-0.119183,-0.107122,-0.268277,-0.241127,-0.275793,-0.203041,-0.875061,-0.869153,-0.558201,False,11.149000
ALL__H60__S0__P6K3__E2_B13,ALL,60,S0,P6K3,E2_B13,E2,76471,19628,19332,0,461,0,56300,82,278,18,1367,296,1606,0,0,0,0,0,4610,10302,4420,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3381.000000,0.256672,0.534808,351186.035949,407772.981807,-0.069884,-0.060214,0.031245,-0.101128,-0.091459,-0.189093,-0.171012,-0.248691,-0.167499,-0.784754,-0.786112,-0.391061,False,7.990000
ALL__H60__S0__P6K3__E2_B14,ALL,60,S0,P6K3,E2_B14,E2,76471,16736,16421,0,461,0,59192,82,291,24,1004,315,1924,0,0,0,0,0,4381,4836,7204,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3385.000000,0.218854,0.521005,346588.737513,400058.256201,-0.070732,-0.061456,0.031245,-0.101976,-0.092700,-0.195730,-0.177926,-0.222759,-0.161049,-0.812351,-0.807699,-0.350705,False,9.253000
ALL__H60__S0__P6K3__E2_B18,ALL,60,S0,P6K3,E2_B18,E2,76471,18084,17758,0,461,0,57844,82,303,23,1143,326,1823,0,0,0,0,0,4619,7039,6100,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3377.000000,0.236482,0.564665,402248.115455,404635.700455,-0.061101,-0.060716,0.031245,-0.092346,-0.091961,-0.163541,-0.162859,-0.177533,-0.144926,-0.814797,-0.839858,-0.032735,False,12.746000
ALL__H60__S0__P6K3__E2_B19,ALL,60,S0,P6K3,E2_B19,E2,76471,13416,13216,0,461,0,62512,82,178,22,1010,200,1739,0,0,0,0,0,2087,5411,5718,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3385.000000,0.175439,0.428572,242434.468163,289646.647147,-0.093443,-0.082207,0.031245,-0.124688,-0.113452,-0.290938,-0.264720,-0.305372,-0.232689,-0.870846,-0.868373,-0.493243,False,6.568000
ALL__H60__S0__P6K3__E2_B2,ALL,60,S0,P6K3,E2_B2,E2,76471,16613,16320,0,461,0,59315,82,272,21,1117,293,1731,0,0,0,0,0,4234,6424,5662,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3383.000000,0.217246,0.520404,344989.883545,378043.875275,-0.071029,-0.065126,0.031245,-0.102274,-0.096371,-0.196528,-0.185185,-0.223938,-0.168160,-0.834247,-0.847109,-0.190255,False,8.371000
ALL__H60__S0__P6K3__E2_B20,ALL,60,S0,P6K3,E2_B20,E2,76471,18685,18349,0,461,0,57243,82,314,22,1240,336,1833,0,0,0,0,0,4728,7350,6271,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3380.000000,0.244341,0.609194,448964.858201,380070.855764,-0.053932,-0.064780,0.031245,-0.085176,-0.096025,-0.139818,-0.157626,-0.148366,-0.157264,-0.786760,-0.842573,-0.434621,False,9.214000
ALL__H60__S0__P6K3__E2_B3,ALL,60,S0,P6K3,E2_B3,E2,76471,18591,18259,0,461,0,57337,82,309,23,1187,332,1851,0,0,0,0,0,4799,7191,6269,0,0,0,0,0,0,0,3395,1706,488,,,2693.000000,3376.000000,0.243112,0.589535,426932.984669,417744.178766,-0.057222,-0.058641,0.031245,-0.088466,-0.089885,-0.150061,-0.152468,-0.160767,-0.135601,-0.806122,-0.837387,0.261817,False,9.175000
