date,long_return,short_return,portfolio_return,cost,net_return,capital,month
2022-01-04,0.06649,-0.10894,0.08771499999999999,0.0026,0.08511499999999998,1085115.0,2022-01
2022-01-07,0.14579,-0.11366999999999998,0.12972999999999998,0.0026,0.12713,1223065.66995,2022-01
2022-01-12,0.03525,-0.08975,0.0625,0.0026,0.0599,1296327.3035800052,2022-01
2022-01-17,0.10144,-0.1345,0.11797,0.0026,0.11537,1445884.5845940304,2022-01
2022-01-20,0.1278,-0.17851,0.15315499999999999,0.0026,0.150555,1663569.7382275846,2022-01
2022-01-25,0.14403,-0.17233,0.15818,0.0026,0.15558,1922387.9181010323,2022-01
2022-01-28,0.14999999999999997,-0.13166999999999998,0.140835,0.0026,0.138235,2188129.211959728,2022-01
2022-02-09,0.03915,-0.06504,0.052095,0.0026,0.049495000000000004,2296430.667305675,2022-02
2022-02-14,0.14999999999999997,-0.04049,0.09524499999999998,0.0026,0.09264499999999998,2509183.4864782095,2022-02
2022-02-17,0.09895,-0.06026,0.079605,0.0026,0.07700499999999999,2702403.160854464,2022-02
2022-02-22,0.14999999999999997,-0.08534,0.11766999999999998,0.0026,0.11506999999999998,3013368.692573987,2022-02
2022-02-25,0.13011,-0.09792000000000001,0.114015,0.0026,0.111415,3349103.165457118,2022-02
2022-03-02,0.021339999999999998,-0.16834,0.09484,0.0026,0.09223999999999999,3658024.441438882,2022-03
2022-03-07,0.14999999999999997,-0.1266,0.13829999999999998,0.0026,0.1357,4154418.358142138,2022-03
2022-03-10,0.0804,-0.14307999999999998,0.11173999999999999,0.0026,0.10913999999999999,4607831.577749771,2022-03
2022-03-15,0.14999999999999997,-0.030180000000000002,0.09008999999999999,0.0026,0.08748999999999998,5010970.762487099,2022-03
2022-03-18,0.07898,-0.02787,0.053425,0.0026,0.050825,5265653.351490505,2022-03
2022-03-23,0.07366,-0.12398,0.09882,0.0026,0.09622,5772314.516970921,2022-03
2022-03-28,0.14999999999999997,-0.17543999999999998,0.16271999999999998,0.0026,0.16011999999999998,6696577.517428305,2022-03
2022-03-31,0.14999999999999997,-0.12025999999999999,0.13512999999999997,0.0026,0.13252999999999998,7584074.935813079,2022-03
2022-04-07,0.14999999999999997,-0.16031,0.155155,0.0026,0.152555,8741063.487646043,2022-04
2022-04-12,0.13918999999999998,-0.13219,0.13568999999999998,0.0026,0.13308999999999999,9904411.627216855,2022-04
2022-04-15,0.14999999999999997,-0.18868000000000001,0.16934,0.0026,0.16674,11555873.221938992,2022-04
2022-04-20,0.08922,-0.18786,0.13854,0.0026,0.13594,13126778.627729379,2022-04
2022-04-25,0.14999999999999997,-0.32266,0.23632999999999998,0.0026,0.23373,16194900.596388565,2022-04
2022-04-28,0.14999999999999997,-0.16518000000000002,0.15759,0.0026,0.15499000000000002,18704948.239822827,2022-04
2022-05-06,0.14767999999999998,-0.00458,0.07612999999999999,0.0026,0.07352999999999998,20080323.083897,2022-05
2022-05-16,0.10230000000000002,-0.11144000000000001,0.10687000000000002,0.0026,0.10427000000000002,22174098.37185494,2022-05
2022-05-19,0.14083999999999997,-0.10939999999999998,0.12511999999999998,0.0026,0.12251999999999998,24890868.904374603,2022-05
2022-05-24,0.14999999999999997,-0.25084999999999996,0.20042499999999996,0.0026,0.19782499999999997,29814905.045382507,2022-05
2022-05-27,0.14999999999999997,-0.18213,0.16606499999999996,0.0026,0.16346499999999997,34688598.49862596,2022-05
2022-06-01,0.14113,-0.10368,0.122405,0.0026,0.119805,38844466.041753836,2022-06
2022-06-07,0.09613000000000001,-0.07818,0.08715500000000001,0.0026,0.084555,42128959.86791433,2022-06
2022-06-10,0.13974999999999999,-0.04614,0.092945,0.0026,0.090345,45935100.74718104,2022-06
