cell_id,pool,H,sel,pos,exit,family,total_signals,entered,n_trades,dropped_slot_full,dropped_limitup,dropped_no_quote,dropped_cash,truncated_no_next,truncated_window,truncated_exhausted,deferred_exits,open_at_end,vol_fallback_mid,p3_atr_fallback,p4_atr_fallback,e4_lot_skip,e7_atr_missing,exits_E0,exits_tp,exits_sl,exits_horizon,exits_trail_tp,exits_scale_out,exits_breakeven_sl,exits_time_stop,exits_chandelier_sl,neg_equity_idx_days,neg_equity_cash_days,signal_days,signal_days_burst,signal_max,p5_days_diluted,p5_days_cashbound,coverage,capital_utilization,final_equity_cash,final_equity_idx,annualized_cash,annualized_idx,bench_annualized,excess_cash,excess_idx,per_cash,per_idx,sharpe_cash,sharpe_idx,maxdd_cash,maxdd_idx,cluster_t,passed,runtime_sec
ALL__H10__S0__P5__E0,ALL,10,S0,P5,E0,E0,76471,13734,13609,0,461,0,62194,82,117,8,209,125,0,0,0,0,0,13609,0,0,0,0,0,0,0,0,94,0,3395,1706,488,1706,3207,0.179597,0.368187,140012.679276,-12956.604063,-0.127253,-1.000000,0.031245,-0.158497,-1.031245,-0.430480,-2.800873,-0.474224,,-0.876846,-1.021832,-2.246227,False,1.815000
ALL__H10__S0__P5__E1_A1,ALL,10,S0,P5,E1_A1,E1,76471,19380,19326,0,461,0,56548,82,42,12,588,54,0,0,0,0,0,0,1220,3604,14502,0,0,0,0,0,0,0,3395,1706,488,1706,3244,0.253429,0.244860,94279.726850,18348.933122,-0.150823,-0.241792,0.031245,-0.182068,-0.273036,-0.743557,-1.115070,-0.488190,-0.585756,-0.913596,-0.987998,-5.409351,False,3.209000
ALL__H10__S0__P5__E1_A10,ALL,10,S0,P5,E1_A10,E1,76471,14966,14949,0,461,0,60962,82,6,11,500,17,0,0,0,0,0,0,199,2764,11986,0,0,0,0,0,0,0,3395,1706,488,1706,3238,0.195708,0.222010,50195.864552,3580.732756,-0.187083,-0.322889,0.031245,-0.218327,-0.354134,-0.983415,-1.595130,-0.685519,-0.404021,-0.951572,-0.999047,-5.561270,False,2.718000
ALL__H10__S0__P5__E1_A11,ALL,10,S0,P5,E1_A11,E1,76471,17144,17062,0,461,0,58784,82,69,13,398,82,0,0,0,0,0,0,259,1457,15346,0,0,0,0,0,486,0,3395,1706,488,1706,3193,0.224190,0.353894,158786.496087,-51908.420461,-0.119617,-1.000000,0.031245,-0.150861,-1.031245,-0.426290,-2.913991,-0.474878,,-0.874970,-1.052409,-3.147221,False,2.072000
ALL__H10__S0__P5__E1_A12,ALL,10,S0,P5,E1_A12,E1,76471,16483,16420,0,461,0,59445,82,48,15,396,63,0,0,0,0,0,0,262,785,15373,0,0,0,0,0,0,0,3395,1706,488,1706,3197,0.215546,0.354371,119019.408699,45620.765961,-0.137013,-0.192444,0.031245,-0.168257,-0.223688,-0.474806,-0.631227,-0.423861,-0.463189,-0.900685,-0.966632,-3.550013,False,2.059000
ALL__H10__S0__P5__E1_A2,ALL,10,S0,P5,E1_A2,E1,76471,23185,23096,0,461,0,52743,82,75,14,470,89,0,0,0,0,0,0,1553,1918,19625,0,0,0,0,0,0,0,3395,1706,488,1706,3175,0.303187,0.397483,253091.195742,39336.037436,-0.090739,-0.200688,0.031245,-0.121984,-0.231933,-0.306891,-0.583504,-0.274252,-0.380187,-0.795073,-0.982527,-3.043980,False,2.441000
ALL__H10__S0__P5__E1_A3,ALL,10,S0,P5,E1_A3,E1,76471,23481,23388,0,461,0,52447,82,79,14,415,93,0,0,0,0,0,0,1549,877,20962,0,0,0,0,0,0,0,3395,1706,488,1706,3195,0.307058,0.386650,223109.761909,15539.078292,-0.098642,-0.250467,0.031245,-0.129886,-0.281711,-0.335927,-0.728595,-0.301013,0.078646,-0.811191,-0.998996,-2.769361,False,2.628000
ALL__H10__S0__P5__E1_A4,ALL,10,S0,P5,E1_A4,E1,76471,16953,16899,0,461,0,58975,82,42,12,506,54,0,0,0,0,0,0,594,3177,13128,0,0,0,0,0,0,0,3395,1706,488,1706,3236,0.221692,0.234924,68698.061663,32861.895967,-0.169230,-0.210578,0.031245,-0.200475,-0.241822,-0.853360,-1.029364,-0.572651,-0.600904,-0.935844,-0.971695,-5.624736,False,2.948000
ALL__H10__S0__P5__E1_A5,ALL,10,S0,P5,E1_A5,E1,76471,19205,19122,0,461,0,56723,82,69,14,444,83,0,0,0,0,0,0,679,1753,16690,0,0,0,0,0,219,0,3395,1706,488,1706,3202,0.251141,0.357661,128157.237411,-29922.388514,-0.132582,-1.000000,0.031245,-0.163827,-1.031245,-0.458050,-2.883299,-0.581844,,-0.895591,-1.027692,-4.507329,False,2.239000
ALL__H10__S0__P5__E1_A6,ALL,10,S0,P5,E1_A6,E1,76471,18491,18411,0,461,0,57437,82,67,13,420,80,0,0,0,0,0,0,632,808,16971,0,0,0,0,0,101,0,3395,1706,488,1706,3209,0.241804,0.342134,99369.917284,-15736.676462,-0.147726,-1.000000,0.031245,-0.178971,-1.031245,-0.523101,-3.014155,-0.556939,,-0.913587,-1.018594,-4.220192,False,2.211000
ALL__H10__S0__P5__E1_A7,ALL,10,S0,P5,E1_A7,E1,76471,15282,15269,0,461,0,60646,82,2,11,510,13,0,0,0,0,0,0,335,2816,12118,0,0,0,0,0,248,0,3395,1706,488,1706,3243,0.199840,0.223191,50686.489602,-6840.682346,-0.186535,-1.000000,0.031245,-0.217780,-1.031245,-0.975757,-4.620463,-0.746887,,-0.950766,-1.010387,-4.984714,False,2.746000
ALL__H10__S0__P5__E1_A8,ALL,10,S0,P5,E1_A8,E1,76471,18207,18103,0,461,0,57721,82,91,13,420,104,0,0,0,0,0,0,398,1552,16153,0,0,0,0,0,819,0,3395,1706,488,1706,3198,0.238090,0.334906,93761.496948,-122505.289647,-0.151147,-1.000000,0.031245,-0.182392,-1.031245,-0.544606,-3.079210,-0.614372,,-0.925505,-1.102080,-4.236970,False,3.223000
ALL__H10__S0__P5__E1_A9,ALL,10,S0,P5,E1_A9,E1,76471,18419,18332,0,461,0,57509,82,77,10,383,87,0,0,0,0,0,0,423,885,17024,0,0,0,0,0,58,0,3395,1706,488,1706,3214,0.240863,0.335642,107984.761513,-630.750703,-0.142806,-1.000000,0.031245,-0.174051,-1.031245,-0.518560,-3.072450,-0.529741,,-0.906964,-1.008001,-4.454444,False,2.004000
ALL__H10__S0__P5__E2_B1,ALL,10,S0,P5,E2_B1,E2,76471,18701,18572,0,461,0,57227,82,115,14,460,129,547,0,0,0,0,0,635,1582,16355,0,0,0,0,0,608,0,3395,1706,488,1706,3194,0.244550,0.356878,159790.417549,-121708.903192,-0.119233,-1.000000,0.031245,-0.150477,-1.031245,-0.421649,-2.889631,-0.491782,,-0.867259,-1.106808,-3.512413,False,2.492000
ALL__H10__S0__P5__E2_B10,ALL,10,S0,P5,E2_B10,E2,76471,23565,23490,0,461,0,52363,82,60,15,558,75,609,0,0,0,0,0,1495,2007,19988,0,0,0,0,0,0,0,3395,1706,488,1706,3185,0.308156,0.404110,238333.178860,21224.868558,-0.094513,-0.234110,0.031245,-0.125758,-0.265355,-0.311198,-0.656641,-0.283807,-0.198932,-0.814977,-0.996709,-3.320114,False,3.365000
ALL__H10__S0__P5__E2_B11,ALL,10,S0,P5,E2_B11,E2,76471,17297,17214,0,461,0,58631,82,68,15,444,83,534,0,0,0,0,0,360,1372,15482,0,0,0,0,0,1084,0,3395,1706,488,1706,3197,0.226190,0.333800,86336.364231,-192217.396512,-0.155982,-1.000000,0.031245,-0.187226,-1.031245,-0.560893,-3.089408,-0.655394,,-0.929976,-1.166110,-3.692810,False,3.982000
ALL__H10__S0__P5__E2_B12,ALL,10,S0,P5,E2_B12,E2,76471,15795,15726,0,461,0,60133,82,57,12,394,69,511,0,0,0,0,0,220,1359,14147,0,0,0,0,0,1531,0,3395,1706,488,1706,3205,0.206549,0.300151,84164.400955,-149937.744041,-0.157469,-1.000000,0.031245,-0.188714,-1.031245,-0.628730,-3.435757,-0.687044,,-0.925743,-1.134464,-4.001863,False,3.782000
ALL__H10__S0__P5__E2_B13,ALL,10,S0,P5,E2_B13,E2,76471,16096,16073,0,461,0,59832,82,11,12,514,23,459,0,0,0,0,0,540,2903,12630,0,0,0,0,0,410,0,3395,1706,488,1706,3221,0.210485,0.238362,55990.157531,-22030.797740,-0.180912,-1.000000,0.031245,-0.212156,-1.031245,-0.890057,-4.326375,-0.823840,,-0.946211,-1.026095,-5.306421,False,3.669000
ALL__H10__S0__P5__E2_B14,ALL,10,S0,P5,E2_B14,E2,76471,19734,19659,0,461,0,56194,82,58,17,423,75,582,0,0,0,0,0,700,869,18090,0,0,0,0,0,0,0,3395,1706,488,1706,3193,0.258059,0.375497,165094.960180,61401.003663,-0.117239,-0.175664,0.031245,-0.148484,-0.206908,-0.395432,-0.551024,-0.415296,-0.485998,-0.861987,-0.959339,-3.543681,False,4.523000
ALL__H10__S0__P5__E2_B18,ALL,10,S0,P5,E2_B18,E2,76471,19215,19079,0,461,0,56713,82,120,16,430,136,546,0,0,0,0,0,654,1671,16754,0,0,0,0,0,434,0,3395,1706,488,1706,3193,0.251272,0.363984,146617.152344,-60911.060525,-0.124463,-1.000000,0.031245,-0.155708,-1.031245,-0.427788,-2.833216,-0.528733,,-0.883667,-1.054573,-4.212550,False,3.840000
ALL__H10__S0__P5__E2_B19,ALL,10,S0,P5,E2_B19,E2,76471,17180,17119,0,461,0,58748,82,45,16,450,61,541,0,0,0,0,0,237,1570,15312,0,0,0,0,0,526,0,3395,1706,488,1706,3191,0.224660,0.337458,119225.603155,-54988.884342,-0.136909,-1.000000,0.031245,-0.168154,-1.031245,-0.498296,-3.055921,-0.581413,,-0.902767,-1.049663,-4.648025,False,2.601000
ALL__H10__S0__P5__E2_B2,ALL,10,S0,P5,E2_B2,E2,76471,17901,17820,0,461,0,58027,82,63,18,492,81,539,0,0,0,0,0,602,1607,15611,0,0,0,0,0,663,0,3395,1706,488,1706,3199,0.234089,0.329764,109101.530432,-85902.840986,-0.142196,-1.000000,0.031245,-0.173440,-1.031245,-0.525952,-3.127221,-0.625451,,-0.906815,-1.075512,-4.633237,False,2.583000
ALL__H10__S0__P5__E2_B20,ALL,10,S0,P5,E2_B20,E2,76471,18853,18785,0,461,0,57075,82,55,13,529,68,557,0,0,0,0,0,665,1740,16380,0,0,0,0,0,591,0,3395,1706,488,1706,3207,0.246538,0.324343,112639.084754,-78087.161611,-0.140298,-1.000000,0.031245,-0.171543,-1.031245,-0.528894,-3.179490,-0.617352,,-0.901126,-1.072567,-5.222287,False,2.816000
ALL__H10__S0__P5__E2_B3,ALL,10,S0,P5,E2_B3,E2,76471,19180,19066,0,461,0,56748,82,100,14,459,114,546,0,0,0,0,0,631,1737,16698,0,0,0,0,0,407,0,3395,1706,488,1706,3196,0.250814,0.363660,138169.424607,-51963.155357,-0.128053,-1.000000,0.031245,-0.159298,-1.031245,-0.438040,-2.835737,-0.555217,,-0.888570,-1.045357,-4.691377,False,2.798000
ALL__H10__S0__P5__E2_B4,ALL,10,S0,P5,E2_B4,E2,76471,18701,18572,0,461,0,57227,82,115,14,460,129,547,0,0,0,0,0,635,1582,16355,0,0,0,0,0,608,0,3395,1706,488,1706,3194,0.244550,0.356878,159790.417549,-121708.903192,-0.119233,-1.000000,0.031245,-0.150477,-1.031245,-0.421649,-2.889631,-0.491782,,-0.867259,-1.106808,-3.512413,False,2.757000
ALL__H10__S0__P5__E2_B5,ALL,10,S0,P5,E2_B5,E2,76471,18701,18572,0,461,0,57227,82,115,14,460,129,547,0,0,0,0,0,635,1582,16355,0,0,0,0,0,608,0,3395,1706,488,1706,3194,0.244550,0.356878,159790.417549,-121708.903192,-0.119233,-1.000000,0.031245,-0.150477,-1.031245,-0.421649,-2.889631,-0.491782,,-0.867259,-1.106808,-3.512413,False,1.985000
ALL__H10__S0__P5__E2_B6,ALL,10,S0,P5,E2_B6,E2,76471,18529,18416,0,461,0,57399,82,96,17,463,113,543,0,0,0,0,0,614,1631,16171,0,0,0,0,0,873,0,3395,1706,488,1706,3212,0.242301,0.317609,110154.431969,-85856.318455,-0.141625,-1.000000,0.031245,-0.172870,-1.031245,-0.544284,-3.246901,-0.606246,,-0.902407,-1.079507,-4.868027,False,2.753000
ALL__H10__S0__P5__E2_B7,ALL,10,S0,P5,E2_B7,E2,76471,19820,19769,0,461,0,56108,82,35,16,481,51,574,0,0,0,0,0,685,1690,17394,0,0,0,0,0,364,0,3395,1706,488,1706,3189,0.259183,0.381991,211551.023082,-45950.523340,-0.101955,-1.000000,0.031245,-0.133200,-1.031245,-0.348699,-2.699659,-0.403073,,-0.837223,-1.054463,-3.506877,False,4.463000
ALL__H10__S0__P5__E2_B8,ALL,10,S0,P5,E2_B8,E2,76471,19846,19730,0,461,0,56082,82,101,15,513,116,581,0,0,0,0,0,663,1770,17297,0,0,0,0,0,553,0,3395,1706,488,1706,3200,0.259523,0.356319,146305.944651,-69417.576626,-0.124592,-1.000000,0.031245,-0.155837,-1.031245,-0.437352,-2.894163,-0.540637,,-0.876148,-1.063019,-4.520604,False,4.413000
ALL__H10__S0__P5__E2_B9,ALL,10,S0,P5,E2_B9,E2,76471,19969,19865,0,461,0,55959,82,92,12,449,104,565,0,0,0,0,0,989,1645,17231,0,0,0,0,0,585,0,3395,1706,488,1706,3179,0.261132,0.361031,122158.246267,-96635.463772,-0.135456,-1.000000,0.031245,-0.166701,-1.031245,-0.461736,-2.856390,-0.441701,,-0.900593,-1.085517,-4.021034,False,4.480000
ALL__H10__S0__P5__E3,ALL,10,S0,P5,E3,E3,76471,17598,17558,0,461,0,58330,82,28,12,6526,40,0,0,0,0,0,0,0,0,11545,6013,0,0,0,0,464,0,3395,1706,488,1706,3227,0.230126,0.234447,50047.836685,-26425.291659,-0.187249,-1.000000,0.031245,-0.218494,-1.031245,-0.931955,-4.398631,-0.596819,,-0.952159,-1.029863,-6.234937,False,1.940000
ALL__H10__S0__P5__E4,ALL,10,S0,P5,E4,E4,76471,20368,23063,0,461,0,55560,82,47,18,3214,65,0,0,0,1373,0,0,0,0,19014,1289,2760,0,0,0,2,0,3395,1706,488,1706,3235,0.266349,0.335649,141783.761738,13097.554440,-0.126493,-0.259284,0.031245,-0.157737,-0.290529,-0.469948,-0.865574,-0.548654,,-0.870934,-1.000990,3.509128,False,3.186000
ALL__H10__S0__P5__E5,ALL,10,S0,P5,E5,E5,76471,15819,15784,0,461,0,60109,82,22,13,4392,35,0,0,0,0,0,0,0,0,12988,0,0,2796,0,0,0,0,3395,1706,488,1706,3242,0.206863,0.231732,55688.638022,28477.580360,-0.181218,-0.218365,0.031245,-0.212462,-0.249609,-0.916846,-1.077149,-0.835615,-0.807404,-0.947266,-0.975114,-6.173006,False,1.601000
ALL__H10__S0__P5__E6,ALL,10,S0,P5,E6,E6,76471,31942,31895,0,461,0,43986,82,32,15,4596,47,0,0,0,0,0,0,0,0,9963,0,0,0,21932,0,0,0,3395,1706,488,1706,3175,0.417701,0.375223,120675.747510,7972.406577,-0.136187,-0.284309,0.031245,-0.167431,-0.315554,-0.446218,-0.840975,-0.326896,0.026957,-0.923052,-0.999628,-4.559047,False,2.772000
ALL__H10__S0__P5__E7,ALL,10,S0,P5,E7,E7,76471,16864,16818,0,461,0,59064,82,31,15,2674,46,0,0,0,0,0,0,0,0,14965,0,0,0,0,1853,64,0,3395,1706,488,1706,3191,0.220528,0.374984,151737.532272,-2170.159082,-0.122380,-1.000000,0.031245,-0.153625,-1.031245,-0.409683,-2.750099,-0.480921,,-0.880361,-1.013580,-2.699049,False,2.247000
ALL__H20__S0__P5__E0,ALL,20,S0,P5,E0,E0,76471,13533,13492,0,461,0,62395,82,17,24,241,41,0,0,0,0,0,13492,0,0,0,0,0,0,0,0,0,0,3395,1706,488,1706,3300,0.176969,0.540177,441375.275998,496076.729446,-0.055048,-0.047374,0.031245,-0.086292,-0.078618,-0.159748,-0.145541,-0.071324,-0.031025,-0.703735,-0.720418,0.576422,False,3.043000
ALL__H20__S0__P5__E1_A1,ALL,20,S0,P5,E1_A1,E1,76471,25370,25261,0,461,0,50558,82,95,14,1022,109,0,0,0,0,0,0,3631,8084,13546,0,0,0,0,0,0,0,3395,1706,488,1706,3258,0.331760,0.502315,212253.664350,72500.897564,-0.101749,-0.166125,0.031245,-0.132994,-0.197370,-0.264762,-0.392921,-0.243703,-0.365667,-0.870354,-0.963328,-2.142602,False,5.920000
ALL__H20__S0__P5__E1_A10,ALL,20,S0,P5,E1_A10,E1,76471,20669,20571,0,461,0,55259,82,81,17,923,98,0,0,0,0,0,0,949,6816,12806,0,0,0,0,0,0,0,3395,1706,488,1706,3271,0.270285,0.456317,167182.198409,142651.656281,-0.116471,-0.126124,0.031245,-0.147715,-0.157368,-0.323713,-0.344866,-0.395206,-0.375341,-0.875731,-0.917072,-2.339172,False,4.941000
ALL__H20__S0__P5__E1_A11,ALL,20,S0,P5,E1_A11,E1,76471,17379,17285,0,461,0,58549,82,74,20,683,94,0,0,0,0,0,0,790,3196,13299,0,0,0,0,0,0,0,3395,1706,488,1706,3308,0.227263,0.379191,169029.753941,103761.761854,-0.115798,-0.145170,0.031245,-0.147043,-0.176415,-0.387780,-0.465240,-0.497319,-0.535250,-0.860945,-0.927865,-1.469519,False,3.234000
ALL__H20__S0__P5__E1_A12,ALL,20,S0,P5,E1_A12,E1,76471,18719,18643,0,461,0,57209,82,55,21,573,76,0,0,0,0,0,0,989,1981,15673,0,0,0,0,0,0,0,3395,1706,488,1706,3276,0.244786,0.484146,250913.037781,119545.882825,-0.091283,-0.136749,0.031245,-0.122528,-0.167994,-0.253080,-0.346990,-0.326393,-0.422654,-0.835459,-0.938290,0.528090,False,5.401000
ALL__H20__S0__P5__E1_A2,ALL,20,S0,P5,E1_A2,E1,76471,23415,23247,0,461,0,52513,82,151,17,846,168,0,0,0,0,0,0,3539,4188,15520,0,0,0,0,0,0,0,3395,1706,488,1706,3302,0.306195,0.472405,276985.192533,203262.679930,-0.085043,-0.104437,0.031245,-0.116287,-0.135681,-0.246160,-0.287214,-0.224295,-0.228851,-0.796221,-0.878098,-1.114441,False,3.763000
ALL__H20__S0__P5__E1_A3,ALL,20,S0,P5,E1_A3,E1,76471,21414,21317,0,461,0,54514,82,81,16,662,97,0,0,0,0,0,0,3287,2327,15703,0,0,0,0,0,0,0,3395,1706,488,1706,3298,0.280028,0.474670,266985.639232,72988.936776,-0.087369,-0.165738,0.031245,-0.118613,-0.196983,-0.249886,-0.414989,-0.305649,-0.454235,-0.802846,-0.966707,-1.452332,False,3.508000
ALL__H20__S0__P5__E1_A4,ALL,20,S0,P5,E1_A4,E1,76471,23054,22927,0,461,0,52874,82,111,16,962,127,0,0,0,0,0,0,2216,7669,13042,0,0,0,0,0,0,0,3395,1706,488,1706,3261,0.301474,0.490323,204743.793178,105669.946554,-0.103986,-0.144091,0.031245,-0.135231,-0.175336,-0.275800,-0.357592,-0.281631,-0.344803,-0.867809,-0.946681,-2.351944,False,3.816000
ALL__H20__S0__P5__E1_A5,ALL,20,S0,P5,E1_A5,E1,76471,19333,19195,0,461,0,56595,82,118,20,665,138,0,0,0,0,0,0,1925,3578,13692,0,0,0,0,0,0,0,3395,1706,488,1706,3305,0.252815,0.402949,223212.131100,106202.829065,-0.098613,-0.143793,0.031245,-0.129858,-0.175038,-0.322268,-0.434391,-0.364866,-0.431712,-0.822965,-0.935087,-0.886233,False,3.492000
ALL__H20__S0__P5__E1_A6,ALL,20,S0,P5,E1_A6,E1,76471,19758,19623,0,461,0,56170,82,112,23,652,135,0,0,0,0,0,0,2049,2152,15422,0,0,0,0,0,6,0,3395,1706,488,1706,3290,0.258372,0.443050,238924.274470,23119.609803,-0.094358,-0.229563,0.031245,-0.125603,-0.260808,-0.283495,-0.588664,-0.345355,,-0.822754,-1.003413,-0.925706,False,3.707000
ALL__H20__S0__P5__E1_A7,ALL,20,S0,P5,E1_A7,E1,76471,22113,21976,0,461,0,53815,82,121,16,964,137,0,0,0,0,0,0,1501,7304,13171,0,0,0,0,0,0,0,3395,1706,488,1706,3265,0.289168,0.479738,184443.670466,90542.029576,-0.110440,-0.153198,0.031245,-0.141685,-0.184442,-0.295338,-0.384465,-0.303237,-0.380787,-0.879971,-0.951376,-1.909068,False,3.666000
ALL__H20__S0__P5__E1_A8,ALL,20,S0,P5,E1_A8,E1,76471,19155,19019,0,461,0,56773,82,117,19,709,136,0,0,0,0,0,0,1378,3591,14050,0,0,0,0,0,0,0,3395,1706,488,1706,3297,0.250487,0.430603,200860.951215,35045.964290,-0.105173,-0.207053,0.031245,-0.136418,-0.238298,-0.316807,-0.553405,-0.400183,-0.495460,-0.857408,-0.990115,-0.711292,False,5.330000
ALL__H20__S0__P5__E1_A9,ALL,20,S0,P5,E1_A9,E1,76471,20724,20566,0,461,0,55204,82,139,19,678,158,0,0,0,0,0,0,1560,2234,16772,0,0,0,0,0,0,0,3395,1706,488,1706,3275,0.271005,0.529161,297564.791604,75652.214633,-0.080492,-0.163666,0.031245,-0.111736,-0.194910,-0.211157,-0.368338,-0.259496,-0.436763,-0.805895,-0.969795,-0.136935,False,5.993000
ALL__H20__S0__P5__E2_B1,ALL,20,S0,P5,E2_B1,E2,76471,19457,19309,0,461,0,56471,82,130,18,673,148,983,0,0,0,0,0,1862,3553,13894,0,0,0,0,0,0,0,3395,1706,488,1706,3296,0.254436,0.411983,228937.068914,99239.023145,-0.097031,-0.147804,0.031245,-0.128276,-0.179048,-0.311362,-0.434601,-0.340737,-0.422274,-0.818912,-0.940648,-1.118393,False,4.348000
ALL__H20__S0__P5__E2_B10,ALL,20,S0,P5,E2_B10,E2,76471,23553,23451,0,461,0,52375,82,85,17,864,102,1112,0,0,0,0,0,3531,4169,15751,0,0,0,0,0,0,0,3395,1706,488,1706,3293,0.307999,0.476791,298555.525859,221762.213505,-0.080280,-0.099020,0.031245,-0.111525,-0.130264,-0.233907,-0.273210,-0.213297,-0.218908,-0.779669,-0.868648,-1.163618,False,8.239000
ALL__H20__S0__P5__E2_B11,ALL,20,S0,P5,E2_B11,E2,76471,17049,16959,0,461,0,58879,82,73,17,645,90,942,0,0,0,0,0,1100,3143,12716,0,0,0,0,0,108,0,3395,1706,488,1706,3313,0.222947,0.361565,131290.000055,-10696.349728,-0.131131,-1.000000,0.031245,-0.162375,-1.031245,-0.449089,-2.852167,-0.557613,,-0.891586,-1.016048,-1.458535,False,4.162000
ALL__H20__S0__P5__E2_B12,ALL,20,S0,P5,E2_B12,E2,76471,18267,18163,0,461,0,57661,82,87,17,633,104,937,0,0,0,0,0,834,3326,14003,0,0,0,0,0,0,0,3395,1706,488,1706,3300,0.238875,0.414423,205619.971639,109565.602346,-0.103721,-0.141943,0.031245,-0.134966,-0.173188,-0.325672,-0.417901,-0.405381,-0.473238,-0.845213,-0.930960,-0.962484,False,4.960000
ALL__H20__S0__P5__E2_B13,ALL,20,S0,P5,E2_B13,E2,76471,23296,23168,0,461,0,52632,82,112,16,964,128,959,0,0,0,0,0,2243,7659,13266,0,0,0,0,0,0,0,3395,1706,488,1706,3252,0.304638,0.507356,233004.194364,109368.951311,-0.095930,-0.142050,0.031245,-0.127174,-0.173295,-0.250661,-0.341565,-0.236314,-0.312777,-0.856071,-0.945295,-1.681016,False,7.616000
ALL__H20__S0__P5__E2_B14,ALL,20,S0,P5,E2_B14,E2,76471,19841,19736,0,461,0,56087,82,85,20,636,105,969,0,0,0,0,0,2004,2171,15561,0,0,0,0,0,0,0,3395,1706,488,1706,3295,0.259458,0.441089,253416.420020,62765.696895,-0.090658,-0.174408,0.031245,-0.121903,-0.205653,-0.276368,-0.466238,-0.326753,-0.443019,-0.809650,-0.974398,-1.214528,False,3.746000
ALL__H20__S0__P5__E2_B18,ALL,20,S0,P5,E2_B18,E2,76471,19461,19306,0,461,0,56467,82,137,18,694,155,980,0,0,0,0,0,1896,3561,13849,0,0,0,0,0,0,0,3395,1706,488,1706,3301,0.254489,0.414223,222680.981530,76303.032555,-0.098762,-0.163169,0.031245,-0.130006,-0.194414,-0.313856,-0.469346,-0.360740,-0.474406,-0.827852,-0.958447,-0.890526,False,3.645000
ALL__H20__S0__P5__E2_B19,ALL,20,S0,P5,E2_B19,E2,76471,17581,17491,0,461,0,58347,82,72,18,640,90,916,0,0,0,0,0,795,3278,13418,0,0,0,0,0,0,0,3395,1706,488,1706,3297,0.229904,0.393425,174389.710004,82193.770669,-0.113885,-0.158850,0.031245,-0.145130,-0.190095,-0.368888,-0.483178,-0.477993,-0.570758,-0.868825,-0.951755,-1.727144,False,6.280000
ALL__H20__S0__P5__E2_B2,ALL,20,S0,P5,E2_B2,E2,76471,19088,18978,0,461,0,56840,82,93,17,686,110,984,0,0,0,0,0,1787,3569,13622,0,0,0,0,0,0,0,3395,1706,488,1706,3302,0.249611,0.398329,195514.078095,74780.770437,-0.106843,-0.164336,0.031245,-0.138088,-0.195581,-0.346667,-0.491003,-0.400624,-0.493136,-0.847211,-0.957396,-1.788068,False,6.922000
ALL__H20__S0__P5__E2_B20,ALL,20,S0,P5,E2_B20,E2,76471,19411,19268,0,461,0,56517,82,124,19,680,143,968,0,0,0,0,0,1917,3546,13805,0,0,0,0,0,0,0,3395,1706,488,1706,3305,0.253835,0.401877,218065.843658,79902.142681,-0.100068,-0.160495,0.031245,-0.131312,-0.191740,-0.326747,-0.477110,-0.365364,-0.457577,-0.822393,-0.953136,-0.889535,False,4.666000
ALL__H20__S0__P5__E2_B3,ALL,20,S0,P5,E2_B3,E2,76471,19616,19486,0,461,0,56312,82,110,20,716,130,971,0,0,0,0,0,1887,3641,13958,0,0,0,0,0,0,0,3395,1706,488,1706,3302,0.256516,0.410774,217700.611300,87374.984335,-0.100172,-0.155283,0.031245,-0.131417,-0.186527,-0.319924,-0.454087,-0.358010,-0.447778,-0.832820,-0.951962,-1.318003,False,4.729000
ALL__H20__S0__P5__E2_B4,ALL,20,S0,P5,E2_B4,E2,76471,19457,19309,0,461,0,56471,82,130,18,673,148,983,0,0,0,0,0,1862,3553,13894,0,0,0,0,0,0,0,3395,1706,488,1706,3296,0.254436,0.411983,228937.068914,99239.023145,-0.097031,-0.147804,0.031245,-0.128276,-0.179048,-0.311362,-0.434601,-0.340737,-0.422274,-0.818912,-0.940648,-1.118393,False,7.109000
ALL__H20__S0__P5__E2_B5,ALL,20,S0,P5,E2_B5,E2,76471,19457,19309,0,461,0,56471,82,130,18,673,148,983,0,0,0,0,0,1862,3553,13894,0,0,0,0,0,0,0,3395,1706,488,1706,3296,0.254436,0.411983,228937.068914,99239.023145,-0.097031,-0.147804,0.031245,-0.128276,-0.179048,-0.311362,-0.434601,-0.340737,-0.422274,-0.818912,-0.940648,-1.118393,False,7.185000
ALL__H20__S0__P5__E2_B6,ALL,20,S0,P5,E2_B6,E2,76471,19334,19220,0,461,0,56594,82,95,19,704,114,1000,0,0,0,0,0,1887,3533,13800,0,0,0,0,0,0,0,3395,1706,488,1706,3300,0.252828,0.406377,208153.368408,79110.276638,-0.102961,-0.161074,0.031245,-0.134206,-0.192318,-0.330249,-0.473250,-0.371696,-0.463631,-0.837351,-0.955838,-1.054191,False,7.499000
ALL__H20__S0__P5__E2_B7,ALL,20,S0,P5,E2_B7,E2,76471,19108,18978,0,461,0,56820,82,112,18,664,130,986,0,0,0,0,0,1846,3529,13603,0,0,0,0,0,0,0,3395,1706,488,1706,3296,0.249873,0.406646,228827.436078,87676.004899,-0.097061,-0.155081,0.031245,-0.128306,-0.186326,-0.315522,-0.458202,-0.345992,-0.427601,-0.823501,-0.952309,-1.177758,False,4.645000
