year,n_events,n_active,freq_per_stock,a3_div,a3_c1,a3_ex,a5_div,a5_c1,a5_ex,a10_div,a10_c1,a10_ex,a15_div,a15_c1,a15_ex,a20_div,a20_c1,a20_ex,a25_div,a25_c1,a25_ex,a30_div,a30_c1,a30_ex,a45_div,a45_c1,a45_ex,a60_div,a60_c1,a60_ex,b3_div,b3_c1,b3_ex,b5_div,b5_c1,b5_ex,b10_div,b10_c1,b10_ex,b15_div,b15_c1,b15_ex,b20_div,b20_c1,b20_ex,b25_div,b25_c1,b25_ex,b30_div,b30_c1,b30_ex,b45_div,b45_c1,b45_ex,b60_div,b60_c1,b60_ex
1990,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,0,2,0.0,,100.0,,,88.88888888888889,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,,100.0,
1992,57,5,11.4,45.614035087719294,62.7906976744186,,40.35087719298245,55.81395348837209,,47.368421052631575,51.162790697674424,,43.859649122807014,48.837209302325576,,35.08771929824561,51.162790697674424,,42.10526315789473,53.48837209302325,,50.877192982456144,53.48837209302325,,68.42105263157895,62.7906976744186,,77.19298245614034,72.09302325581395,,42.10526315789473,55.81395348837209,,43.859649122807014,62.7906976744186,,45.614035087719294,53.48837209302325,,40.35087719298245,51.162790697674424,,38.59649122807017,53.48837209302325,,43.859649122807014,53.48837209302325,,50.877192982456144,53.48837209302325,,68.42105263157895,65.11627906976744,,78.94736842105263,74.4186046511628,
1993,179,27,6.62962962962963,34.63687150837989,45.94594594594595,-11.30907443756606,39.10614525139665,49.32432432432432,-10.218179072927676,40.22346368715084,48.64864864864865,-8.425184961497813,35.754189944134076,41.891891891891895,-6.137701947757819,39.10614525139665,45.27027027027027,-6.164125018873619,51.955307262569825,43.91891891891892,8.036388343650906,57.54189944134078,43.24324324324324,14.29865619809754,50.27932960893855,43.24324324324324,7.036086365695311,41.340782122905026,30.405405405405407,10.935376717499619,40.22346368715084,45.94594594594595,-5.722482258795111,37.43016759776536,47.97297297297297,-10.542805375207607,40.22346368715084,47.2972972972973,-7.073833610146458,36.87150837988827,44.5945945945946,-7.723086214706328,45.81005586592179,47.97297297297297,-2.162917107051179,54.7486033519553,45.27027027027027,9.478333081685037,56.424581005586596,43.91891891891892,12.505662086667677,54.18994413407822,41.891891891891895,12.298052242186323,41.340782122905026,31.756756756756754,9.584025366148271
1994,851,41,20.75609756097561,33.13748531139836,36.38443935926773,-3.246954047869373,30.19976498237368,36.61327231121281,-6.413507328839131,25.851938895417153,33.40961098398169,-7.557672088564541,25.146886016451237,32.036613272311214,-6.889727255859977,28.08460634547591,30.892448512585812,-2.8078421671099036,25.26439482961222,29.290617848970253,-4.026223019358035,27.967097532314924,25.62929061784897,2.337806914465954,33.25499412455934,25.400457665903893,7.854536458655446,40.8930669800235,27.23112128146453,13.661945698558966,33.13748531139836,34.09610983981693,-0.958624528418575,31.8448883666275,33.86727688787185,-2.022388521244352,26.79200940070505,34.55377574370709,-7.761766343002041,25.381903642773207,33.18077803203661,-7.798874389263407,29.142185663924796,32.951945080091534,-3.809759416166738,26.08695652173913,28.832951945080094,-2.7459954233409647,28.789659224441834,26.54462242562929,2.2450367988125457,34.312573443008226,25.85812356979405,8.454449873214177,42.18566392479436,27.68878718535469,14.49687673943967
1995,554,49,11.306122448979592,46.02888086642599,41.124260355029584,4.904620511396409,42.7797833935018,37.278106508875744,5.5016768846260575,43.32129963898917,40.38461538461539,2.9366842543737803,44.765342960288805,40.38461538461539,4.3807275756734185,44.04332129963899,42.30769230769231,1.7356289919466832,43.32129963898917,42.30769230769231,1.0136073312968605,44.765342960288805,42.15976331360947,2.605579646679338,42.96028880866426,39.64497041420118,3.315318394463077,32.31046931407942,36.83431952662722,-4.523850212547799,48.375451263537904,42.455621301775146,5.919829961762758,43.86281588447653,43.34319526627219,0.5196206182043426,42.96028880866426,41.86390532544378,1.0963834832204782,43.86281588447653,41.56804733727811,2.294768547198423,44.22382671480145,42.89940828402367,1.3244184307777758,46.02888086642599,43.047337278106504,2.9815435883194894,44.94584837545126,43.49112426035503,1.4547241150962336,42.057761732851986,40.532544378698226,1.5252173541537601,34.47653429602888,36.98224852071006,-2.505714224681178
1996,577,91,6.34065934065934,47.313691507798964,55.259975816203145,-7.946284308404181,52.686308492201036,55.62273276904474,-2.9364242768437023,59.27209705372617,58.64570737605804,0.6263896776681293,55.63258232235702,62.15235792019347,-6.51977559783645,62.391681109185434,62.636033857315596,-0.2443527481301615,70.7105719237435,64.57073760580411,6.139834317939389,69.15077989601387,66.74727932285369,2.403500573160187,73.91304347826086,68.31922611850061,5.593817359760251,83.65217391304348,72.39709443099274,11.255079482050746,53.552859618717505,55.8645707376058,-2.3117111188882973,59.09878682842288,54.776299879081016,4.322486949341865,64.12478336221838,57.31559854897219,6.8091848132461905,60.65857885615251,63.845223700120926,-3.1866448439684163,67.24436741767764,63.119709794437725,4.124657623239912,72.44367417677643,63.361547762998796,9.08212641377763,72.61698440207972,66.0217654171705,6.5952189849092235,77.21739130434783,69.16565900846433,8.051732295883497,85.91304347826086,74.69733656174334,11.215706916517519
1997,1499,150,9.993333333333334,49.766511007338224,53.39739190116678,-3.6308808938285537,50.100066711140755,56.48592999313659,-6.385863281995832,56.170780520346895,55.11324639670556,1.0575341236413323,51.63442294863242,54.70144131777626,-3.067018369143838,51.501000667111406,55.83791208791209,-4.336911420800682,57.30486991327551,54.670329670329664,2.634540242945846,53.502334889926615,53.05841924398626,0.4439156459403577,55.236824549699804,49.34707903780069,5.889745511899115,58.97264843228819,50.37800687285223,8.594641559435956,52.901934623082056,54.56417295813315,-1.662238335051093,50.70046697798533,57.03500343170899,-6.334536453723658,56.237491661107406,55.73095401509952,0.5065376460078852,50.233488992661776,56.112637362637365,-5.879148369975589,55.236824549699804,55.56318681318682,-0.32636226348701314,57.104736490994,54.60164835164834,2.5030881393456568,54.503002001334224,53.402061855670105,1.1009401456641186,55.70380253502335,50.92783505154639,4.775967483476961,58.77251501000668,49.896907216494846,8.875607793511833
1998,1908,189,10.095238095238095,46.540880503144656,49.368686868686865,-2.8278063655422088,48.89937106918239,48.148148148148145,0.7512229210342483,51.83438155136268,48.484848484848484,3.349533066514198,47.9559748427673,48.569023569023564,-0.6130487262562667,48.06079664570231,49.621212121212125,-1.5604154755098136,47.74633123689728,47.76936026936027,-0.02302903246299337,50.524109014675055,46.2962962962963,4.2278127183787575,54.14046121593291,48.19023569023569,5.9502255256972205,53.24947589098532,49.11616161616162,4.133314274823704,48.84696016771489,47.13804713804714,1.7089130296677482,51.78197064989518,47.43265993265993,4.349310717235248,51.15303983228512,48.44276094276094,2.710278889524176,48.68972746331237,48.90572390572391,-0.21599644241153726,48.16561844863732,49.2003367003367,-1.0347182516993811,49.21383647798742,47.97979797979798,1.2340384981894417,51.677148846960165,47.22222222222222,4.4549266247379435,54.14046121593291,48.10606060606061,6.0344006098723,53.77358490566038,48.4006734006734,5.3729115049869804
1999,3052,289,10.560553633217992,48.42726081258191,46.81834340561678,1.6089174069651335,52.2608125819135,48.24031283327408,4.020499748639416,55.14416775884666,49.84002843938855,5.304139319458116,53.24377457404981,50.053323853537144,3.190450720512665,55.43905635648755,49.697831496622825,5.741224859864722,58.6173001310616,50.83540703874867,7.781893092312927,58.58453473132372,51.90188410949165,6.6826506218320745,62.77850589777195,55.314610735869174,7.4638951619027765,65.69462647444298,60.078208318521156,5.616418155921828,51.965923984272614,48.13366512619979,3.8322588580728265,54.78374836173001,47.52932811944543,7.254420242284581,56.32372214941023,49.48453608247423,6.839186066936001,53.14547837483617,50.23107003199431,2.914408342841867,57.11009174311926,50.23107003199431,6.879021711124956,58.71559633027523,50.693210095982934,8.022386234292298,59.01048492791612,51.795236402417345,7.215248525498772,62.77850589777195,56.34553857092073,6.4329673268512195,66.25163826998688,60.184856025595444,6.06678224439144
