regime,entry,h,n,div_win,c1_win,ex_c1,c2_win,ex_c2
up,a,3,393831,51.66378471984176,49.77398148489051,1.8898032349512448,50.293364205758614,1.3704205140831434
up,a,5,393788,52.53308887015349,49.74778880534123,2.7853000648122617,50.87605714619402,1.65703172395947
up,a,10,393725,52.253476411200715,50.693803738336875,1.5596726728638401,51.066747246161896,1.1867291650388196
up,a,15,393671,52.11458298934898,50.558218610560424,1.5563643787885582,50.67336433289569,1.4412186564532945
up,a,20,393618,51.38052629706975,50.12071858247739,1.2598077145923625,50.245982622476994,1.1345436745927557
up,a,25,393533,51.66275763404848,49.795158286778396,1.8675993472700867,50.58753600658407,1.0752216274644155
up,a,30,393467,51.98148764699454,49.298204681091434,2.6832829659031034,50.719600834305076,1.2618868126894611
up,a,45,393240,51.47721493235683,48.47086474246897,3.0063501898878613,50.14080712473885,1.3364078076179808
up,a,60,392991,52.02969024735935,49.004673528821456,3.0250167185378913,50.82187287857639,1.2078173687829548
up,b,3,393811,52.69507454083304,50.17243283710313,2.52264170372991,51.440322949196435,1.2547515916366052
up,b,5,393774,53.18939290049622,50.43447488677879,2.754918013717436,51.88341991276043,1.3059729877357924
up,b,10,393710,52.66719158771684,50.90647605643023,1.760715531286614,51.63811622981874,1.0290753578981011
up,b,15,393661,52.229964360198245,50.72650866654664,1.5034556936516026,51.12034965372396,1.1096147064742823
up,b,20,393596,51.76170489537495,50.27837399305548,1.4833309023194658,50.76222454764348,0.9994803477314704
up,b,25,393518,52.05581447354378,49.94310926295799,2.112705210585794,51.0148093580918,1.0410051154519806
up,b,30,393451,52.23750860971251,49.332975840585526,2.9045327691269875,51.12436769402361,1.113140915688902
up,b,45,393224,52.066252314202586,48.634925834553215,3.431326479649371,50.74445534538763,1.321796968814958
up,b,60,392974,52.34672013924585,49.16050889668054,3.1862112425653137,51.3043411932815,1.0423789459643515
down,a,3,251614,51.33577622866772,51.53352071974443,-0.19774449107671188,50.31869913530011,1.017077093367611
down,a,5,251582,52.073677767089855,52.11383674068388,-0.04015897359402487,50.90390293723747,1.1697748298523862
down,a,10,246972,51.75040085515767,52.20869387360874,-0.45829301845106585,50.149967820670064,1.600433034487608
down,a,15,246260,51.09152927799886,52.255690569912716,-1.1641612919138566,49.4987132964776,1.5928159815212624
down,a,20,245936,50.35984971699955,52.177508743919454,-1.8176590269199053,48.46351742945511,1.896332287544439
down,a,25,245403,50.695794264943785,51.7230969300079,-1.0273026650641128,48.49317969835082,2.2026145665929633
down,a,30,242299,50.463683300385064,50.795455877697925,-0.33177257731286147,48.42033618644942,2.0433471139356456
down,a,45,238086,48.50012180472602,49.82083743667018,-1.3207156319441609,47.12433308286773,1.3757887218582923
down,a,60,238012,50.768028502764565,51.05294700552434,-0.2849185027597727,49.77601068095272,0.9920178218118423
down,b,3,251602,51.96739294600202,52.84047615016001,-0.8730832041579859,51.51760806847715,0.44978487752486984
down,b,5,250357,54.04362570249683,52.76059746045386,1.283028242042974,52.781915254711066,1.2617104477857666
down,b,10,246963,52.22725671456858,52.88118451853367,-0.6539278039650895,50.83485462398147,1.3924020905871117
down,b,15,246256,51.71731856279644,52.72676445250769,-1.0094458897112446,50.32045948085159,1.3968590819448536
down,b,20,245871,50.75507074848192,52.58244604316546,-1.8273752946835415,48.85684551153317,1.898225236948747
down,b,25,245325,51.49821665138082,51.795086641296884,-0.29686998991606117,49.52657611042755,1.971640540953274
down,b,30,241301,50.39224868525203,50.9994714898115,-0.6072228045594699,48.58860028083023,1.8036484044218
down,b,45,238085,48.81407900539723,50.07771713336497,-1.263638127967738,47.65680751567865,1.1572714897185818
down,b,60,238009,51.14260385111488,51.419416093045335,-0.2768122419304575,50.28066890306112,0.8619349480537579
side,a,3,387268,47.89603065577327,47.74133959289187,0.15469106288139756,47.56963450277299,0.3263961530002746
side,a,5,386619,48.967329593217094,47.75085841963166,1.2164711735854326,48.415635465559824,0.5516941276572709
side,a,10,386110,46.48493952500583,46.79957020607084,-0.3146306810650117,45.92846359608577,0.556475928920058
side,a,15,385163,45.00899619122294,46.61985307056133,-1.6108568793383853,44.42128433889436,0.5877118523285816
side,a,20,384765,44.518602263719416,46.26174017737345,-1.7431379136540315,43.685074805256896,0.8335274584625196
side,a,25,384731,45.69920281963242,46.028540174745885,-0.3293373551134664,44.61317388920504,1.086028930427382
side,a,30,384672,46.75203809999168,46.0186721191312,0.7333659808604764,45.700511967566726,1.0515261324249536
side,a,45,379013,46.24194948458232,45.84837244196224,0.3935770426200804,45.119568398819744,1.1223810857625764
side,a,60,369272,44.77702073268485,44.02705960548402,0.7499611272008337,44.03233051374886,0.7446902189359932
side,b,3,386938,49.10735053160972,48.383161465029126,0.7241890665805926,49.11535410384221,-0.008003572232489375
side,b,5,386605,49.48254678547872,48.28162180071687,1.2009249847618477,49.15794700445336,0.3245997810253556
side,b,10,385928,46.45814763375552,47.17910869547324,-0.7209610617177162,46.139457764996955,0.3186898687585682
side,b,15,385094,45.07860418495225,46.8077845085967,-1.7291803236444494,44.70247676411029,0.3761274208419607
side,b,20,384760,45.205582700904465,46.51254415111391,-1.3069614502094424,44.47109201032066,0.7344906905838045
side,b,25,384724,46.35894823301899,46.23816202424219,0.12078620877679924,45.412236115875146,0.9467121171438464
side,b,30,384653,47.31459263284051,46.32694565235363,0.987646980486879,46.34558359170541,0.9690090411350951
side,b,45,378206,46.672712754424836,45.93771553162614,0.7349972227986967,45.556829772279265,1.1158829821455711
side,b,60,369028,44.80229142504092,44.13105565720956,0.6712357678313623,44.19430830467629,0.6079831203646293
