feature,cn_name,importance,rank,kept
macd_signal_convergence_trend_z,指数平滑异同移动平均线信号线_convergence_trend｜当日横截面稳健标准化,0.0,1748,False
macd_signal_cross,指数平滑异同移动平均线信号线_cross,0.0,1749,False
macd_signal_z,指数平滑异同移动平均线信号线｜当日横截面稳健标准化,0.0,1750,False
macd_zero_cross,指数平滑异同移动平均线_zero_cross,0.0,1751,False
macd_zero_cross_down,指数平滑异同移动平均线_zero_cross_down,0.0,1752,False
macd_zero_cross_down_rankpct,指数平滑异同移动平均线_zero_cross_down｜当日横截面百分位,0.0,1753,False
macd_zero_cross_down_z,指数平滑异同移动平均线_zero_cross_down｜当日横截面稳健标准化,0.0,1754,False
macd_zero_cross_up_z,指数平滑异同移动平均线_zero_cross_up｜当日横截面稳健标准化,0.0,1755,False
macd_zero_cross_z,指数平滑异同移动平均线_zero_cross｜当日横截面稳健标准化,0.0,1756,False
market_avg_amplitude_z,市场综合状态avg_amplitude｜当日横截面稳健标准化,0.0,1757,False
market_avg_change_z,市场综合状态avg_change｜当日横截面稳健标准化,0.0,1758,False
market_sentiment_z,市场综合状态sentiment｜当日横截面稳健标准化,0.0,1759,False
market_sync_score_z,市场综合状态sync_score｜当日横截面稳健标准化,0.0,1760,False
min_prev_close,前区间最低收盘价,0.0,1761,False
obv,能量潮,0.0,1762,False
obv_trend,能量潮_trend,0.0,1763,False
obv_trend_rankpct,能量潮_trend｜当日横截面百分位,0.0,1764,False
obv_trend_z,能量潮_trend｜当日横截面稳健标准化,0.0,1765,False
obv_z,能量潮｜当日横截面稳健标准化,0.0,1766,False
price_impact_rankpct,价格冲击｜当日横截面百分位,0.0,1767,False
price_impact_z,价格冲击｜当日横截面稳健标准化,0.0,1768,False
price_trend_5,价格趋势_5,0.0,1769,False
price_trend_5_rankpct,价格趋势_5｜当日横截面百分位,0.0,1770,False
price_trend_5_z,价格趋势_5｜当日横截面稳健标准化,0.0,1771,False
price_volume_divergence,价量背离标记,0.0,1772,False
price_volume_divergence_z,价量背离标记｜当日横截面稳健标准化,0.0,1773,False
price_vs_ma20,价格相对均线偏离20,0.0,1774,False
price_vs_ma20_rankpct,价格相对均线偏离20｜当日横截面百分位,0.0,1775,False
price_vs_ma20_z,价格相对均线偏离20｜当日横截面稳健标准化,0.0,1776,False
price_vs_ma5,价格相对均线偏离5,0.0,1777,False
price_vs_ma5_rankpct,价格相对均线偏离5｜当日横截面百分位,0.0,1778,False
price_vs_ma5_z,价格相对均线偏离5｜当日横截面稳健标准化,0.0,1779,False
price_vs_ma60_z,价格相对均线偏离60｜当日横截面稳健标准化,0.0,1780,False
pv_corr_10,量价相关(10日),0.0,1781,False
pv_corr_10_rankpct,量价相关(10日)｜当日横截面百分位,0.0,1782,False
ret_intraday_lag_1,日内收益｜滞后1日,0.0,1783,False
ret_intraday_lag_1_rankpct,日内收益｜滞后1日｜当日横截面百分位,0.0,1784,False
ret_intraday_lag_1_z,日内收益｜滞后1日｜当日横截面稳健标准化,0.0,1785,False
ret_intraday_lag_3_rankpct,日内收益｜滞后3日｜当日横截面百分位,0.0,1786,False
ret_intraday_lag_3_z,日内收益｜滞后3日｜当日横截面稳健标准化,0.0,1787,False
ret_intraday_lag_5_rankpct,日内收益｜滞后5日｜当日横截面百分位,0.0,1788,False
ret_intraday_lag_5_z,日内收益｜滞后5日｜当日横截面稳健标准化,0.0,1789,False
ret_intraday_rankpct,日内收益｜当日横截面百分位,0.0,1790,False
ret_intraday_z,日内收益｜当日横截面稳健标准化,0.0,1791,False
ret_overnight,隔夜收益,0.0,1792,False
ret_overnight_lag_1,隔夜收益｜滞后1日,0.0,1793,False
ret_overnight_lag_1_rankpct,隔夜收益｜滞后1日｜当日横截面百分位,0.0,1794,False
ret_overnight_lag_1_z,隔夜收益｜滞后1日｜当日横截面稳健标准化,0.0,1795,False
ret_overnight_lag_3_rankpct,隔夜收益｜滞后3日｜当日横截面百分位,0.0,1796,False
ret_overnight_lag_3_z,隔夜收益｜滞后3日｜当日横截面稳健标准化,0.0,1797,False
ret_overnight_lag_5,隔夜收益｜滞后5日,0.0,1798,False
ret_overnight_lag_5_rankpct,隔夜收益｜滞后5日｜当日横截面百分位,0.0,1799,False
ret_overnight_lag_5_z,隔夜收益｜滞后5日｜当日横截面稳健标准化,0.0,1800,False
ret_overnight_rankpct,隔夜收益｜当日横截面百分位,0.0,1801,False
ret_overnight_z,隔夜收益｜当日横截面稳健标准化,0.0,1802,False
return_lag_1,滞后1日,0.0,1803,False
return_lag_10,滞后10日,0.0,1804,False
return_lag_10_rankpct,滞后10日｜当日横截面百分位,0.0,1805,False
return_lag_10_z,滞后10日｜当日横截面稳健标准化,0.0,1806,False
return_lag_1_rankpct,滞后1日｜当日横截面百分位,0.0,1807,False
return_lag_1_z,滞后1日｜当日横截面稳健标准化,0.0,1808,False
return_lag_2,滞后2日,0.0,1809,False
return_lag_20,滞后20日,0.0,1810,False
return_lag_20_rankpct,滞后20日｜当日横截面百分位,0.0,1811,False
return_lag_20_z,滞后20日｜当日横截面稳健标准化,0.0,1812,False
return_lag_2_rankpct,滞后2日｜当日横截面百分位,0.0,1813,False
return_lag_2_z,滞后2日｜当日横截面稳健标准化,0.0,1814,False
return_lag_3_rankpct,滞后3日｜当日横截面百分位,0.0,1815,False
return_lag_3_z,滞后3日｜当日横截面稳健标准化,0.0,1816,False
return_lag_5,滞后5日,0.0,1817,False
return_lag_5_rankpct,滞后5日｜当日横截面百分位,0.0,1818,False
return_lag_5_z,滞后5日｜当日横截面稳健标准化,0.0,1819,False
rsi_14,相对强弱指标14,0.0,1820,False
rsi_14_rankpct,相对强弱指标14｜当日横截面百分位,0.0,1821,False
rsi_14_z,相对强弱指标14｜当日横截面稳健标准化,0.0,1822,False
rsi_24,相对强弱指标24,0.0,1823,False
rsi_24_rankpct,相对强弱指标24｜当日横截面百分位,0.0,1824,False
rsi_24_z,相对强弱指标24｜当日横截面稳健标准化,0.0,1825,False
rsi_6,相对强弱指标6,0.0,1826,False
rsi_6_rankpct,相对强弱指标6｜当日横截面百分位,0.0,1827,False
rsi_6_z,相对强弱指标6｜当日横截面稳健标准化,0.0,1828,False
rsi_momentum,相对强弱指标momentum,0.0,1829,False
rsi_momentum_rankpct,相对强弱指标momentum｜当日横截面百分位,0.0,1830,False
rsi_momentum_z,相对强弱指标momentum｜当日横截面稳健标准化,0.0,1831,False
rsi_overbought_14,相对强弱指标overbought_14,0.0,1832,False
rsi_overbought_14_z,相对强弱指标overbought_14｜当日横截面稳健标准化,0.0,1833,False
rsi_overbought_24,相对强弱指标overbought_24,0.0,1834,False
rsi_overbought_24_z,相对强弱指标overbought_24｜当日横截面稳健标准化,0.0,1835,False
rsi_overbought_6,相对强弱指标overbought_6,0.0,1836,False
rsi_overbought_6_z,相对强弱指标overbought_6｜当日横截面稳健标准化,0.0,1837,False
rsi_oversold_14,相对强弱指标oversold_14,0.0,1838,False
rsi_oversold_14_z,相对强弱指标oversold_14｜当日横截面稳健标准化,0.0,1839,False
rsi_oversold_24,相对强弱指标oversold_24,0.0,1840,False
rsi_oversold_24_z,相对强弱指标oversold_24｜当日横截面稳健标准化,0.0,1841,False
rsi_oversold_6,相对强弱指标oversold_6,0.0,1842,False
rsi_oversold_6_z,相对强弱指标oversold_6｜当日横截面稳健标准化,0.0,1843,False
rsi_robust,相对强弱指标robust,0.0,1844,False
rsi_robust_rankpct,相对强弱指标robust｜当日横截面百分位,0.0,1845,False
