feature,importance,rank,kept
MKT_SH_SZ_SYNC_STRENGTH,0.003796140017904933,86,True
CORR_CLOSE_RIDX_30,0.003766126109039495,87,True
rsi_oversold_6_rankpct,0.003738532286514398,88,True
CAL_HOLIDAY,0.0037240808726117266,89,True
DIV_PRICE_NEWLOW_DEPTH,0.0036854398025221538,90,True
SKEW_LOW_30,0.0036740624517617552,91,True
alpha12_z,0.0036127301634839367,92,True
CORR_R_A_60,0.0034859428358837968,93,True
SKEW60,0.003448977073799254,94,True
illiq_lag_5,0.00343746134878487,95,True
signed_volume_strength,0.003368706773760371,96,True
illiq_rankpct,0.0033578655413344562,97,True
day_of_month,0.0033569637869657397,98,True
macd_zero_cross_up_rankpct,0.0033133938376261676,99,True
volatility_5d,0.0032780488949500034,100,True
KURT_OPEN_60,0.0032220307146219236,101,True
macd_hist_acceleration_rankpct,0.003213916604296367,102,True
BREADTH_NEWLOW,0.0031982947956922057,103,True
volatility_25d_z,0.003178343485752288,104,True
CAL_DOW_1,0.0031429001622289097,105,True
RESI_VWAP_5,0.0031004028162097937,106,True
SLOPE_HLR_60,0.0030995908452239474,107,True
MKT_MEDIAN_RET20,0.00303665959140952,108,True
CORR_HLR_V_5,0.0029415522088959522,109,True
rsi_oversold_14_rankpct,0.0029260690803802666,110,True
quarter,0.0029200660283011347,111,True
STD_A_10,0.0028821572574584424,112,True
IDXMIN_RETON_30,0.0028646896909864106,113,True
illiq_lag_3_z,0.002858156292631868,114,True
RSQ_LOW_60,0.0028541766466290254,115,True
CAL_MONTH_POS,0.0028371643926062115,116,True
VSHRINK,0.00283437696583491,117,True
IDXMIN_VWAP_30,0.0028222893367998644,118,True
SLOPE_OPEN_20,0.0028181938143612604,119,True
SKEW_RETID_60,0.002772004362125145,120,True
KDJ_D,0.002755995895796657,121,True
RESI_VWAP_60,0.002662585188848528,122,True
MKT_SH_VOLUME_RATIO,0.00263068240337244,123,True
CORR_CLOSE_RIDX_20,0.0026267084438529116,124,True
MKT_SZ_AMPLITUDE,0.00261909117535559,125,True
volume_dryup_rankpct,0.0026149136062805257,126,True
DELTA_A_60,0.0026005727145713238,127,True
POS_52W,0.0025906239277112813,128,True
COV_R_RIDX_60,0.0025789112444062116,129,True
STD_LOGV_20,0.0025499502718191484,130,True
MAX5_20,0.0025466032718775514,131,True
ma_arrangement_z,0.002543569808343477,132,True
STD_V_30,0.002526656849005885,133,True
COV_R_RIDX_20,0.0025091535267455943,134,True
macd_signal_z,0.002493205146452322,135,True
EMA_HIGH_60,0.002467267694017657,136,True
distance_to_support_z,0.0024535750457382664,137,True
rsi_24_rankpct,0.00245145073263389,138,True
atr_ratio_z,0.0024376142717549196,139,True
MIN_CF_5,0.0024362204470995946,140,True
RESI_LOW_60,0.0023908638772771797,141,True
KURT_A_10,0.002313410536516145,142,True
intraday_pos_lag_1,0.0022978909783719762,143,True
RET60,0.002294820915658697,144,True
SKEW_RETID_20,0.0022922553552743746,145,True
KURT_LOW_60,0.0022105927562787613,146,True
IDXMAX_CF_30,0.0022089887254004583,147,True
IND_MOM20_EQW,0.0021984542780641805,148,True
RSQ_R_10,0.0021943533727065176,149,True
volume_ratio_z,0.0021765256275011,150,True
SLOPE_RETID_60,0.0021743834936170017,151,True
REF_LOGV_5,0.0021510704638906296,152,True
CORR_CLOSE_RIDX_10,0.002148131869844712,153,True
volume_lag_3_rankpct,0.0021331001226261755,154,True
MED_VWAP_20,0.002121815641072991,155,True
support_resistance_ratio_rankpct,0.002107296232105571,156,True
MKT_PROMOTE_RATE,0.0020967370513591673,157,True
MEAN_HLR_5,0.0020927794365612614,158,True
CORR_HLR_V_30,0.0020734406100072415,159,True
volume_ma20_z,0.0020497673048418996,160,True
RESI_HIGH_60,0.0020455913495386743,161,True
AMIHUD_TURN20,0.0020441993438186073,162,True
DELTA_V_60,0.001993578159305643,163,True
EMA_R_60,0.0019894297805398767,164,True
IND_BREADTH_MA60,0.0019859426396050452,165,True
MKT_SZ_VOLUME_RATIO,0.0019803370626965146,166,True
WMA_RETID_60,0.001979102098138679,167,True
volume_spike_rankpct,0.0019785580381512773,168,True
DELTA_OPEN_30,0.001941681946342904,169,True
DELTA_OPEN_60,0.0019352753619769404,170,True
vol_gk_ratio,0.0018985774746230772,171,True
KURT_VWAP_60,0.0018958452631584832,172,True
IDXMAX_LOW_20,0.0018938753040212526,173,True
distance_to_resistance_rankpct,0.001851290276137936,174,True
