subset,n,net_mean,net_median,win_rate,loss_share,n_flat,win_mean,loss_mean,win_median,loss_median,loss_win_ratio,gross_profit,gross_loss,net_total,loss_over_gp,loss_over_np,worst5_over_gp,worst10_over_gp,best5_over_gp,best10_over_gp,trim1_mean,trim5_mean,trim10_mean,best_trade,worst_trade
池全体（事件级 fixed-H）,3293,0.04172789099082414,0.03431918897416384,0.597631339204373,0.4023686607956271,0,0.14718693489390014,-0.11490863610446155,0.11172867646764988,-0.08819011271342757,0.7806986142302206,28687834.53144702,-15029219.758413486,13658614.773033533,0.5238882614837576,1.1003472905675593,0.19014223621859966,0.2941108906376616,0.273153598887819,0.4370166048825813,0.04736721043910153,0.06158202648127394,0.07523451614092976,2.9676808870323375,-0.8565777587829434
成交笔（事件级 fixed-H 回连）,861,0.025382503817339367,0.023584319411177977,0.562137049941928,0.437862950058072,0,0.14635737354824263,-0.12992740851623405,0.101147626982652,-0.1040510817259811,0.8877407770193901,7011520.649094255,-4840102.351725246,2171418.297369009,0.6903070808684687,2.2290050505652172,0.2352038454666441,0.36082648181807975,0.2868208786633592,0.4649411018420261,0.0316734430520142,0.047095793587491344,0.06119060517511329,0.7657969810673428,-0.8565777587829434
被拒信号（事件级 fixed-H）,2432,0.047514641959726434,0.03970255000646846,0.6101973684210527,0.38980263157894735,0,0.14745749263736255,-0.10893598083100346,0.11641030684614878,-0.080920314572577,0.7387619230642026,21676313.882352766,-10189117.40668824,11487196.475664526,0.47005766118673237,0.886997748168907,0.17446401105777057,0.2707088004802103,0.268733978482057,0.42797896253565265,0.052861772812237855,0.06661164912828894,0.08001863299970127,2.9676808870323375,-0.8100969590651282
成交笔（组合实收 E2_B8）,866,0.023100846832254864,0.017188398326539275,0.5381062355658198,0.4618937644341801,0,0.1495411370476978,-0.12420209126873617,0.12156236559295061,-0.14214838790302417,0.8305546802758397,8541366.485267207,-6483389.456342958,2057977.028924249,0.7590576364479849,3.150370176741949,0.18561656213250183,0.2778014739213926,0.19515697310690414,0.34451036462430396,0.027945781211169925,0.0386494932639858,0.049034378242913935,0.5333560517565635,-0.7898279585039713
