item,formula,pp
锚点 I_pool（仓位竞争不稀释 + 出场不截断的单位在投年化超额）,I_real ÷ (r_sel × r_exit),0.14519517185866987
项 a 仓位竞争质量差,I_pool × (r_sel − 1)，r_sel = 0.025383 ÷ 0.041728 = 0.608286,-0.05687494007958602
项 d1 出场族截断（含 5 笔未匹配残差）,I_pool × r_sel × (r_exit − 1)，r_exit = 0.023101 ÷ 0.025383 = 0.910109,-0.007939188159419026
= 实收单位在投超额 I_real（纯现金口径）,excess_cash ÷ u,0.08038104361966483
项 c 资金闲置摊薄,I_real × (u − 1)，u = 0.614456,-0.030990405326836192
= 纯现金口径超额,stats.excess_cash,0.04939063829282864
项 b 空仓口径（判活 − 纯现金）,excess_idx − excess_cash,0.024724990709504846
= 判活口径超额,stats.excess_idx,0.07411562900233348
