,fold_0,fold_1,fold_2,fold_3,fold_4,importance_mean,importance_std
vol_gk_ratio_lag_10,0,0,0,0,0,0.0,0.0
price_volume_divergence_rankpct,0,0,0,0,0,0.0,0.0
volume_consistency_rankpct,0,0,0,0,0,0.0,0.0
macd_hist_trend_5_rankpct,0,0,0,0,0,0.0,0.0
macd_signal_cross_rankpct,0,0,0,0,0,0.0,0.0
macd_hist_amplitude_rankpct,0,0,0,0,0,0.0,0.0
macd_hist_acceleration_rankpct,0,0,0,0,0,0.0,0.0
pct_change_rankpct,0,0,0,0,0,0.0,0.0
efficiency_ratio_rankpct,0,0,0,0,0,0.0,0.0
body_strength_rankpct,0,0,0,0,0,0.0,0.0
rank_return_rankpct,0,0,0,0,0,0.0,0.0
rank_volume_rankpct,0,0,0,0,0,0.0,0.0
signed_vol_strength_rankpct,0,0,0,0,0,0.0,0.0
pv_corr_10_rankpct,0,0,0,0,0,0.0,0.0
vol_gk_rankpct,0,0,0,0,0,0.0,0.0
vol_gk_ratio_rankpct,0,0,0,0,0,0.0,0.0
illiq_rankpct,0,0,0,0,0,0.0,0.0
clv_rankpct,0,0,0,0,0,0.0,0.0
high_lag_25_rankpct,0,0,0,0,0,0.0,0.0
low_lag_25_rankpct,0,0,0,0,0,0.0,0.0
close_lag_30_rankpct,0,0,0,0,0,0.0,0.0
open_lag_30_rankpct,0,0,0,0,0,0.0,0.0
high_lag_30_rankpct,0,0,0,0,0,0.0,0.0
low_lag_30_rankpct,0,0,0,0,0,0.0,0.0
volume_lag_3_rankpct,0,0,0,0,0,0.0,0.0
close_lag_5_rankpct,0,0,0,0,0,0.0,0.0
volume_lag_10_rankpct,0,0,0,0,0,0.0,0.0
volume_lag_15_rankpct,0,0,0,0,0,0.0,0.0
volume_lag_20_rankpct,0,0,0,0,0,0.0,0.0
volume_lag_25_rankpct,0,0,0,0,0,0.0,0.0
volume_lag_30_rankpct,0,0,0,0,0,0.0,0.0
daily_return_rankpct,0,0,0,0,0,0.0,0.0
return_lag_1_rankpct,0,0,0,0,0,0.0,0.0
return_lag_2_rankpct,0,0,0,0,0,0.0,0.0
volume_lag_5_rankpct,0,0,0,0,0,0.0,0.0
open_lag_5_rankpct,0,0,0,0,0,0.0,0.0
high_lag_5_rankpct,0,0,0,0,0,0.0,0.0
low_lag_5_rankpct,0,0,0,0,0,0.0,0.0
close_lag_10_rankpct,0,0,0,0,0,0.0,0.0
open_lag_10_rankpct,0,0,0,0,0,0.0,0.0
high_lag_10_rankpct,0,0,0,0,0,0.0,0.0
low_lag_10_rankpct,0,0,0,0,0,0.0,0.0
open_lag_25_rankpct,0,0,0,0,0,0.0,0.0
open_lag_15_rankpct,0,0,0,0,0,0.0,0.0
high_lag_15_rankpct,0,0,0,0,0,0.0,0.0
low_lag_15_rankpct,0,0,0,0,0,0.0,0.0
close_lag_20_rankpct,0,0,0,0,0,0.0,0.0
open_lag_20_rankpct,0,0,0,0,0,0.0,0.0
high_lag_20_rankpct,0,0,0,0,0,0.0,0.0
low_lag_20_rankpct,0,0,0,0,0,0.0,0.0
close_lag_25_rankpct,0,0,0,0,0,0.0,0.0
close_lag_15_rankpct,0,0,0,0,0,0.0,0.0
bb_upper_rankpct,0,0,0,0,0,0.0,0.0
ma_60_rankpct,0,0,0,0,0,0.0,0.0
ma_20_rankpct,0,0,0,0,0,0.0,0.0
ma_5_rankpct,0,0,0,0,0,0.0,0.0
rsi_24_rankpct,0,0,0,0,0,0.0,0.0
rsi_14_rankpct,0,0,0,0,0,0.0,0.0
rsi_6_rankpct,0,0,0,0,0,0.0,0.0
macd_hist_rankpct,0,0,0,0,0,0.0,0.0
macd_signal_rankpct,0,0,0,0,0,0.0,0.0
macd_rankpct,0,0,0,0,0,0.0,0.0
volume_rankpct,0,0,0,0,0,0.0,0.0
market_avg_change,0,0,0,0,0,0.0,0.0
market_sentiment,0,0,0,0,0,0.0,0.0
sh_sz_sync_direction,0,0,0,0,0,0.0,0.0
sz_volume_signal,0,0,0,0,0,0.0,0.0
price_trend_5_rankpct,0,0,0,0,0,0.0,0.0
illiq_lag_1,0,0,0,0,0,0.0,0.0
illiq_lag_3,0,0,0,0,0,0.0,0.0
illiq_lag_5,0,0,0,0,0,0.0,0.0
efficiency_ratio_lag_5,0,0,0,0,0,0.0,0.0
intraday_pos_lag_1,0,0,0,0,0,0.0,0.0
intraday_pos_lag_2,0,0,0,0,0,0.0,0.0
intraday_pos_lag_3,0,0,0,0,0,0.0,0.0
sh_volume_signal,0,0,0,0,0,0.0,0.0
ret_overnight_lag_1,0,0,0,0,0,0.0,0.0
ret_intraday_lag_1,0,0,0,0,0,0.0,0.0
ret_overnight_lag_3,0,0,0,0,0,0.0,0.0
smart_money_diff_lag_5,0,0,0,0,0,0.0,0.0
ret_overnight_lag_5,0,0,0,0,0,0.0,0.0
ret_intraday_lag_5,0,0,0,0,0,0.0,0.0
sh_price_change,0,0,0,0,0,0.0,0.0
sh_price_wave_abs,0,0,0,0,0,0.0,0.0
smart_money_diff_lag_1,0,0,0,0,0,0.0,0.0
volatility_3d_rankpct,0,0,0,0,0,0.0,0.0
volatility_5d_rankpct,0,0,0,0,0,0.0,0.0
volatility_10d_rankpct,0,0,0,0,0,0.0,0.0
volatility_15d_rankpct,0,0,0,0,0,0.0,0.0
volatility_20d_rankpct,0,0,0,0,0,0.0,0.0
volatility_25d_rankpct,0,0,0,0,0,0.0,0.0
volatility_30d_rankpct,0,0,0,0,0,0.0,0.0
bb_middle_rankpct,0,0,0,0,0,0.0,0.0
signed_volume_strength_rankpct,0,0,0,0,0,0.0,0.0
close_vs_high_rankpct,0,0,0,0,0,0.0,0.0
volume_ma_ratio_rankpct,0,0,0,0,0,0.0,0.0
rsi_momentum_rankpct,0,0,0,0,0,0.0,0.0
rsi_turning_simple_rankpct,0,0,0,0,0,0.0,0.0
rsi_turning_rankpct,0,0,0,0,0,0.0,0.0
volume_trend_5_rankpct,0,0,0,0,0,0.0,0.0
volume_trend_10_rankpct,0,0,0,0,0,0.0,0.0
engulfing_pattern_rankpct,0,0,0,0,0,0.0,0.0
bb_lower_rankpct,0,0,0,0,0,0.0,0.0
volume_ma_20_rankpct,0,0,0,0,0,0.0,0.0
obv_rankpct,0,0,0,0,0,0.0,0.0
atr_rankpct,0,0,0,0,0,0.0,0.0
slowk_rankpct,0,0,0,0,0,0.0,0.0
price_vs_ma5_rankpct,0,0,0,0,0,0.0,0.0
price_vs_ma60_rankpct,0,0,0,0,0,0.0,0.0
obv_trend_rankpct,0,0,0,0,0,0.0,0.0
macd_signal_distance_rankpct,0,0,0,0,0,0.0,0.0
volume_ma20_rankpct,0,0,0,0,0,0.0,0.0
volume_ratio_rankpct,0,0,0,0,0,0.0,0.0
volume_dryup_rankpct,0,0,0,0,0,0.0,0.0
atr_ratio_rankpct,0,0,0,0,0,0.0,0.0
distance_to_support_rankpct,0,0,0,0,0,0.0,0.0
distance_to_resistance_rankpct,0,0,0,0,0,0.0,0.0
macd_percentile_rankpct,0,0,0,0,0,0.0,0.0
bb_position_rankpct,0,0,0,0,0,0.0,0.0
