,fold_0,fold_1,fold_2,fold_3,fold_4,importance_mean,importance_std
atr_z,0,0,0,0,0,0.0,0.0
volatility_3d_z,0,0,0,0,0,0.0,0.0
obv_z,0,0,0,0,0,0.0,0.0
volatility_5d_z,0,0,0,0,0,0.0,0.0
volatility_10d_z,0,0,0,0,0,0.0,0.0
bb_lower_z,0,0,0,0,0,0.0,0.0
doji_pattern_z,0,0,0,0,0,0.0,0.0
close_previous,0,0,0,0,0,0.0,0.0
volume_spike_z,0,0,0,0,0,0.0,0.0
volume_dryup_z,0,0,0,0,0,0.0,0.0
volume_ratio_z,0,0,0,0,0,0.0,0.0
close_current,0,0,0,0,0,0.0,0.0
compare_rank,0,0,0,0,0,0.0,0.0
macd_current,0,0,0,0,0,0.0,0.0
macd_signal_distance_z,0,0,0,0,0,0.0,0.0
rsi_overbought_24_z,0,0,0,0,0,0.0,0.0
macd_previous,0,0,0,0,0,0.0,0.0
market_sync_score_z,0,0,0,0,0,0.0,0.0
rsi_oversold_6_z,0,0,0,0,0,0.0,0.0
price_decline_pct,0,0,0,0,0,0.0,0.0
rsi_overbought_14_z,0,0,0,0,0,0.0,0.0
rsi_overbought_6_z,0,0,0,0,0,0.0,0.0
market_avg_change_z,0,0,0,0,0,0.0,0.0
market_sentiment_z,0,0,0,0,0,0.0,0.0
rsi_oversold_14_z,0,0,0,0,0,0.0,0.0
atr_ratio_z,0,0,0,0,0,0.0,0.0
sh_sz_sync_strength_z,0,0,0,0,0,0.0,0.0
hammer_pattern_z,0,0,0,0,0,0.0,0.0
bb_squeeze_z,0,0,0,0,0,0.0,0.0
sh_sz_sync_direction_z,0,0,0,0,0,0.0,0.0
market_avg_amplitude_z,0,0,0,0,0,0.0,0.0
support_resistance_ratio_lag_3_rankpct,0,0,0,0,0,0.0,0.0
support_resistance_ratio_lag_1_rankpct,0,0,0,0,0,0.0,0.0
ret_overnight_lag_5_rankpct,0,0,0,0,0,0.0,0.0
smart_money_diff_lag_5_rankpct,0,0,0,0,0,0.0,0.0
ret_intraday_lag_3_rankpct,0,0,0,0,0,0.0,0.0
ret_overnight_lag_3_rankpct,0,0,0,0,0,0.0,0.0
smart_money_diff_lag_3_rankpct,0,0,0,0,0,0.0,0.0
ret_intraday_lag_1_rankpct,0,0,0,0,0,0.0,0.0
ret_overnight_lag_1_rankpct,0,0,0,0,0,0.0,0.0
smart_money_diff_lag_1_rankpct,0,0,0,0,0,0.0,0.0
intraday_pos_lag_3_rankpct,0,0,0,0,0,0.0,0.0
intraday_pos_lag_2_rankpct,0,0,0,0,0,0.0,0.0
intraday_pos_lag_1_rankpct,0,0,0,0,0,0.0,0.0
efficiency_ratio_lag_5_rankpct,0,0,0,0,0,0.0,0.0
efficiency_ratio_lag_3_rankpct,0,0,0,0,0,0.0,0.0
divergence_strength,0,0,0,0,0,0.0,0.0
return_lag_5_rankpct,0,0,0,0,0,0.0,0.0
return_lag_10_rankpct,0,0,0,0,0,0.0,0.0
return_lag_20_rankpct,0,0,0,0,0,0.0,0.0
amplitude_rankpct,0,0,0,0,0,0.0,0.0
amplitude_lag_1_rankpct,0,0,0,0,0,0.0,0.0
amplitude_lag_3_rankpct,0,0,0,0,0,0.0,0.0
amplitude_lag_5_rankpct,0,0,0,0,0,0.0,0.0
efficiency_ratio_lag_1_rankpct,0,0,0,0,0,0.0,0.0
vol_gk_ratio_lag_1_rankpct,0,0,0,0,0,0.0,0.0
vol_gk_lag_3_rankpct,0,0,0,0,0,0.0,0.0
vol_gk_ratio_lag_3_rankpct,0,0,0,0,0,0.0,0.0
vol_gk_lag_10_rankpct,0,0,0,0,0,0.0,0.0
vol_gk_ratio_lag_10_rankpct,0,0,0,0,0,0.0,0.0
illiq_lag_1_rankpct,0,0,0,0,0,0.0,0.0
illiq_lag_3_rankpct,0,0,0,0,0,0.0,0.0
illiq_lag_5_rankpct,0,0,0,0,0,0.0,0.0
vol_gk_lag_1_rankpct,0,0,0,0,0,0.0,0.0
market_avg_change_rankpct,0,0,0,0,0,0.0,0.0
market_avg_amplitude_rankpct,0,0,0,0,0,0.0,0.0
market_sync_score_rankpct,0,0,0,0,0,0.0,0.0
volume_z,0,0,0,0,0,0.0,0.0
macd_signal_z,0,0,0,0,0,0.0,0.0
macd_hist_z,0,0,0,0,0,0.0,0.0
rsi_14_z,0,0,0,0,0,0.0,0.0
support_resistance_ratio_lag_5_rankpct,0,0,0,0,0,0.0,0.0
volatility_15d_z,0,0,0,0,0,0.0,0.0
rsi_24_z,0,0,0,0,0,0.0,0.0
is_quick_divergence_y,0,0,0,0,0,0.0,0.0
ma_5_z,0,0,0,0,0,0.0,0.0
ma_20_z,0,0,0,0,0,0.0,0.0
ma_60_z,0,0,0,0,0,0.0,0.0
bb_upper_z,0,0,0,0,0,0.0,0.0
bb_middle_z,0,0,0,0,0,0.0,0.0
volume_signal,0,0,0,0,0,0.0,0.0
confirmation_score,0,0,0,0,0,0.0,0.0
divergence_magnitude,0,0,0,0,0,0.0,0.0
