feature,fold_count,fold_percentage,importance_mean,importance_std
sz_amplitude_rankpct,5,1.0,0.0,0.0
sz_volume_ratio_rankpct,5,1.0,0.0,0.0
sz_price_change_abs_rankpct,5,1.0,0.0,0.0
sz_price_wave_abs_rankpct,5,1.0,0.0,0.0
sz_sentiment_rankpct,5,1.0,0.0,0.0
sz_volume_signal_rankpct,5,1.0,0.0,0.0
sh_sz_sync_direction_rankpct,5,1.0,0.0,0.0
sh_sz_sync_strength_rankpct,5,1.0,0.0,0.0
market_sentiment_rankpct,5,1.0,0.0,0.0
market_avg_change_rankpct,5,1.0,0.0,0.0
market_avg_amplitude_rankpct,5,1.0,0.0,0.0
market_sync_score_rankpct,5,1.0,0.0,0.0
volume_z,5,1.0,0.0,0.0
macd_z,5,1.0,0.2,0.4
macd_signal_z,5,1.0,0.0,0.0
macd_hist_z,5,1.0,0.0,0.0
rsi_6_z,5,1.0,0.2,0.4
rsi_14_z,5,1.0,0.0,0.0
rsi_24_z,5,1.0,0.0,0.0
ma_5_z,5,1.0,0.0,0.0
ma_20_z,5,1.0,0.0,0.0
ma_60_z,5,1.0,0.0,0.0
bb_upper_z,5,1.0,0.0,0.0
bb_middle_z,5,1.0,0.0,0.0
bb_lower_z,5,1.0,0.0,0.0
volume_ma_20_z,5,1.0,0.6,1.2
obv_z,5,1.0,0.0,0.0
atr_z,5,1.0,0.0,0.0
slowk_z,5,1.0,0.0,0.0
slowd_z,5,1.0,0.0,0.0
price_vs_ma5_z,5,1.0,0.0,0.0
price_vs_ma20_z,5,1.0,0.0,0.0
price_vs_ma60_z,5,1.0,0.0,0.0
ma_arrangement_z,5,1.0,4.0,8.0
bb_position_z,5,1.0,0.2,0.4
bb_squeeze_z,5,1.0,0.0,0.0
rsi_oversold_6_z,5,1.0,0.0,0.0
rsi_oversold_14_z,5,1.0,0.0,0.0
rsi_oversold_24_z,5,1.0,0.2,0.4
rsi_overbought_6_z,5,1.0,0.0,0.0
rsi_overbought_14_z,5,1.0,0.0,0.0
rsi_overbought_24_z,5,1.0,0.0,0.0
macd_signal_distance_z,5,1.0,0.0,0.0
macd_golden_cross_z,5,1.0,0.6,0.7999999999999999
volume_ma20_z,5,1.0,0.2,0.4
volume_ratio_z,5,1.0,0.0,0.0
volume_spike_z,5,1.0,0.0,0.0
volume_dryup_z,5,1.0,0.0,0.0
atr_ratio_z,5,1.0,0.0,0.0
hammer_pattern_z,5,1.0,0.0,0.0
doji_pattern_z,5,1.0,0.0,0.0
distance_to_support_z,5,1.0,0.0,0.0
distance_to_resistance_z,5,1.0,0.0,0.0
stoch_oversold_z,5,1.0,0.0,0.0
stoch_overbought_z,5,1.0,0.0,0.0
macd_percentile_z,5,1.0,0.0,0.0
obv_trend_z,5,1.0,0.0,0.0
volatility_3d_z,5,1.0,0.0,0.0
volatility_5d_z,5,1.0,0.0,0.0
volatility_10d_z,5,1.0,0.0,0.0
volatility_15d_z,5,1.0,0.0,0.0
volatility_25d_z,5,1.0,0.4,0.8
rsi_turning_z,5,1.0,0.0,0.0
macd_hist_direction_z,5,1.0,2.2,4.4
upper_shadow_ratio_z,5,1.0,0.2,0.4
dist_to_high_60_z,5,1.0,0.6,0.8
log_volume_z,5,1.0,0.2,0.4
rsi_robust_z,5,1.0,0.2,0.4
open_lag_3_z,5,1.0,0.2,0.4
close_lag_10_z,5,1.0,0.0,0.0
open_lag_10_z,5,1.0,0.0,0.0
high_lag_10_z,5,1.0,0.0,0.0
low_lag_10_z,5,1.0,0.0,0.0
close_lag_15_z,5,1.0,0.0,0.0
open_lag_15_z,5,1.0,0.0,0.0
high_lag_15_z,5,1.0,0.0,0.0
low_lag_15_z,5,1.0,0.0,0.0
close_lag_20_z,5,1.0,0.0,0.0
open_lag_20_z,5,1.0,0.0,0.0
high_lag_20_z,5,1.0,0.0,0.0
low_lag_20_z,5,1.0,0.0,0.0
close_lag_25_z,5,1.0,0.0,0.0
open_lag_25_z,5,1.0,0.0,0.0
high_lag_25_z,5,1.0,0.0,0.0
low_lag_25_z,5,1.0,0.0,0.0
close_lag_30_z,5,1.0,0.0,0.0
open_lag_30_z,5,1.0,0.0,0.0
high_lag_30_z,5,1.0,0.0,0.0
low_lag_30_z,5,1.0,0.0,0.0
volume_lag_3_z,5,1.0,0.0,0.0
volume_lag_5_z,5,1.0,0.0,0.0
volume_lag_10_z,5,1.0,0.0,0.0
volume_lag_15_z,5,1.0,0.0,0.0
volume_lag_20_z,5,1.0,0.0,0.0
volume_lag_25_z,5,1.0,0.0,0.0
volume_lag_30_z,5,1.0,0.0,0.0
daily_return_z,5,1.0,0.0,0.0
return_lag_1_z,5,1.0,0.0,0.0
return_lag_2_z,5,1.0,0.0,0.0
return_lag_3_z,5,1.0,0.0,0.0
intraday_pos_lag_1_z,5,1.0,0.0,0.0
intraday_pos_lag_2_z,5,1.0,0.0,0.0
intraday_pos_lag_3_z,5,1.0,0.0,0.0
smart_money_diff_lag_1_z,5,1.0,0.0,0.0
ret_overnight_lag_1_z,5,1.0,0.0,0.0
ret_intraday_lag_1_z,5,1.0,0.0,0.0
smart_money_diff_lag_3_z,5,1.0,0.0,0.0
ret_overnight_lag_3_z,5,1.0,0.0,0.0
ret_intraday_lag_3_z,5,1.0,0.0,0.0
smart_money_diff_lag_5_z,5,1.0,0.0,0.0
ret_overnight_lag_5_z,5,1.0,0.0,0.0
ret_intraday_lag_5_z,5,1.0,0.0,0.0
support_resistance_ratio_lag_1_z,5,1.0,0.0,0.0
support_resistance_ratio_lag_3_z,5,1.0,0.4,0.8
sz_volume_signal_z,5,1.0,0.0,0.0
sh_sz_sync_direction_z,5,1.0,0.0,0.0
sh_sz_sync_strength_z,5,1.0,0.0,0.0
market_sentiment_z,5,1.0,0.0,0.0
market_avg_change_z,5,1.0,0.0,0.0
market_avg_amplitude_z,5,1.0,0.0,0.0
market_sync_score_z,5,1.0,0.0,0.0
compare_rank,5,1.0,0.0,0.0
close_current,5,1.0,0.0,0.0
close_previous,5,1.0,0.0,0.0
macd_current,5,1.0,0.0,0.0
macd_previous,5,1.0,0.0,0.0
price_decline_pct,5,1.0,0.0,0.0
macd_increase_pct,5,1.0,0.2,0.4
formation_period,5,1.0,0.2,0.4
is_quick_divergence_y,5,1.0,0.0,0.0
divergence_strength,5,1.0,0.0,0.0
volume_signal,5,1.0,0.0,0.0
price_macd_ratio,5,1.0,0.2,0.4
divergence_magnitude,5,1.0,0.0,0.0
confirmation_score,5,1.0,0.0,0.0
divergence_amount,5,1.0,12.0,21.51278689523977
