feature,family,event_only,main_train_ic,main_train_icir,main_train_pos_day,main_train_days,main_train_ic_ret10,main_train_icir_ret10,main_val_ic,main_val_icir,main_val_pos_day,main_val_days,main_val_ic_ret10,main_val_icir_ret10,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,n_valid_years,dir_consistent_year_share,pos_year_share,backup_train_ic,backup_train_icir,backup_train_pos_day,backup_train_days,backup_train_ic_ret10,backup_train_icir_ret10,backup_val_ic,backup_val_icir,backup_val_pos_day,backup_val_days,backup_val_ic_ret10,backup_val_icir_ret10,main_pass,main_fail_reason,backup_pass,backup_fail_reason,is_geo_control,decision,decision_reason
RET120_20,动量,False,0.04330,0.13915,0.52703,74,0.08260,0.23265,-0.00306,-0.00851,0.46667,105,0.00113,0.00303,-0.03283,0.00842,-0.06258,0.09329,-0.03493,0.17491,-0.15429,-0.03324,-0.29008,-0.00669,-0.02088,-0.11097,0.15995,0.08853,-0.02443,0.01015,-0.00954,-0.10299,0.02720,-0.02671,-0.05492,-0.04633,19,0.50000,0.50000,-0.03437,-0.09746,0.39937,636,0.01017,0.02770,-0.02721,-0.07677,0.41983,343,-0.00121,-0.00330,False,符号相反;年度一致率0.50<0.55;|val ICIR|=-0.009<0.1,False,|val ICIR|=-0.077<0.1,False,淘汰,主池三关未过: 符号相反;年度一致率0.50<0.55;|val ICIR|=-0.009<0.1
GAP_MEAN20,隔夜,False,-0.05241,-0.17235,0.39189,74,-0.03846,-0.12281,-0.00030,-0.00093,0.46667,105,0.02298,0.06873,0.05858,-0.08476,0.07287,-0.03660,-0.08769,-0.21661,-0.15046,-0.00489,-0.01958,0.12057,-0.03608,0.00348,-0.00931,0.03232,-0.05319,-0.01629,0.03088,-0.00078,0.06492,-0.02678,0.00601,0.01481,19,0.50000,0.50000,-0.00261,-0.00767,0.45126,636,-0.00525,-0.01489,0.01710,0.04894,0.47230,343,0.00233,0.00621,False,年度一致率0.50<0.55;|val ICIR|=-0.001<0.1,False,符号相反;年度一致率0.53<0.55;|val ICIR|=0.049<0.1,False,淘汰,主池三关未过: 年度一致率0.50<0.55;|val ICIR|=-0.001<0.1
GAP_VOL20,隔夜,False,-0.02143,-0.06998,0.44595,74,-0.00997,-0.02679,-0.10407,-0.30675,0.29524,105,-0.05071,-0.15379,-0.05777,-0.06580,-0.00816,-0.08821,-0.03427,-0.35318,0.00422,0.01868,-0.29319,-0.04041,-0.01738,-0.04718,0.00130,-0.07504,0.04651,-0.16914,-0.05998,-0.03821,-0.00942,-0.06171,-0.04171,-0.03239,19,1.00000,0.00000,-0.04467,-0.13520,0.38679,636,-0.01158,-0.03171,-0.03489,-0.09653,0.42274,343,-0.00174,-0.00459,True,,False,|val ICIR|=-0.097<0.1,False,淘汰,共线性簇#2败给VOL15
INFO_DISC20,反转,False,-0.05836,-0.21544,0.36486,74,-0.01922,-0.05890,-0.01213,-0.03791,0.49524,105,0.01295,0.03555,-0.15550,-0.11315,0.07541,-0.06718,-0.16519,-0.21192,-0.01981,-0.04837,0.13011,-0.00290,0.03648,-0.04239,0.09209,0.06091,-0.12829,-0.06728,-0.01651,-0.02136,-0.04657,0.04530,-0.02643,0.01487,19,0.75000,0.25000,-0.02925,-0.08741,0.41195,636,-0.02507,-0.07123,-0.00868,-0.02418,0.45322,342,-0.00786,-0.02241,False,|val ICIR|=-0.038<0.1,False,|val ICIR|=-0.024<0.1,False,淘汰,主池三关未过: |val ICIR|=-0.038<0.1
T1_GAP,制度,False,-0.03199,-0.11688,0.40541,74,-0.08136,-0.25058,0.04214,0.12151,0.44762,105,0.04014,0.10753,-0.03092,-0.02433,-0.02640,0.05116,-0.02364,-0.03709,-0.21519,-0.02546,0.01337,0.07970,-0.05078,0.02408,-0.03505,0.14687,0.03630,-0.01735,0.03905,0.02004,0.05718,-0.01454,-0.00161,-0.02236,19,0.50000,0.50000,0.00751,0.02249,0.45984,635,0.02093,0.05876,0.00575,0.01610,0.49271,343,-0.01384,-0.03968,False,符号相反;年度一致率0.50<0.55,False,年度一致率0.42<0.55;|val ICIR|=0.016<0.1,False,淘汰,主池三关未过: 符号相反;年度一致率0.50<0.55
VOL60,波动率,False,-0.06289,-0.18524,0.37838,74,-0.04755,-0.11935,-0.08809,-0.27752,0.30476,105,-0.05319,-0.15966,-0.09142,0.01978,-0.04946,0.02966,0.01848,-0.16018,-0.22706,0.09082,-0.48344,-0.13297,-0.01400,0.01852,-0.00479,0.01789,0.04164,-0.15319,-0.06175,-0.06532,-0.05552,-0.07145,-0.01624,-0.05126,19,1.00000,0.00000,-0.03221,-0.08682,0.41667,636,0.01577,0.04041,-0.04448,-0.11900,0.42566,343,-0.01928,-0.05169,True,,True,,False,淘汰,共线性簇#2败给VOL15
DVOL,波动率,False,-0.01326,-0.04048,0.36486,74,-0.08045,-0.21230,-0.05526,-0.16580,0.41905,105,-0.07267,-0.20855,-0.02786,0.06918,0.04608,0.03609,-0.02437,-0.35318,0.02502,-0.01909,-0.15857,0.00353,0.06673,0.00770,-0.00955,-0.09677,0.06269,-0.01300,-0.04761,0.00452,-0.04256,0.06384,0.01260,0.02005,19,0.75000,0.25000,-0.00422,-0.01232,0.46541,636,-0.02063,-0.05543,0.00971,0.02832,0.46939,343,-0.01010,-0.02656,True,,False,符号相反;年度一致率0.42<0.55;|val ICIR|=0.028<0.1,False,B,主池过、备池未过: 符号相反;年度一致率0.42<0.55;|val ICIR|=0.028<0.1
PARK20,波动率,False,-0.05533,-0.17095,0.41892,74,-0.03530,-0.09290,-0.09944,-0.35154,0.28571,105,-0.06463,-0.21750,-0.07846,0.05172,-0.08280,-0.07494,-0.03295,-0.25546,-0.28799,0.03292,-0.17562,-0.17215,0.02889,-0.02201,0.06860,-0.09999,0.03439,-0.11295,-0.08801,-0.08858,-0.07228,-0.02474,-0.05759,-0.01888,19,1.00000,0.00000,-0.05398,-0.14680,0.38994,636,-0.00376,-0.00985,-0.04595,-0.12648,0.40816,343,-0.02417,-0.06251,True,,True,,False,淘汰,共线性簇#2败给VOL15
GK_VOL,波动率,False,-0.07168,-0.22769,0.41892,74,-0.04846,-0.12321,-0.11921,-0.38664,0.30476,105,-0.07129,-0.22206,-0.04303,-0.00719,-0.09121,-0.08136,-0.06788,-0.34385,-0.30141,0.02294,-0.21080,-0.12131,0.01906,-0.05634,0.04541,-0.08402,-0.02899,-0.08946,-0.06849,-0.07226,-0.05757,-0.02832,-0.05175,-0.00234,19,1.00000,0.00000,-0.05555,-0.15130,0.40566,636,-0.00423,-0.01090,-0.03694,-0.10352,0.43732,343,-0.01711,-0.04389,True,,True,,False,淘汰,共线性簇#2败给VOL15
GK_VOL_RATIO,波动率,False,-0.01891,-0.06245,0.40541,74,-0.04068,-0.11911,-0.13178,-0.44544,0.27619,105,-0.12610,-0.38571,-0.09337,0.09391,-0.06060,0.02826,-0.14733,0.03953,-0.08463,0.00463,0.34087,-0.16484,0.07058,-0.05151,-0.10919,-0.07609,-0.02902,0.09394,-0.01748,-0.03262,-0.01895,-0.03511,0.01326,0.00331,19,0.75000,0.25000,-0.02040,-0.06055,0.42925,636,-0.03068,-0.08906,-0.00586,-0.01720,0.48397,343,-0.00350,-0.00988,True,,False,|val ICIR|=-0.017<0.1,False,B,主池过、备池未过: |val ICIR|=-0.017<0.1
