feature,family,event_only,main_train_ic,main_train_icir,main_train_pos_day,main_train_days,main_train_ic_ret10,main_train_icir_ret10,main_val_ic,main_val_icir,main_val_pos_day,main_val_days,main_val_ic_ret10,main_val_icir_ret10,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,n_valid_years,dir_consistent_year_share,pos_year_share,backup_train_ic,backup_train_icir,backup_train_pos_day,backup_train_days,backup_train_ic_ret10,backup_train_icir_ret10,backup_val_ic,backup_val_icir,backup_val_pos_day,backup_val_days,backup_val_ic_ret10,backup_val_icir_ret10,main_pass,main_fail_reason,backup_pass,backup_fail_reason,is_geo_control,decision,decision_reason
AMT_SHRINK_PEAK,量能,False,-0.08901,-0.26705,0.35135,74,-0.10027,-0.29685,-0.03017,-0.08016,0.41905,105,-0.03927,-0.11000,-0.10786,-0.04982,-0.05519,-0.02006,-0.05701,-0.25546,-0.07183,-0.10909,0.01124,0.05133,0.07103,-0.05219,-0.06943,-0.33374,-0.01816,-0.02678,-0.01766,-0.13301,-0.04663,0.00590,-0.00038,0.01303,19,0.75000,0.25000,-0.06554,-0.18387,0.36635,636,-0.04688,-0.12623,-0.00757,-0.02115,0.45773,343,0.00436,0.01222,False,|val ICIR|=-0.080<0.1,False,|val ICIR|=-0.021<0.1,False,淘汰,主池三关未过: |val ICIR|=-0.080<0.1
RVC20,量价相关,False,-0.09208,-0.31888,0.28378,74,-0.09120,-0.25391,-0.09341,-0.29995,0.35238,105,-0.06703,-0.19947,0.02470,-0.00479,-0.01602,-0.04264,-0.13925,-0.39515,-0.25368,-0.02846,-0.01551,0.04612,0.06564,-0.02878,-0.08566,-0.05428,-0.09835,0.02798,-0.05220,-0.04816,0.00441,0.00204,0.09435,-0.03239,19,1.00000,0.00000,-0.03701,-0.10299,0.40252,636,-0.08705,-0.24021,0.02434,0.06450,0.48105,343,-0.02960,-0.07642,True,,False,符号相反;|val ICIR|=0.065<0.1,False,B,主池过、备池未过: 符号相反;|val ICIR|=0.065<0.1
CPV_TREND,量价相关,False,-0.01808,-0.06135,0.39189,74,-0.04301,-0.12928,0.03608,0.11502,0.47619,105,-0.00353,-0.00979,0.12367,0.05059,0.03524,-0.00391,0.03143,-0.13253,0.03961,0.03942,-0.14519,-0.00754,-0.01377,0.01810,-0.09179,-0.01823,-0.09507,0.10705,-0.02542,-0.00776,0.00102,0.02281,-0.02544,-0.00116,19,0.00000,1.00000,0.00466,0.01344,0.46226,636,-0.02687,-0.07354,-0.00428,-0.01225,0.45481,343,-0.03143,-0.08366,False,符号相反;年度一致率0.00<0.55,False,符号相反;年度一致率0.47<0.55;|val ICIR|=-0.012<0.1,False,淘汰,主池三关未过: 符号相反;年度一致率0.00<0.55
DSR20,波动结构,False,0.08561,0.26576,0.67568,74,0.07196,0.17955,0.05614,0.18528,0.56190,105,0.06833,0.21340,0.05095,0.06270,0.03304,0.01460,0.09495,0.08092,0.21012,0.03035,0.08995,0.05766,-0.02598,0.01334,0.04846,0.04599,0.00282,-0.02821,0.03721,0.04419,0.06276,-0.08545,-0.10239,-0.00225,19,0.75000,0.75000,0.03145,0.08972,0.51572,636,0.06535,0.18387,-0.03344,-0.09388,0.44898,343,0.03428,0.09208,True,,False,符号相反;|val ICIR|=-0.094<0.1,False,淘汰,共线性簇#1败给RET20
SJV60,波动结构,False,-0.08757,-0.26805,0.40541,74,-0.06846,-0.18185,-0.09092,-0.30483,0.33333,105,-0.03308,-0.10024,-0.06466,-0.00738,0.01009,-0.02532,-0.13367,0.15042,0.11456,0.00820,-0.24359,-0.10030,-0.02491,-0.03854,-0.00588,-0.02792,0.10124,-0.07152,-0.05072,-0.02094,-0.01883,0.07210,0.05399,0.00920,19,0.75000,0.25000,-0.02891,-0.08464,0.41824,636,-0.04335,-0.11895,0.02798,0.08288,0.45190,343,-0.02568,-0.07125,True,,False,符号相反;|val ICIR|=0.083<0.1,False,B,主池过、备池未过: 符号相反;|val ICIR|=0.083<0.1
JUMPFREQ60,波动结构,False,-0.02819,-0.08783,0.43243,74,-0.03710,-0.09815,-0.06447,-0.22336,0.35238,105,-0.10421,-0.30734,-0.00937,0.03121,-0.00117,-0.01114,-0.08588,-0.39158,0.02892,0.02073,-0.17669,-0.09860,-0.10646,-0.02748,0.12130,-0.16919,-0.12200,-0.03666,-0.06685,-0.06657,-0.10347,-0.04278,-0.09713,-0.02422,19,1.00000,0.00000,-0.05098,-0.15539,0.40409,636,-0.02505,-0.06948,-0.07120,-0.22211,0.35277,343,-0.06200,-0.17798,True,,True,,False,A,双池双段三关皆过，共线性幸存
MAX5_20,彩票,False,-0.05449,-0.17258,0.43243,74,-0.04071,-0.10691,-0.11185,-0.36433,0.26667,105,-0.09224,-0.27565,-0.13265,-0.02725,-0.03935,0.00601,-0.08083,-0.44866,-0.48298,-0.01477,-0.15827,-0.16682,-0.01108,-0.00612,0.02470,-0.14214,0.05135,-0.10291,-0.10960,-0.07547,-0.09600,-0.01563,0.01431,0.03190,19,1.00000,0.00000,-0.06468,-0.18391,0.38522,636,-0.04572,-0.12624,-0.01437,-0.03842,0.42566,343,-0.01855,-0.04879,True,,False,|val ICIR|=-0.038<0.1,False,淘汰,共线性簇#2败给VOL15
SKEW60,高阶矩,False,-0.08932,-0.32173,0.32432,74,-0.03311,-0.09173,-0.07363,-0.22799,0.36190,105,-0.01169,-0.03637,0.04976,0.06446,0.05529,0.03681,-0.18237,0.16330,-0.32471,-0.03647,-0.05699,-0.11216,-0.03365,-0.01192,0.05418,-0.03039,0.10847,-0.02063,-0.04818,-0.05023,-0.03781,0.02306,0.04898,-0.02323,19,1.00000,0.00000,-0.02903,-0.08480,0.41824,636,-0.03798,-0.10580,0.00493,0.01418,0.43732,343,-0.02400,-0.06759,True,,False,符号相反;|val ICIR|=0.014<0.1,False,B,主池过、备池未过: 符号相反;|val ICIR|=0.014<0.1
KURT60,高阶矩,False,-0.05923,-0.17949,0.44595,74,-0.06698,-0.19282,0.01722,0.05820,0.50476,105,-0.00764,-0.02411,0.00376,0.05144,0.01192,0.13891,-0.10627,-0.12822,0.40278,-0.00756,0.21555,-0.03582,-0.01845,0.09146,-0.06173,-0.11200,-0.04939,0.04631,0.03749,0.03959,-0.01572,0.08838,0.00530,-0.04588,19,0.50000,0.50000,0.01973,0.05590,0.49686,636,-0.03207,-0.08685,0.00227,0.00644,0.46647,343,-0.05078,-0.14945,False,符号相反;年度一致率0.50<0.55;|val ICIR|=0.058<0.1,False,年度一致率0.53<0.55;|val ICIR|=0.006<0.1,False,淘汰,主池三关未过: 符号相反;年度一致率0.50<0.55;|val ICIR|=0.058<0.1
IVOV60,高阶矩,False,-0.07706,-0.22077,0.39189,74,-0.05007,-0.14321,-0.08827,-0.29866,0.28571,105,-0.05262,-0.16749,-0.11029,0.00947,-0.04180,0.04567,-0.03170,-0.03481,-0.10755,0.06008,-0.29454,-0.14047,0.00375,0.06201,-0.01257,0.10046,-0.00701,-0.08375,-0.06172,-0.05565,-0.04220,-0.07002,-0.01498,-0.08973,19,1.00000,0.00000,-0.02265,-0.06285,0.41824,636,-0.00046,-0.00123,-0.04990,-0.13110,0.42857,343,-0.03697,-0.10013,True,,True,,False,淘汰,共线性簇#2败给VOL15
CAL_MONTH_POS,日历,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
CAL_HOLIDAY,日历,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
MKT_VOL20_PCT,市场状态,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
MKT_DD120,市场状态,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
MKT_RSI14,市场状态,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
BREADTH_ADV5,市场宽度,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
BREADTH_NEWLOW,市场宽度,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
BREADTH_ABOVE_MA20,市场宽度,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
MKT_MEDIAN_RET20,市场宽度,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
MKT_AMT_PCT,市场情绪,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
REGIME_CODE,市场状态,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
DIST_LIMIT,制度,False,0.05814,0.19805,0.58108,74,-0.02317,-0.06754,0.00559,0.01676,0.42857,105,-0.02569,-0.07974,-0.11698,-0.14815,-0.04724,0.00440,-0.04297,-0.03451,-0.33912,0.00428,-0.18602,-0.05029,0.04128,0.08608,-0.06453,-0.14670,0.00955,-0.10875,-0.06084,-0.01274,-0.08389,0.07188,-0.01379,0.06182,19,0.75000,0.75000,-0.02934,-0.08803,0.42925,636,-0.05812,-0.16631,0.00239,0.00695,0.44606,343,-0.03882,-0.09791,False,|val ICIR|=0.017<0.1,False,符号相反;|val ICIR|=0.007<0.1,False,淘汰,主池三关未过: |val ICIR|=0.017<0.1
DISPOSAL60,制度,False,-0.08336,-0.27148,0.35135,74,-0.12563,-0.30361,0.00798,0.02553,0.46667,105,-0.02415,-0.06767,-0.16933,0.04283,-0.04351,-0.04201,-0.06660,0.29773,-0.12359,-0.09450,0.15778,0.04455,-0.07778,-0.06390,-0.09614,0.05831,-0.02697,0.11598,0.01916,-0.00557,-0.00520,0.09603,0.09411,0.09610,19,0.50000,0.50000,-0.02026,-0.05614,0.42925,636,-0.06410,-0.16972,0.07004,0.19028,0.51603,343,-0.01507,-0.03754,False,符号相反;年度一致率0.50<0.55;|val ICIR|=0.026<0.1,False,符号相反,False,淘汰,主池三关未过: 符号相反;年度一致率0.50<0.55;|val ICIR|=0.026<0.1
NEW_LISTING,制度,False,0.03451,0.16918,0.56250,32,0.01691,0.05776,-0.02102,-0.07020,0.50000,72,-0.03834,-0.12006,0.05030,-0.10995,-0.06429,-0.01648,0.13387,,-0.04366,0.02934,,-0.27210,-0.00656,0.07266,-0.02722,,0.04382,-0.08672,-0.07814,-0.05677,0.06688,-0.05158,0.04529,-0.06480,14,0.75000,0.75000,-0.02923,-0.09210,0.42547,369,-0.03245,-0.09763,-0.00019,-0.00059,0.50455,220,-0.02569,-0.06980,False,符号相反;|val ICIR|=-0.070<0.1,False,年度一致率0.50<0.55;|val ICIR|=-0.001<0.1,False,淘汰,主池三关未过: 符号相反;|val ICIR|=-0.070<0.1
PCTB,技术指标,False,-0.03804,-0.11849,0.39189,74,-0.10153,-0.27317,0.02132,0.05991,0.48571,105,-0.06570,-0.18574,-0.00972,-0.15987,-0.05564,-0.09893,-0.09352,0.06097,-0.42077,-0.02367,0.21031,-0.02684,0.04009,0.00472,0.01099,-0.05036,0.00737,0.05809,-0.00788,-0.00171,-0.00789,0.10641,0.11374,0.00340,19,0.50000,0.50000,-0.01491,-0.04191,0.42138,636,-0.07659,-0.20238,0.05492,0.14581,0.52187,343,-0.04051,-0.10430,False,符号相反;年度一致率0.50<0.55;|val ICIR|=0.060<0.1,False,符号相反,False,淘汰,主池三关未过: 符号相反;年度一致率0.50<0.55;|val ICIR|=0.060<0.1
RSI_OVERSOLD_DAYS,技术指标,False,,,,0,,,-0.16926,,0.00000,1,-0.12018,,-0.21822,0.15728,-1.00000,-0.14515,-0.04048,0.25000,,0.02253,,0.05574,0.06022,-0.05215,,,0.23525,0.01194,-0.05442,-0.06902,0.13887,0.06427,0.01277,0.00769,4,,,-0.02220,-0.08559,0.46078,102,0.02255,0.07664,0.05618,0.24570,0.53571,28,0.01604,0.05301,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;年度一致率0.50<0.55,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
RSV9,技术指标,False,0.00787,0.02448,0.48649,74,-0.05937,-0.14756,0.02078,0.06311,0.44762,105,-0.09364,-0.30287,-0.01096,-0.09669,0.13019,-0.01527,-0.03565,0.03891,-0.43903,-0.00499,0.03576,0.13628,-0.00132,0.04473,-0.01547,-0.17010,-0.00790,-0.00180,0.03398,0.01430,0.01540,0.10168,0.04833,0.03708,19,0.75000,0.75000,0.00801,0.02292,0.47956,636,-0.05942,-0.15772,0.04681,0.13064,0.51020,343,0.00596,0.01547,False,|val ICIR|=0.063<0.1,False,年度一致率0.47<0.55,False,淘汰,主池三关未过: |val ICIR|=0.063<0.1
CNTD20,技术指标,False,0.05155,0.17590,0.48649,74,-0.00674,-0.01948,0.00867,0.02611,0.47619,105,-0.02056,-0.05892,-0.04870,-0.02915,-0.05295,-0.13748,-0.07302,-0.15750,0.21484,-0.00969,0.00376,-0.05923,-0.02272,-0.01196,-0.04661,-0.03400,-0.02443,-0.00003,-0.03809,-0.00976,0.05401,0.02757,-0.01051,0.00474,19,0.75000,0.75000,-0.02852,-0.08305,0.42453,636,-0.01926,-0.05533,0.01617,0.04577,0.49563,343,-0.00726,-0.02028,False,|val ICIR|=0.026<0.1,False,符号相反;|val ICIR|=0.046<0.1,False,淘汰,主池三关未过: |val ICIR|=0.026<0.1
SUMD20,技术指标,False,-0.06903,-0.22012,0.37838,74,-0.08841,-0.21991,-0.06307,-0.21630,0.39048,105,-0.09079,-0.24456,-0.09589,0.01577,-0.06915,-0.10821,-0.08340,-0.09714,-0.06870,-0.02889,0.05486,-0.16721,-0.02632,-0.05649,-0.05848,-0.02687,0.00696,0.07434,-0.06712,-0.02936,-0.00441,0.08545,0.09643,-0.01037,19,1.00000,0.00000,-0.04157,-0.11410,0.39937,636,-0.06366,-0.17827,0.04304,0.11851,0.49854,343,-0.01880,-0.04885,True,,False,符号相反,False,淘汰,共线性簇#1败给RET20
TSRANK20,位置,False,0.00367,0.01189,0.44595,74,-0.08093,-0.21911,0.01208,0.03493,0.48571,105,-0.07785,-0.22096,-0.03092,-0.13294,-0.03362,-0.06176,-0.09183,-0.08317,-0.34901,-0.00302,0.26762,0.01599,0.00741,-0.00047,0.02646,-0.06059,0.00913,0.01443,-0.00518,0.01160,-0.01526,0.06537,0.09744,0.00345,19,0.50000,0.50000,-0.01196,-0.03464,0.44515,629,-0.07421,-0.20082,0.04046,0.10943,0.51603,343,-0.04402,-0.11693,False,年度一致率0.50<0.55;|val ICIR|=0.035<0.1,False,符号相反;年度一致率0.53<0.55,False,淘汰,主池三关未过: 年度一致率0.50<0.55;|val ICIR|=0.035<0.1
IMIN20,位置,False,0.03951,0.15655,0.53521,71,-0.01035,-0.03396,0.04667,0.15264,0.46078,102,0.02486,0.07792,-0.01357,-0.02173,-0.02906,-0.03125,-0.04103,-0.09680,-0.16562,-0.02447,0.24105,0.00689,-0.03485,-0.12357,0.13803,-0.00470,0.08163,-0.04562,-0.03034,-0.03693,0.00467,-0.03258,-0.00956,-0.02162,19,0.75000,0.75000,-0.03152,-0.09399,0.42308,624,-0.02028,-0.05664,-0.01280,-0.03574,0.46291,337,-0.01628,-0.04273,True,,False,|val ICIR|=-0.036<0.1,False,B,主池过、备池未过: |val ICIR|=-0.036<0.1
IMXD20,位置,False,0.03405,0.12610,0.51351,74,0.06115,0.18510,0.01992,0.05823,0.52381,105,0.03748,0.10554,0.11154,0.01849,0.15221,0.05759,0.07277,0.33007,-0.09124,0.07470,-0.22924,0.05740,0.03713,0.15437,-0.04704,0.00902,-0.08233,-0.04907,0.03554,-0.00822,0.01838,-0.00035,-0.02114,0.05725,19,0.75000,0.75000,0.03862,0.11486,0.53071,635,0.02781,0.07881,0.01166,0.03312,0.51603,343,0.01763,0.04740,False,|val ICIR|=0.058<0.1,False,|val ICIR|=0.033<0.1,False,淘汰,主池三关未过: |val ICIR|=0.058<0.1
MACD_HIST_AMP20,技术指标,False,-0.03443,-0.09488,0.37838,74,-0.06877,-0.19067,-0.06321,-0.18700,0.36190,105,-0.05322,-0.14146,0.02056,-0.05803,0.00052,-0.07479,-0.08193,-0.18329,0.02257,0.03079,0.00300,-0.01389,-0.02368,-0.13783,0.03182,-0.09168,-0.14606,-0.15901,-0.06752,-0.09472,0.02492,-0.01741,-0.06999,-0.01846,19,1.00000,0.00000,-0.06664,-0.18968,0.39151,636,-0.01194,-0.03249,-0.02422,-0.07019,0.44315,343,0.00767,0.02078,True,,False,|val ICIR|=-0.070<0.1,False,B,主池过、备池未过: |val ICIR|=-0.070<0.1
MACD_GOLDEN_CROSS,技术指标,False,-0.10379,-0.50751,0.25000,4,0.08158,0.27411,0.03027,0.13914,0.61111,18,-0.05403,-0.24861,0.11404,0.09995,0.09799,-0.05118,0.10595,0.64550,-0.27639,0.00500,0.18061,0.07126,-0.05084,0.14254,-0.22638,0.00443,-0.10042,0.06218,0.00495,0.01115,0.03543,0.06633,0.02911,0.06789,16,,,0.02309,0.07283,0.53229,449,0.00016,0.00048,0.04639,0.13857,0.56727,275,0.00500,0.01421,False,符号相反;无有效年度,True,,False,淘汰,主池三关未过: 符号相反;无有效年度
UPPER_SHADOW_RATIO,K线形态,False,-0.02997,-0.09294,0.45946,74,-0.03813,-0.11294,-0.02662,-0.08063,0.44762,105,-0.02323,-0.06180,-0.12830,-0.03256,-0.03772,0.00333,0.04291,0.18569,0.01941,-0.06920,-0.02249,0.11825,-0.03584,-0.01493,0.05828,0.20974,-0.13231,0.04159,-0.01914,-0.04060,-0.01019,-0.12445,-0.00746,-0.01828,19,1.00000,0.00000,-0.01498,-0.04275,0.43987,632,0.01155,0.03145,-0.03160,-0.08832,0.44023,343,-0.04839,-0.13087,False,|val ICIR|=-0.081<0.1,False,|val ICIR|=-0.088<0.1,False,淘汰,主池三关未过: |val ICIR|=-0.081<0.1
BODY_STRENGTH,K线形态,False,0.03993,0.13918,0.60811,74,-0.06247,-0.18271,0.04765,0.14249,0.52381,105,-0.02174,-0.06583,0.02280,-0.14172,-0.00641,0.06244,-0.00534,-0.03451,0.01391,-0.03822,0.37768,-0.05373,0.09641,0.00453,-0.07303,-0.22988,-0.03167,-0.05200,-0.03942,0.02554,-0.02164,0.04017,0.03583,-0.02313,19,0.75000,0.75000,-0.01036,-0.03007,0.44094,635,-0.02158,-0.06087,0.00775,0.02316,0.47522,343,0.01629,0.04371,True,,False,符号相反;|val ICIR|=0.023<0.1,False,淘汰,共线性簇#6败给CLOSE_VS_HIGH
DOJI,K线形态,False,0.03183,0.09809,0.61538,52,-0.00598,-0.01797,0.04379,0.15536,0.57812,64,0.02077,0.06419,-0.12476,-0.05056,0.01063,-0.11824,-0.02744,0.05282,-0.61237,-0.04521,,-0.01720,-0.07100,0.23258,0.09315,-0.16039,-0.18219,-0.01944,0.00747,0.01463,0.07545,-0.10954,0.02055,0.07569,8,0.75000,0.75000,-0.01402,-0.04827,0.44375,160,0.01057,0.03628,0.03105,0.12006,0.54545,99,0.01243,0.03904,True,,False,符号相反;年度一致率0.38<0.55,False,B,主池过、备池未过: 符号相反;年度一致率0.38<0.55
ENGULFING,K线形态,False,0.07338,0.24765,0.61224,49,-0.00288,-0.00924,0.02431,0.08089,0.56944,72,0.04108,0.15440,-0.00772,0.09365,-0.11502,0.00667,0.14916,-0.07502,0.00000,0.00072,0.28868,-0.12597,0.03762,0.04390,-0.05378,-0.08667,0.00792,0.06366,0.00424,-0.00733,-0.11592,0.08990,-0.01468,0.05409,14,1.00000,1.00000,0.00694,0.02189,0.48529,340,0.01120,0.03347,-0.01191,-0.03375,0.51244,201,0.01828,0.06098,False,|val ICIR|=0.081<0.1,False,符号相反;|val ICIR|=-0.034<0.1,False,淘汰,主池三关未过: |val ICIR|=0.081<0.1
POS_52W,位置,False,-0.01546,-0.05205,0.32432,74,-0.06264,-0.16496,-0.04022,-0.14521,0.38095,105,-0.04578,-0.14313,-0.01007,0.05352,-0.10447,-0.05701,-0.13997,0.04207,-0.23023,-0.08723,0.05864,-0.00121,-0.05712,-0.10143,0.14708,-0.06705,-0.08509,-0.07896,-0.02151,-0.08947,0.02386,-0.05512,-0.00677,-0.01461,19,0.75000,0.25000,-0.06492,-0.18541,0.34906,636,-0.04149,-0.11452,-0.00961,-0.02723,0.44315,343,-0.01192,-0.03298,True,,False,|val ICIR|=-0.027<0.1,False,B,主池过、备池未过: |val ICIR|=-0.027<0.1
DIST_52W_LOW,位置,False,-0.03860,-0.12522,0.40541,74,-0.03488,-0.09675,-0.04950,-0.17757,0.36190,105,-0.00203,-0.00664,-0.04391,0.03694,-0.07031,-0.05458,-0.14684,0.06321,-0.08668,-0.03095,-0.26275,-0.02034,0.01128,-0.03098,0.12583,0.05824,-0.00279,-0.07227,-0.00898,-0.03911,-0.01094,-0.02904,0.02239,-0.01072,19,1.00000,0.00000,-0.02933,-0.08461,0.41038,636,-0.01978,-0.05403,-0.00322,-0.00918,0.46064,343,-0.01638,-0.04572,True,,False,|val ICIR|=-0.009<0.1,False,B,主池过、备池未过: |val ICIR|=-0.009<0.1
DIST_52W_HIGH,位置,False,-0.00028,-0.00080,0.35135,74,-0.05313,-0.11985,0.00747,0.02661,0.52381,105,-0.03975,-0.12499,-0.01423,-0.00248,-0.01994,-0.01696,-0.05173,0.28101,-0.11312,-0.13510,0.16835,-0.00731,-0.12691,-0.14632,0.10742,-0.07183,-0.09180,-0.02583,-0.02881,-0.10724,-0.01138,-0.06158,-0.02125,0.01698,19,0.50000,0.50000,-0.06895,-0.19615,0.34277,636,-0.03307,-0.08548,-0.01659,-0.04491,0.42274,343,-0.02788,-0.07234,False,符号相反;年度一致率0.50<0.55;|val ICIR|=0.027<0.1,False,|val ICIR|=-0.045<0.1,False,淘汰,主池三关未过: 符号相反;年度一致率0.50<0.55;|val ICIR|=0.027<0.1
AMIHUD_INTRADAY,流动性,False,0.00661,0.02336,0.52703,74,0.01720,0.04730,-0.02702,-0.07267,0.44762,105,0.00697,0.02040,0.04933,-0.10627,0.03772,0.02761,0.07996,-0.05850,0.42340,-0.00356,0.34135,-0.10838,0.08896,0.06319,-0.03133,0.03458,0.08359,0.05301,-0.05417,0.07157,-0.08531,0.03547,0.07956,-0.00536,19,0.25000,0.25000,0.03304,0.09729,0.51811,635,0.00720,0.01993,0.00959,0.02693,0.49563,343,0.00237,0.00609,False,符号相反;年度一致率0.25<0.55;|val ICIR|=-0.073<0.1,False,|val ICIR|=0.027<0.1,False,淘汰,主池三关未过: 符号相反;年度一致率0.25<0.55;|val ICIR|=-0.073<0.1
HL_SPREAD,流动性,False,-0.08043,-0.26309,0.39189,74,-0.09599,-0.25091,-0.06247,-0.17717,0.34286,105,-0.09155,-0.24351,-0.04030,-0.03746,-0.08987,-0.04989,-0.05193,-0.04140,-0.35256,-0.09720,-0.10555,-0.06119,0.00380,0.06611,-0.08806,-0.11668,-0.05482,-0.14254,-0.11197,-0.00552,-0.07561,-0.02904,0.01449,-0.04298,19,1.00000,0.00000,-0.05539,-0.15613,0.40566,636,-0.07326,-0.20441,-0.02992,-0.08504,0.38776,343,-0.04793,-0.12599,True,,False,|val ICIR|=-0.085<0.1,False,B,主池过、备池未过: |val ICIR|=-0.085<0.1
PRICE_IMPACT,流动性,False,-0.04031,-0.13194,0.41892,74,0.00768,0.02145,-0.03785,-0.10841,0.43810,105,-0.00521,-0.01394,-0.05490,-0.21304,0.00829,0.07355,0.05732,-0.14356,-0.10544,0.06523,-0.04362,-0.04739,0.01839,0.08828,-0.04750,-0.01703,0.00068,-0.08885,-0.07132,0.01477,-0.01621,-0.02700,-0.03783,-0.08031,19,1.00000,0.00000,-0.00294,-0.00818,0.47402,635,-0.01008,-0.02685,-0.04089,-0.11616,0.42566,343,-0.00896,-0.02265,True,,True,,False,A,双池双段三关皆过，共线性幸存
LOG_PRICE,价格水平,False,-0.02103,-0.06537,0.52703,74,-0.01083,-0.03003,-0.02456,-0.06584,0.41905,105,-0.04610,-0.12499,-0.06374,-0.17651,-0.06929,0.03138,0.02998,-0.05517,-0.10544,0.13404,-0.25251,0.09330,-0.00959,-0.00585,0.05925,-0.00606,-0.09174,-0.11183,-0.06764,-0.08295,0.05166,-0.05184,-0.07762,-0.07375,19,0.75000,0.25000,-0.03230,-0.08932,0.42767,636,-0.00566,-0.01462,-0.03967,-0.11496,0.43149,343,0.00772,0.01919,False,|val ICIR|=-0.066<0.1,True,,False,淘汰,主池三关未过: |val ICIR|=-0.066<0.1
CAL_DOW_0,日历,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
CAL_DOW_1,日历,False,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,符号相反;无有效年度;|val ICIR|=nan<0.1,False,淘汰,主池三关未过: 符号相反;无有效年度;|val ICIR|=nan<0.1
