candidate,label_cn,head,H,config_id,num_leaves,min_data_in_leaf,learning_rate,feature_fraction,final_num_boost_round,val_n_events,val_n_days,val_n_selected,val_top5_net_dayavg,val_top5_net_cluster_t,val_top5_hit_eventavg,val_top5_hit_dayavg,val_base_rate,val_average_precision,val_precision_at_5_dayavg,val_precision_at_5_eventavg,train_oof_n_events,train_oof_n_days,train_oof_n_selected,train_oof_top5_net_dayavg,train_oof_top5_net_cluster_t,train_oof_average_precision,train_oof_precision_at_5_dayavg
net_pos_10d,次日开盘入场净收益大于零二分类标签(10 个交易日视野),binary,10,31,63,100,0.1,0.8,41,24284,901,4233,-0.0019842410348037,-1.005734701964081,0.4594849988188046,0.4554938956714762,0.4825399439960467,0.5507441073004067,0.4554938956714762,0.4594849988188046,44522,2980,11043,-0.0018416353287187,-0.6934166240188305,0.5658261336513691,0.4705369127516778
net_ret_10d,次日开盘入场净收益幅度回归标签(10 个交易日视野),regression,10,9,15,200,0.05,0.8,9,24284,901,4233,-0.0021403109359357,-0.9893581628204584,0.4403496338294353,0.4375138734739179,0.0007885917327851,,,,44522,2980,11043,-0.001465997464694,-0.4254607868378032,,
net_pos_20d,次日开盘入场净收益大于零二分类标签(20 个交易日视野),binary,20,26,63,50,0.1,0.6,74,24279,901,4233,0.0028310212756657,1.169479930099919,0.4627923458540042,0.459100998890122,0.4903002594835042,0.5165007015294829,0.459100998890122,0.4627923458540042,44514,2980,11042,0.0033678989959986,2.016610181386264,0.6059001014390821,0.4835234899328858
net_ret_20d,次日开盘入场净收益幅度回归标签(20 个交易日视野),regression,20,11,15,200,0.1,0.8,4,24279,901,4233,0.0039523921834762,1.4726140561788208,0.4571226080793763,0.4537735849056604,0.005052203599069,,,,44514,2980,11042,0.0031652153603252,1.7260038166817542,,
net_pos_25d,次日开盘入场净收益大于零二分类标签(25 个交易日视野),binary,25,31,63,100,0.1,0.8,69,24276,901,4233,0.0046119905558546,1.7893899127196344,0.4757854949208599,0.4717536071032187,0.4925852694018784,0.5322038582790201,0.4717536071032187,0.4757854949208599,44511,2980,11042,0.005267473617054,2.815656654516439,0.6004429079331302,0.4796140939597315
net_ret_25d,次日开盘入场净收益幅度回归标签(25 个交易日视野),regression,25,5,15,100,0.05,0.8,9,24276,901,4233,0.0042163356740334,1.5905530000865342,0.4665721710370895,0.4630965593784684,0.005646246523908,,,,44511,2980,11042,0.0027687800050197,1.5799183546317603,,
net_pos_60d,次日开盘入场净收益大于零二分类标签(60 个交易日视野),binary,60,5,15,100,0.05,0.8,82,24247,901,4230,0.0134081296753687,3.0206133395550374,0.4550827423167848,0.4513873473917869,0.4597682187487111,0.4563298568461872,0.4513873473917869,0.4550827423167848,44489,2980,11039,0.0187586962107873,4.037968247720612,0.4919272585406479,0.4598434004474273
net_ret_60d,次日开盘入场净收益幅度回归标签(60 个交易日视野),regression,60,24,63,50,0.05,0.6,15,24247,901,4230,0.0163133682364511,3.288678978251993,0.4359338061465721,0.4334073251942286,0.0134491658112234,,,,44489,2980,11039,0.0172986381857965,3.6460315856370986,,
