candidate,config_id,num_leaves,min_data_in_leaf,learning_rate,feature_fraction,best_iters,final_num_boost_round,calib_coef_p,calib_coef_p2,calib_intercept,train_oof_n_events,train_oof_n_days,train_oof_n_selected,train_oof_top5_net_dayavg,train_oof_top5_net_cluster_t,train_oof_top5_hit_eventavg,train_oof_top5_hit_dayavg,train_oof_base_rate,train_oof_average_precision,train_oof_precision_at_5_dayavg,train_oof_precision_at_5_eventavg,val_n_events,val_n_days,val_n_selected,val_top5_net_dayavg,val_top5_net_cluster_t,val_top5_hit_eventavg,val_top5_hit_dayavg,val_base_rate,val_average_precision,val_precision_at_5_dayavg,val_precision_at_5_eventavg
net_ret_25d,0,15,50,0.05,0.6,"1,2,86,14,7",22,,,,44511,2980,11042,0.0050194084566859845,2.5041362923032557,0.47699692084767253,0.4712919463087248,0.015628249852741284,,,,24276,901,4233,0.0023576423116412224,0.9337018140089702,0.4632648240018899,0.4599889012208658,0.005646246523908035,,,
net_ret_25d,1,15,50,0.05,0.8,"1,2,21,20,1",9,,,,44511,2980,11042,0.0029432116393253733,1.643741359868308,0.471200869407716,0.466996644295302,0.015628249852741284,,,,24276,901,4233,0.0008681519832174778,0.565691505591777,0.4566501299314907,0.4537735849056604,0.005646246523908035,,,
net_ret_25d,2,15,50,0.1,0.6,"1,1,18,7,5",6,,,,44511,2980,11042,0.004079262754723149,2.1230253701860273,0.47536678138018473,0.47008389261744965,0.015628249852741284,,,,24276,901,4233,0.001221239711459057,0.6464293911362546,0.4632648240018899,0.4599889012208658,0.005646246523908035,,,
net_ret_25d,3,15,50,0.1,0.8,"1,1,29,16,1",10,,,,44511,2980,11042,0.0039194143199364935,2.0640317822511998,0.47600072450643,0.4705536912751678,0.015628249852741284,,,,24276,901,4233,0.0021562639176954646,0.9066973139184918,0.46515473659343254,0.46176470588235297,0.005646246523908035,,,
net_ret_25d,4,15,100,0.05,0.6,"5,3,52,46,7",23,,,,44511,2980,11042,0.005320570241076505,2.655389177231896,0.4803477630863974,0.4737751677852349,0.015628249852741284,,,,24276,901,4233,0.0006501226829395467,0.4497169406724135,0.4637373021497756,0.4604328523862375,0.005646246523908035,,,
net_ret_25d,5,15,100,0.05,0.8,"2,1,3,34,7",9,,,,44511,2980,11042,0.002768780005019771,1.5799183546317603,0.47183481253396126,0.46746644295302014,0.015628249852741284,,,,24276,901,4233,0.0042163356740334305,1.5905530000865342,0.46657217103708953,0.4630965593784684,0.005646246523908035,,,
net_ret_25d,6,15,100,0.1,0.6,"2,1,17,51,4",15,,,,44511,2980,11042,0.00473628667664175,2.4032412117546063,0.4771780474551712,0.47142617449664426,0.015628249852741284,,,,24276,901,4233,0.0019454657166052302,0.835221489528997,0.4637373021497756,0.46043285238623755,0.005646246523908035,,,
net_ret_25d,7,15,100,0.1,0.8,"1,1,2,9,1",3,,,,44511,2980,11042,0.0027915996695914054,1.5883392761432154,0.4699329831552255,0.4660570469798657,0.015628249852741284,,,,24276,901,4233,0.0025212730729351554,1.0776701973914558,0.4594849988188046,0.45643729189789123,0.005646246523908035,,,
net_ret_25d,8,15,200,0.05,0.6,"2,7,78,7,8",20,,,,44511,2980,11042,0.006342596272544368,3.0579721560338764,0.4818873392501358,0.47491610738255036,0.015628249852741284,,,,24276,901,4233,0.0008895843627121022,0.5262297008390102,0.4649184975194897,0.4615427302996671,0.005646246523908035,,,
net_ret_25d,9,15,200,0.05,0.8,"2,5,80,17,5",22,,,,44511,2980,11042,0.005303224029691645,2.6210669265828286,0.47898931353015756,0.4727684563758389,0.015628249852741284,,,,24276,901,4233,-0.002130974495108113,-0.4135434637913158,0.4514528703047484,0.4488901220865705,0.005646246523908035,,,
net_ret_25d,10,15,200,0.1,0.6,"1,2,14,7,1",5,,,,44511,2980,11042,0.0042000126443312085,2.1707966668431373,0.473464952001449,0.46867449664429534,0.015628249852741284,,,,24276,901,4233,0.0008424237573687722,0.5470938048821338,0.4599574769666903,0.456881243063263,0.005646246523908035,,,
