candidate,config_id,num_leaves,min_data_in_leaf,learning_rate,feature_fraction,best_iters,final_num_boost_round,calib_coef_p,calib_coef_p2,calib_intercept,train_oof_n_events,train_oof_n_days,train_oof_n_selected,train_oof_top5_net_dayavg,train_oof_top5_net_cluster_t,train_oof_top5_hit_eventavg,train_oof_top5_hit_dayavg,train_oof_base_rate,train_oof_average_precision,train_oof_precision_at_5_dayavg,train_oof_precision_at_5_eventavg,val_n_events,val_n_days,val_n_selected,val_top5_net_dayavg,val_top5_net_cluster_t,val_top5_hit_eventavg,val_top5_hit_dayavg,val_base_rate,val_average_precision,val_precision_at_5_dayavg,val_precision_at_5_eventavg
net_pos_20d,0,15,50,0.05,0.6,"2,11,219,37,19",58,-2.4342826994850637,3.382761940277669,0.3880443407690984,44514,2980,11042,0.0022866470312973572,1.4195986352052181,0.4842419851476182,0.48050335570469804,0.5201509637417442,0.56920813761366,0.48050335570469804,0.4842419851476182,24279,901,4233,-7.926078886765062e-05,0.0684940838344504,0.4554689345617765,0.452219755826859,0.49030025948350425,0.48497506096329657,0.452219755826859,0.4554689345617765
net_pos_20d,1,15,50,0.05,0.8,"2,3,50,6,68",26,0.6410523150840258,0.8397679115650563,-0.4751071802991024,44514,2980,11042,0.0037929383880442834,2.2036419273797536,0.4884078971200869,0.4835906040268456,0.5201509637417442,0.589495293176191,0.4835906040268456,0.4884078971200869,24279,901,4233,-0.0016978647253635256,-0.531471260319421,0.4488542404913773,0.44600443951165375,0.49030025948350425,0.4719522620992702,0.44600443951165375,0.4488542404913773
net_pos_20d,2,15,50,0.1,0.6,"2,7,59,7,59",27,-0.03400239105870301,1.9138409748259462,-0.39283315643484956,44514,2980,11042,0.0036240436801393268,2.1171673852852813,0.48659663104510054,0.48224832214765095,0.5201509637417442,0.5982304356426047,0.48224832214765095,0.48659663104510054,24279,901,4233,-0.0014322415477069964,-0.39823934850379705,0.4396409166076069,0.43734739178690346,0.49030025948350425,0.48019458562715894,0.43734739178690346,0.4396409166076069
net_pos_20d,3,15,50,0.1,0.8,"3,3,133,108,34",56,-1.2224278232134866,2.3153174275847666,0.04508462678940169,44514,2980,11042,0.0030725800841402144,1.8301739210042784,0.48795508060134035,0.48325503355704696,0.5201509637417442,0.5887685935380609,0.48325503355704696,0.48795508060134035,24279,901,4233,-0.001012751146870966,-0.2692063145132662,0.45877628159697614,0.4553274139844617,0.49030025948350425,0.49744845133729276,0.4553274139844617,0.45877628159697614
net_pos_20d,4,15,100,0.05,0.6,"1,4,223,512,251",198,0.7705451092513096,0.8481696105747566,-0.46501196653675253,44514,2980,11042,0.004299297061630356,2.4812713621453413,0.48967578337257744,0.4845302013422819,0.5201509637417442,0.5984963792969773,0.4845302013422819,0.48967578337257744,24279,901,4233,0.002674275749565912,1.0832385272660339,0.46539097566737536,0.4615427302996671,0.49030025948350425,0.5027237505102439,0.4615427302996671,0.46539097566737536
net_pos_20d,5,15,100,0.05,0.8,"1,6,237,432,205",176,-0.43436753970290704,2.0258488313162775,-0.22496340936489204,44514,2980,11042,0.004549558972911912,2.604172606647936,0.48940409346132946,0.4843288590604027,0.5201509637417442,0.6058411887719566,0.4843288590604027,0.48940409346132946,24279,901,4233,0.0027553352915323875,1.1077038370294958,0.46113867233640443,0.45754716981132076,0.49030025948350425,0.494787905501486,0.45754716981132076,0.46113867233640443
net_pos_20d,6,15,100,0.1,0.6,"1,2,74,128,62",53,-0.5113228652684363,2.220523789722024,-0.22329560588777483,44514,2980,11042,0.0043189472941446904,2.450296896265694,0.4894946567650788,0.4843959731543624,0.5201509637417442,0.6005312927887339,0.4843959731543624,0.4894946567650788,24279,901,4233,-0.0005783349034505778,-0.11105567004356494,0.4545239782660052,0.4513318534961154,0.49030025948350425,0.48453306932694284,0.4513318534961154,0.4545239782660052
net_pos_20d,7,15,100,0.1,0.8,"1,3,140,171,65",76,-0.06681220901196858,1.4696790088330933,-0.25263522241714853,44514,2980,11042,0.003655207710558018,2.118392879930876,0.48750226408259373,0.4829194630872483,0.5201509637417442,0.5967354429235737,0.4829194630872483,0.48750226408259373,24279,901,4233,0.0008413307208824158,0.40579295912995494,0.4623198677061186,0.4586570477247503,0.49030025948350425,0.5148132248760062,0.4586570477247503,0.4623198677061186
net_pos_20d,8,15,200,0.05,0.6,"1,11,237,7,137",79,3.334860786045615,-1.520322099570741,-1.1460396419766594,44514,2980,11042,0.0042988338171354385,2.4540940388349908,0.4894946567650788,0.4843959731543624,0.5201509637417442,0.589060027393554,0.4843959731543624,0.4894946567650788,24279,901,4233,-0.0008220213415749536,-0.19309987061474052,0.45357902197023386,0.45044395116537184,0.49030025948350425,0.48741494143667985,0.45044395116537184,0.45357902197023386
net_pos_20d,9,15,200,0.05,0.8,"5,14,256,2,31",62,0.4500925146767808,0.6461655410013991,-0.3490606233333369,44514,2980,11042,0.0034496853762402686,1.9899188446146698,0.4869588842600978,0.48251677852348995,0.5201509637417442,0.5800519672511923,0.48251677852348995,0.4869588842600978,24279,901,4233,0.0018119305565762363,0.7267626075801916,0.4632648240018899,0.4595449500554939,0.49030025948350425,0.48080183311630115,0.4595449500554939,0.4632648240018899
