candidate,config_id,num_leaves,min_data_in_leaf,learning_rate,feature_fraction,best_iters,final_num_boost_round,calib_coef_p,calib_coef_p2,calib_intercept,train_oof_n_events,train_oof_base_rate,train_oof_average_precision,train_oof_n_days,train_oof_n_selected,train_oof_precision_at_5_dayavg,train_oof_precision_at_5_eventavg,val_n_events,val_base_rate,val_average_precision,val_n_days,val_n_selected,val_precision_at_5_dayavg,val_precision_at_5_eventavg
open_exec_pos_30d,0,15,50,0.05,0.6,"32,12,51,2,52",30,5.384165713509198,-3.4758675144965974,-1.503298007831433,20788,0.5729747931498942,0.6097016238512708,1970,6130,0.4739932318104907,0.4765089722675367,10214,0.5340708831016252,0.5371606105038031,778,3081,0.4689802913453299,0.48393378773125606
open_exec_pos_30d,1,15,50,0.05,0.8,"1,82,83,23,51",48,0.6297510911585708,0.8041403142589021,-0.32482005375726597,20788,0.5729747931498942,0.6576558999026535,1970,6130,0.47998307952622676,0.48613376835236544,10214,0.5340708831016252,0.5631045730268464,778,3081,0.47540702656383893,0.4920480363518338
open_exec_pos_30d,2,15,50,0.1,0.6,"1,51,58,4,17",26,-0.08478001679113488,1.4669331500225347,-0.1197394316363923,20788,0.5729747931498942,0.6530048557527058,1970,6130,0.4782571912013537,0.4833605220228385,10214,0.5340708831016252,0.5625133431327816,778,3081,0.4715509854327335,0.48717948717948717
open_exec_pos_30d,3,15,50,0.1,0.8,"9,51,50,2,26",28,2.520317074671952,-1.4251541810835766,-0.605201073699322,20788,0.5729747931498942,0.6019437319183578,1970,6130,0.4798815566835871,0.48597063621533443,10214,0.5340708831016252,0.5663393552308709,778,3081,0.4746358183376178,0.4910743265173645
open_exec_pos_30d,4,15,100,0.05,0.6,"23,6,53,1,54",27,3.7015003469219865,-2.174241126220774,-1.0181854007451439,20788,0.5729747931498942,0.6072118361253616,1970,6130,0.48231810490693744,0.4898858075040783,10214,0.5340708831016252,0.5616383173954005,778,3081,0.4656383890317052,0.4797143784485557
open_exec_pos_30d,5,15,100,0.05,0.8,"26,101,83,70,42",64,-0.23065537726327087,1.336488909619546,-0.043338074977592324,20788,0.5729747931498942,0.6354999542638615,1970,6130,0.4822165820642978,0.48972267536704733,10214,0.5340708831016252,0.5656249852220443,778,3081,0.47952013710368463,0.49724115546900355
open_exec_pos_30d,6,15,100,0.1,0.6,"11,87,55,1,20",35,1.5546117641208554,-0.1504352438247494,-0.48792784974946046,20788,0.5729747931498942,0.6536630293506388,1970,6130,0.4829272419627749,0.4908646003262643,10214,0.5340708831016252,0.565854543417606,778,3081,0.4741216795201371,0.4904251866277183
open_exec_pos_30d,7,15,100,0.1,0.8,"12,50,72,53,33",44,-0.2620998982482793,1.2192383327651346,0.00030966537498979896,20788,0.5729747931498942,0.6447695045466262,1970,6130,0.4842470389170897,0.4929853181076672,10214,0.5340708831016252,0.5601883801541785,778,3081,0.47566409597257925,0.4923726062966569
open_exec_pos_30d,8,15,200,0.05,0.6,"13,63,77,2,54",42,1.7616341377527813,-0.649737601029269,-0.4473688799686622,20788,0.5729747931498942,0.6304555826440612,1970,6130,0.48150592216582067,0.48858075040783033,10214,0.5340708831016252,0.5404700589129092,778,3081,0.4741216795201371,0.4904251866277183
open_exec_pos_30d,9,15,200,0.05,0.8,"9,15,67,1,35",25,1.9148858063163918,-0.8110028691311568,-0.48019540312170483,20788,0.5729747931498942,0.6305243780206374,1970,6130,0.4794754653130288,0.48531810766721045,10214,0.5340708831016252,0.535770054451864,778,3081,0.479777206512425,0.49756572541382665
open_exec_pos_30d,10,15,200,0.1,0.6,"13,106,24,2,23",34,2.5055416616966255,-1.2948420427542418,-0.6541580314435573,20788,0.5729747931498942,0.6223829366642823,1970,6130,0.4788663282571912,0.48433931484502446,10214,0.5340708831016252,0.5495124617263636,778,3081,0.47617823479005994,0.4930217461863031
open_exec_pos_30d,11,15,200,0.1,0.8,"7,6,76,1,30",24,2.018739309795947,-0.7543352691663209,-0.5516859537440183,20788,0.5729747931498942,0.6491294677101836,1970,6130,0.48109983079526225,0.48792822185970636,10214,0.5340708831016252,0.539668363949132,778,3081,0.4725792630676949,0.4884777669587796
open_exec_pos_30d,12,31,50,0.05,0.6,"35,12,122,3,39",42,2.088585351726242,-0.8400031891948258,-0.5567076026993063,20788,0.5729747931498942,0.6250775720691792,1970,6130,0.4815059221658206,0.48858075040783033,10214,0.5340708831016252,0.5644165291015066,778,3081,0.47694944301628106,0.4939954560207725
open_exec_pos_30d,13,31,50,0.05,0.8,"34,4,3,5,37",17,4.270119773150198,-2.7696300898390405,-1.177481555874332,20788,0.5729747931498942,0.5848389080130336,1970,6130,0.475414551607445,0.47879282218597063,10214,0.5340708831016252,0.5500339824998297,778,3081,0.4730934018851757,0.48912690684842586
open_exec_pos_30d,14,31,50,0.1,0.6,"1,4,36,3,16",12,2.571816577965948,-0.8906558824926301,-0.7968275933581053,20788,0.5729747931498942,0.6466898727426231,1970,6130,0.47805414551607445,0.4830342577487765,10214,0.5340708831016252,0.5590917231180872,778,3081,0.473350471293916,0.48945147679324896
open_exec_pos_30d,15,31,50,0.1,0.8,"1,51,54,3,23",26,1.1778689583599449,0.07846923513380456,-0.36499330180757866,20788,0.5729747931498942,0.6541422911605415,1970,6130,0.4784602368866328,0.4836867862969005,10214,0.5340708831016252,0.5638071467436155,778,3081,0.4730934018851757,0.48912690684842586
open_exec_pos_30d,16,31,100,0.05,0.6,"23,7,54,1,43",26,2.12192779873289,-0.9380386954339925,-0.5562106932846325,20788,0.5729747931498942,0.6330902529303071,1970,6130,0.48170896785109985,0.48890701468189235,10214,0.5340708831016252,0.5548823119068828,778,3081,0.472579263067695,0.4884777669587796
open_exec_pos_30d,17,31,100,0.05,0.8,"26,2,52,49,42",34,1.1079718098162403,-0.16889322834013137,-0.26090116372477423,20788,0.5729747931498942,0.6278191303747551,1970,6130,0.4842470389170897,0.4929853181076672,10214,0.5340708831016252,0.5513321938236668,778,3081,0.4712939160239932,0.48685491723466406
open_exec_pos_30d,18,31,100,0.1,0.6,"11,1,41,1,21",15,3.7940484889284924,-2.0964088924411497,-1.0822557696508845,20788,0.5729747931498942,0.6421910230328529,1970,6130,0.48313028764805416,0.49119086460032624,10214,0.5340708831016252,0.5577025188568361,778,3081,0.4700085689802913,0.48523206751054854
open_exec_pos_30d,19,31,100,0.1,0.8,"12,80,67,11,29",40,2.136258724713536,-1.0237423460889914,-0.5109448390399846,20788,0.5729747931498942,0.6280294175835754,1970,6130,0.4812013536379019,0.48809135399673736,10214,0.5340708831016252,0.5722817947449527,778,3081,0.4792630676949443,0.49691658552418044
open_exec_pos_30d,20,31,200,0.05,0.6,"13,133,75,2,54",55,2.1097653261687976,-0.9596179070646544,-0.5317077683674439,20788,0.5729747931498942,0.6315284148779379,1970,6130,0.4850592216582064,0.49429037520391517,10214,0.5340708831016252,0.5694498841321625,778,3081,0.47540702656383893,0.4920480363518338
open_exec_pos_30d,21,31,200,0.05,0.8,"9,15,72,1,43",28,2.305814264626795,-1.3808085374170358,-0.5147048332838947,20788,0.5729747931498942,0.5914195256353081,1970,6130,0.47602368866328254,0.4797716150081566,10214,0.5340708831016252,0.5320895533585575,778,3081,0.4756640959725793,0.4923726062966569
open_exec_pos_30d,22,31,200,0.1,0.6,"13,205,27,2,32",56,2.51211350813641,-1.289372737573111,-0.6522771981292982,20788,0.5729747931498942,0.6299645772252198,1970,6130,0.481404399323181,0.4884176182707993,10214,0.5340708831016252,0.5712919819571114,778,3081,0.4756640959725793,0.4923726062966569
open_exec_pos_30d,23,31,200,0.1,0.8,"7,6,56,1,20",18,2.080198285300192,-1.0968840534969477,-0.479977618475162,20788,0.5729747931498942,0.6287817345729395,1970,6130,0.47886632825719117,0.48433931484502446,10214,0.5340708831016252,0.5569520552258069,778,3081,0.4782347900599829,0.495618305744888
open_exec_pos_30d,24,63,50,0.05,0.6,"35,8,76,3,41",33,2.5606146615679446,-1.0758187732064275,-0.7374094001893293,20788,0.5729747931498942,0.6346725265420808,1970,6130,0.4827241962774958,0.49053833605220226,10214,0.5340708831016252,0.5818853760817995,778,3081,0.47952013710368474,0.49724115546900355
open_exec_pos_30d,25,63,50,0.05,0.8,"34,43,3,5,40",25,2.0787467390449725,-0.9274161914939001,-0.5621949762251717,20788,0.5729747931498942,0.636018568736394,1970,6130,0.48313028764805416,0.49119086460032624,10214,0.5340708831016252,0.5519936300195906,778,3081,0.47694944301628106,0.4939954560207725
open_exec_pos_30d,26,63,50,0.1,0.6,"1,40,164,3,23",46,-0.2656478588594941,1.7027209461859056,-0.10606897838301294,20788,0.5729747931498942,0.6585021022456354,1970,6130,0.4790693739424704,0.4846655791190865,10214,0.5340708831016252,0.5996146630962984,778,3081,0.4849185946872322,0.5040571243102888
open_exec_pos_30d,27,63,50,0.1,0.8,"1,14,54,4,21",19,0.4646988193974727,0.5333357773391174,-0.13578735597273894,20788,0.5729747931498942,0.642667899650712,1970,6130,0.4800846023688663,0.4862969004893964,10214,0.5340708831016252,0.5756888614458812,778,3081,0.4687232219365895,0.48360921778643295
open_exec_pos_30d,28,63,100,0.05,0.6,"23,7,55,1,15",20,0.5038395003084832,0.557694470514167,-0.14161294123263116,20788,0.5729747931498942,0.628368563849854,1970,6130,0.4802876480541455,0.4866231647634584,10214,0.5340708831016252,0.570752914732978,778,3081,0.4720651242502142,0.4878286270691334
open_exec_pos_30d,29,63,100,0.05,0.8,"26,2,74,2,24",26,2.8194396723152124,-2.107464771420094,-0.5634222617114059,20788,0.5729747931498942,0.5630179056733866,1970,6130,0.4740947546531303,0.4766721044045677,10214,0.5340708831016252,0.544080342905513,778,3081,0.4751499571550985,0.4917234664070107
open_exec_pos_30d,30,63,100,0.1,0.6,"11,1,30,1,30",15,4.276253798646129,-2.517319557294517,-1.2050203941717417,20788,0.5729747931498942,0.6159736286682626,1970,6130,0.48018612521150594,0.4864600326264274,10214,0.5340708831016252,0.5685400903947677,778,3081,0.4674378748928878,0.4819863680623174
open_exec_pos_30d,31,63,100,0.1,0.8,"12,80,225,2,15",67,0.8218697706130449,0.05323405719006063,-0.15179787473347134,20788,0.5729747931498942,0.6278431725076353,1970,6130,0.481912013536379,0.4892332789559543,10214,0.5340708831016252,0.5817691139247338,778,3081,0.47309340188517573,0.48912690684842586
open_exec_pos_30d,32,63,200,0.05,0.6,"13,133,78,2,29",51,1.1652835902163052,-0.045571187006939406,-0.31163144826120587,20788,0.5729747931498942,0.6359616408475693,1970,6130,0.4819120135363791,0.4892332789559543,10214,0.5340708831016252,0.5589786619225386,778,3081,0.4746358183376178,0.4910743265173645
open_exec_pos_30d,33,63,200,0.05,0.8,"9,15,73,1,40",28,1.9403526848384285,-0.9614209013774725,-0.45014266216237214,20788,0.5729747931498942,0.6231773389560674,1970,6130,0.4784602368866328,0.4836867862969005,10214,0.5340708831016252,0.5399274257424754,778,3081,0.479777206512425,0.49756572541382665
open_exec_pos_30d,34,63,200,0.1,0.6,"13,205,56,2,15",58,1.2136010084983149,-0.10930971034925284,-0.3287902842153627,20788,0.5729747931498942,0.6298342693306452,1970,6130,0.4825211505922166,0.4902120717781403,10214,0.5340708831016252,0.5613175371212061,778,3081,0.4828620394173093,0.501460564751704
open_exec_pos_30d,35,63,200,0.1,0.8,"7,6,54,1,14",16,1.2288369969703021,-0.16462988976828127,-0.30828627140565756,20788,0.5729747931498942,0.6306025157001114,1970,6130,0.47785109983079527,0.4827079934747145,10214,0.5340708831016252,0.5391808350216447,778,3081,0.4658954584404456,0.4800389483933788
