candidate,config_id,num_leaves,min_data_in_leaf,learning_rate,feature_fraction,best_iters,final_num_boost_round,calib_coef_p,calib_coef_p2,calib_intercept,train_oof_n_events,train_oof_base_rate,train_oof_average_precision,train_oof_n_days,train_oof_n_selected,train_oof_precision_at_5_dayavg,train_oof_precision_at_5_eventavg,val_n_events,val_base_rate,val_average_precision,val_n_days,val_n_selected,val_precision_at_5_dayavg,val_precision_at_5_eventavg
cur_pos_15d,0,15,50,0.05,0.6,"31,2,2,4,75",23,1.8174509549023705,1.3968767361379022,-0.8020074361481662,2655,0.656497175141243,0.7560836622722965,335,801,0.5207960199004975,0.5443196004993758,3143,0.501749920458161,0.5954885377506278,316,932,0.4078586497890295,0.4388412017167382
cur_pos_15d,1,15,50,0.05,0.8,"31,5,2,100,126",53,1.3756241509978397,1.8480440957296738,-0.7066788917741851,2655,0.656497175141243,0.7957003869487638,335,801,0.5231840796019901,0.5493133583021224,3143,0.501749920458161,0.5798144220429625,316,932,0.4103902953586498,0.44313304721030045
cur_pos_15d,2,15,50,0.1,0.6,"31,2,6,8,135",36,2.2600612174339227,0.41924029915010075,-0.7449023178407611,2655,0.656497175141243,0.7309743258663847,335,801,0.5207960199004975,0.5443196004993758,3143,0.501749920458161,0.5992213446390107,316,932,0.40722573839662446,0.43776824034334766
cur_pos_15d,3,15,50,0.1,0.8,"24,2,2,7,74",22,2.1638140430486548,0.42115112383810616,-0.7107435187606549,2655,0.656497175141243,0.7318535377053297,335,801,0.5237810945273632,0.550561797752809,3143,0.501749920458161,0.5873506213656627,316,932,0.41482067510548526,0.45064377682403434
cur_pos_15d,4,15,100,0.05,0.6,"1,2,2,37,106",30,1.7450960232565105,2.2221503893870014,-0.977714315259749,2655,0.656497175141243,0.7515657619610938,335,801,0.5201990049751244,0.5430711610486891,3143,0.501749920458161,0.5558320506667057,316,932,0.41671940928270046,0.453862660944206
cur_pos_15d,5,15,100,0.05,0.8,"1,2,8,15,87",23,1.8078508330516285,2.3533212569268174,-1.0866930907026395,2655,0.656497175141243,0.756867339595295,335,801,0.5219900497512439,0.5468164794007491,3143,0.501749920458161,0.5606890705635168,316,932,0.4116561181434599,0.44527896995708155
cur_pos_15d,6,15,100,0.1,0.6,"1,1,2,10,105",24,2.3888745563681706,0.12668306429618686,-0.6668568244880131,2655,0.656497175141243,0.7127469309570016,335,801,0.5207960199004975,0.5443196004993758,3143,0.501749920458161,0.6073255599881213,316,932,0.41671940928270046,0.453862660944206
cur_pos_15d,7,15,100,0.1,0.8,"1,1,3,10,71",17,2.1858178248924798,1.913163002108718,-1.1227145884926333,2655,0.656497175141243,0.7540388181814086,335,801,0.518407960199005,0.5393258426966292,3143,0.501749920458161,0.5959130344524736,316,932,0.41418776371308014,0.44957081545064376
cur_pos_15d,8,15,200,0.05,0.6,"1,1,2,85,49",28,1.3491025625572393,2.722544734967719,-0.9007600202759515,2655,0.656497175141243,0.7558098871430297,335,801,0.5190049751243782,0.5405742821473158,3143,0.501749920458161,0.5629541628999043,316,932,0.41735232067510547,0.45493562231759654
cur_pos_15d,9,15,200,0.05,0.8,"1,1,4,35,71",22,1.9388780518567468,2.442931967204907,-1.094754675870863,2655,0.656497175141243,0.7453181144063716,335,801,0.5213930348258707,0.5455680399500624,3143,0.501749920458161,0.5466704971883238,316,932,0.41418776371308014,0.44957081545064376
cur_pos_15d,10,15,200,0.1,0.6,"1,1,4,49,43",20,1.6150528454696433,2.1075012953941004,-0.8589591103398617,2655,0.656497175141243,0.757425641262359,335,801,0.5237810945273632,0.550561797752809,3143,0.501749920458161,0.5600426631086242,316,932,0.41735232067510547,0.45493562231759654
cur_pos_15d,11,15,200,0.1,0.8,"1,1,4,50,43",20,1.631747202125083,2.2443749988341803,-0.9086366262666422,2655,0.656497175141243,0.7581357372025628,335,801,0.5225870646766169,0.5480649188514357,3143,0.501749920458161,0.5599044253188422,316,932,0.4192510548523206,0.4581545064377682
