candidate,config_id,num_leaves,min_data_in_leaf,learning_rate,feature_fraction,best_iters,final_num_boost_round,calib_coef_p,calib_coef_p2,calib_intercept,train_oof_n_events,train_oof_base_rate,train_oof_average_precision,train_oof_n_days,train_oof_n_selected,train_oof_precision_at_5_dayavg,train_oof_precision_at_5_eventavg,val_n_events,val_base_rate,val_average_precision,val_n_days,val_n_selected,val_precision_at_5_dayavg,val_precision_at_5_eventavg
open_exec_pos_60d,0,15,50,0.05,0.6,"5,4,18,3,27",11,0.1603612194733161,0.2503170050451603,-0.2044898662329873,2655,0.48436911487758944,0.5121125665740859,335,801,0.4847761194029851,0.49313358302122345,3138,0.4878903760356915,0.5209227655631385,316,931,0.4158227848101266,0.42320085929108486
open_exec_pos_60d,1,15,50,0.05,0.8,"4,1,9,10,10",7,1.1450554516663516,1.34447133968066,-0.9748724086333093,2655,0.48436911487758944,0.5324903007990797,335,801,0.4823880597014925,0.48813982521847693,3138,0.4878903760356915,0.5074162092436396,316,931,0.4183544303797468,0.42749731471535984
open_exec_pos_60d,2,15,50,0.1,0.6,"5,26,159,7,15",42,-1.162194223540953,2.620987129817073,-0.1498274178658697,2655,0.48436911487758944,0.5622961520005951,335,801,0.4853731343283582,0.4943820224719101,3138,0.4878903760356915,0.5498748674717755,316,931,0.4253164556962025,0.439312567132116
open_exec_pos_60d,3,15,50,0.1,0.8,"6,22,13,19,21",16,0.4535404626002411,0.5590446080112674,-0.40944753375075876,2655,0.48436911487758944,0.533580164557867,335,801,0.48835820895522397,0.5006242197253433,3138,0.4878903760356915,0.5284474165452251,316,931,0.4196202531645569,0.4296455424274973
open_exec_pos_60d,4,15,100,0.05,0.6,"1,40,16,4,40",20,0.3545667831567366,-0.7009466049382861,-0.06337113036443949,2655,0.48436911487758944,0.4881261272064212,335,801,0.4674626865671642,0.45692883895131087,3138,0.4878903760356915,0.44148061297041197,316,931,0.4037974683544304,0.4027926960257787
open_exec_pos_60d,5,15,100,0.05,0.8,"1,31,15,4,31",16,0.1990218548278414,0.211824496792061,-0.2060001547167163,2655,0.48436911487758944,0.5016823855593222,335,801,0.48716417910447757,0.49812734082397003,3138,0.4878903760356915,0.5150840137087688,316,931,0.4177215189873418,0.4264232008592911
open_exec_pos_60d,6,15,100,0.1,0.6,"1,25,7,5,22",12,0.07381563252597509,0.11230541446370569,-0.1247348869194135,2655,0.48436911487758944,0.4971886463428099,335,801,0.4817910447761194,0.4868913857677903,3138,0.4878903760356915,0.536447868920831,316,931,0.4215189873417721,0.43286788399570353
open_exec_pos_60d,7,15,100,0.1,0.8,"1,10,12,5,14",8,0.5634648814982048,0.6904852423990019,-0.489710743281176,2655,0.48436911487758944,0.5268380503007821,335,801,0.4847761194029851,0.49313358302122345,3138,0.4878903760356915,0.5179499441204514,316,931,0.4164556962025317,0.4242749731471536
open_exec_pos_60d,8,15,200,0.05,0.6,"1,1,39,5,30",15,0.9777618353313322,1.154973252597964,-0.8414575441656771,2655,0.48436911487758944,0.5256248412216675,335,801,0.47940298507462686,0.4818976279650437,3138,0.4878903760356915,0.5089112347288448,316,931,0.42278481012658237,0.43501611170784105
open_exec_pos_60d,9,15,200,0.05,0.8,"1,1,41,10,10",13,0.612455802290753,1.4361183515662954,-0.7040562118898442,2655,0.48436911487758944,0.5388558601753047,335,801,0.48000000000000004,0.48314606741573035,3138,0.4878903760356915,0.5305829750212316,316,931,0.42215189873417724,0.4339419978517723
open_exec_pos_60d,10,15,200,0.1,0.6,"1,1,13,6,8",6,1.9293945932720473,1.6485378571363454,-1.4583539875542726,2655,0.48436911487758944,0.5470162251490388,335,801,0.4823880597014925,0.48813982521847693,3138,0.4878903760356915,0.5031542708668441,316,931,0.4177215189873418,0.4264232008592911
open_exec_pos_60d,11,15,200,0.1,0.8,"1,1,15,20,12",10,1.5729119349448744,1.844596673822069,-1.2870987174127924,2655,0.48436911487758944,0.5823483875810692,335,801,0.48776119402985074,0.4993757802746567,3138,0.4878903760356915,0.5196508117650992,316,931,0.42215189873417724,0.4339419978517723
open_exec_pos_60d,12,31,50,0.05,0.6,"5,4,18,2,26",11,0.34615079213599625,0.5004801750600276,-0.3590005647919533,2655,0.48436911487758944,0.5250825885235009,335,801,0.4847761194029851,0.49313358302122345,3138,0.4878903760356915,0.5220957295912036,316,931,0.4139240506329113,0.41997851772287864
open_exec_pos_60d,13,31,50,0.05,0.8,"4,1,9,7,27",10,1.0450442000664524,0.5712304766655221,-0.735162639681964,2655,0.48436911487758944,0.5158915255523808,335,801,0.4835820895522388,0.49063670411985016,3138,0.4878903760356915,0.5116066653493421,316,931,0.42025316455696204,0.43071965628356607
open_exec_pos_60d,14,31,50,0.1,0.6,"5,26,159,7,1",40,-1.1996505003046305,2.4555516436011633,-0.09480580638259659,2655,0.48436911487758944,0.5584508770939068,335,801,0.48895522388059703,0.50187265917603,3138,0.4878903760356915,0.5442173724493155,316,931,0.4259493670886076,0.44038668098818473
open_exec_pos_60d,15,31,50,0.1,0.8,"6,22,13,5,12",12,0.18882606637568766,1.4333323364448152,-0.4970739468666275,2655,0.48436911487758944,0.5497430219908126,335,801,0.4859701492537314,0.49563046192259674,3138,0.4878903760356915,0.5300079579574307,316,931,0.41455696202531644,0.42105263157894735
open_exec_pos_60d,16,31,100,0.05,0.6,"1,40,16,4,28",18,0.41869307393680727,-0.4187787310223199,-0.16250738639906573,2655,0.48436911487758944,0.48874440731186164,335,801,0.47701492537313434,0.4769038701622971,3138,0.4878903760356915,0.5349134941448519,316,931,0.41708860759493677,0.4253490870032223
open_exec_pos_60d,17,31,100,0.05,0.8,"1,31,15,4,28",16,0.2814863666705044,0.27277666220046776,-0.2577024939506069,2655,0.48436911487758944,0.5020415513845922,335,801,0.48835820895522397,0.5006242197253433,3138,0.4878903760356915,0.5287312746494301,316,931,0.4208860759493671,0.4317937701396348
open_exec_pos_60d,18,31,100,0.1,0.6,"1,25,7,5,21",12,0.0017141630791978188,0.030214864509000103,-0.07096884467365361,2655,0.48436911487758944,0.4939965553789985,335,801,0.4835820895522388,0.49063670411985016,3138,0.4878903760356915,0.5337216649010318,316,931,0.4234177215189874,0.43609022556390975
open_exec_pos_60d,19,31,100,0.1,0.8,"1,10,12,5,14",8,0.5634648814982048,0.6904852423990019,-0.489710743281176,2655,0.48436911487758944,0.5268380503007821,335,801,0.4847761194029851,0.49313358302122345,3138,0.4878903760356915,0.5124787837323429,316,931,0.4189873417721518,0.42857142857142855
open_exec_pos_60d,20,31,200,0.05,0.6,"1,1,39,5,30",15,0.9777618353313322,1.154973252597964,-0.8414575441656771,2655,0.48436911487758944,0.5256248412216675,335,801,0.47940298507462686,0.4818976279650437,3138,0.4878903760356915,0.5089112347288448,316,931,0.42278481012658237,0.43501611170784105
open_exec_pos_60d,21,31,200,0.05,0.8,"1,1,41,10,10",13,0.612455802290753,1.4361183515662954,-0.7040562118898442,2655,0.48436911487758944,0.5388558601753047,335,801,0.48000000000000004,0.48314606741573035,3138,0.4878903760356915,0.5305829750212316,316,931,0.42215189873417724,0.4339419978517723
open_exec_pos_60d,22,31,200,0.1,0.6,"1,1,13,6,8",6,1.9293945932720473,1.6485378571363454,-1.4583539875542726,2655,0.48436911487758944,0.5470162251490388,335,801,0.4823880597014925,0.48813982521847693,3138,0.4878903760356915,0.5031542708668441,316,931,0.4177215189873418,0.4264232008592911
open_exec_pos_60d,23,31,200,0.1,0.8,"1,1,15,20,12",10,1.5729119349448744,1.844596673822069,-1.2870987174127924,2655,0.48436911487758944,0.5823483875810692,335,801,0.48776119402985074,0.4993757802746567,3138,0.4878903760356915,0.5196508117650992,316,931,0.42215189873417724,0.4339419978517723
open_exec_pos_60d,24,63,50,0.05,0.6,"5,4,18,2,26",11,0.34611796655743055,0.500439916669664,-0.358974677660346,2655,0.48436911487758944,0.5250950136841126,335,801,0.4847761194029851,0.49313358302122345,3138,0.4878903760356915,0.5202960013810758,316,931,0.4189873417721519,0.42857142857142855
open_exec_pos_60d,25,63,50,0.05,0.8,"4,1,9,7,27",10,1.0450442000664524,0.5712304766655221,-0.735162639681964,2655,0.48436911487758944,0.5158915255523808,335,801,0.4835820895522388,0.49063670411985016,3138,0.4878903760356915,0.5125272912121601,316,931,0.4126582278481013,0.4178302900107411
open_exec_pos_60d,26,63,50,0.1,0.6,"5,26,159,7,1",40,-1.1996505003046305,2.4555516436011633,-0.09480580638259659,2655,0.48436911487758944,0.5584508770939068,335,801,0.48895522388059703,0.50187265917603,3138,0.4878903760356915,0.5247918880741971,316,931,0.4177215189873418,0.4264232008592911
open_exec_pos_60d,27,63,50,0.1,0.8,"6,22,13,5,12",12,0.18882606637568766,1.4333323364448152,-0.4970739468666275,2655,0.48436911487758944,0.5497430219908126,335,801,0.4859701492537314,0.49563046192259674,3138,0.4878903760356915,0.52436140152752,316,931,0.4126582278481013,0.4178302900107411
open_exec_pos_60d,28,63,100,0.05,0.6,"1,40,16,4,28",18,0.41869307393680727,-0.4187787310223199,-0.16250738639906573,2655,0.48436911487758944,0.48874440731186164,335,801,0.47701492537313434,0.4769038701622971,3138,0.4878903760356915,0.5349134941448519,316,931,0.41708860759493677,0.4253490870032223
open_exec_pos_60d,29,63,100,0.05,0.8,"1,31,15,4,28",16,0.2814863666705044,0.27277666220046776,-0.2577024939506069,2655,0.48436911487758944,0.5020415513845922,335,801,0.48835820895522397,0.5006242197253433,3138,0.4878903760356915,0.5287312746494301,316,931,0.4208860759493671,0.4317937701396348
open_exec_pos_60d,30,63,100,0.1,0.6,"1,25,7,5,21",12,0.0017141630791978188,0.030214864509000103,-0.07096884467365361,2655,0.48436911487758944,0.4939965553789985,335,801,0.4835820895522388,0.49063670411985016,3138,0.4878903760356915,0.5337216649010318,316,931,0.4234177215189874,0.43609022556390975
open_exec_pos_60d,31,63,100,0.1,0.8,"1,10,12,5,14",8,0.5634648814982048,0.6904852423990019,-0.489710743281176,2655,0.48436911487758944,0.5268380503007821,335,801,0.4847761194029851,0.49313358302122345,3138,0.4878903760356915,0.5124787837323429,316,931,0.4189873417721518,0.42857142857142855
open_exec_pos_60d,32,63,200,0.05,0.6,"1,1,39,5,30",15,0.9777618353313322,1.154973252597964,-0.8414575441656771,2655,0.48436911487758944,0.5256248412216675,335,801,0.47940298507462686,0.4818976279650437,3138,0.4878903760356915,0.5089112347288448,316,931,0.42278481012658237,0.43501611170784105
open_exec_pos_60d,33,63,200,0.05,0.8,"1,1,41,10,10",13,0.612455802290753,1.4361183515662954,-0.7040562118898442,2655,0.48436911487758944,0.5388558601753047,335,801,0.48000000000000004,0.48314606741573035,3138,0.4878903760356915,0.5305829750212316,316,931,0.42215189873417724,0.4339419978517723
open_exec_pos_60d,34,63,200,0.1,0.6,"1,1,13,6,8",6,1.9293945932720473,1.6485378571363454,-1.4583539875542726,2655,0.48436911487758944,0.5470162251490388,335,801,0.4823880597014925,0.48813982521847693,3138,0.4878903760356915,0.5031542708668441,316,931,0.4177215189873418,0.4264232008592911
open_exec_pos_60d,35,63,200,0.1,0.8,"1,1,15,20,12",10,1.5729119349448744,1.844596673822069,-1.2870987174127924,2655,0.48436911487758944,0.5823483875810692,335,801,0.48776119402985074,0.4993757802746567,3138,0.4878903760356915,0.5196508117650992,316,931,0.42215189873417724,0.4339419978517723
