segment,config,base,timing,gate,pool,selection,exit_rule,n_slots,horizon,seed,source,elapsed_s,ann_return,max_dd,sharpe,calmar,turnover,cost_ratio,utilization,coverage,final_equity,n_trades,entered,total_signals,expo_days,expo_full_days,expo_half_days,expo_zero_days,expo_full_frac,expo_half_frac,expo_zero_frac,gate_blocked,forced_exits,forced_deferred,timing_fallback_days,ret_2015,ret_2016,ret_2017,ret_2018,ret_2019,ret_2020,ret_2021,ret_2022,ret_2023,ret_2024,ret_2025,ret_2026
val,B1_T1_G1,B1,T1,G1,backup,S3,E1,10,20,42,run,9.57,0.06436866818500153,-0.22879601214957368,0.43023660971893984,0.28133649524853166,6.426327825574592,0.14053665955429448,0.6238774514467199,0.035431959345002824,1269683.1617150032,249,251,7084,928.0,629.0,0.0,299.0,0.677801724137931,0.0,0.32219827586206895,132.0,0.0,0.0,0.0,,,,,0.17060886523625074,0.18166548716537578,0.03149243524707823,-0.11013740304358421,,,,
val,B1_T1_G2,B1,T1,G2,backup,S3,E1,10,20,42,run,9.5,0.01873565042934966,-0.2587692174430013,0.19633854565238767,0.07240293344967329,7.325884527817454,0.352905591944116,0.5637615633756342,0.04009034443817053,1073632.2105265043,282,284,7084,928.0,629.0,0.0,299.0,0.677801724137931,0.0,0.32219827586206895,130.0,91.0,424.0,0.0,,,,,0.11509951905575133,0.0746595736993041,-0.0036136886580663274,-0.10082703736980647,,,,
val,B1_T2_G1,B1,T2,G1,backup,S3,E1,10,20,42,run,9.4,0.019449779785673194,-0.3149410188292707,0.19991521003714957,0.061756896126054964,6.546071083928341,0.37110646372311873,0.5803530994952792,0.03571428571428571,1076515.6990955034,252,253,7084,928.0,497.0,0.0,431.0,0.5355603448275862,0.0,0.4644396551724138,120.0,0.0,0.0,0.0,,,,,0.31863931696800085,-0.05226074574012629,-0.14757037853037858,0.010524727599914296,,,,
val,B1_T2_G2,B1,T2,G2,backup,S3,E1,10,20,42,run,9.47,0.1938647046144919,-0.2581252298650165,0.9554209346265222,0.7510490342841384,8.436425351694147,0.07614641559170147,0.4181490243845392,0.04785431959345003,1970365.8864817538,339,339,7084,928.0,497.0,0.0,431.0,0.5355603448275862,0.0,0.4644396551724138,172.0,178.0,3.0,0.0,,,,,0.3423537038925011,0.19710382537294246,0.20081035860398022,0.02111268215127704,,,,
val,B1_T3_G1,B1,T3,G1,backup,S3,E1,10,20,42,run,9.49,0.036109157634552025,-0.2183265196769505,0.2968902878618896,0.16539061625670295,5.766394175807095,0.17316772909393635,0.6134213487900224,0.03176171654432524,1145420.1933240024,220,225,7084,928.0,478.0,350.0,100.0,0.5150862068965517,0.3771551724137931,0.10775862068965517,144.0,0.0,0.0,0.0,,,,,0.01953741626124983,0.17767343152130466,0.14137125503453984,-0.164185582379047,,,,
val,B1_T3_G2,B1,T3,G2,backup,S3,E1,10,20,42,run,9.67,-0.027057511103160237,-0.3886163395421596,-0.044497561418142435,-0.06962525336695181,8.392228440553984,,0.5937277202309063,0.045454545454545456,900333.6007185032,321,322,7084,928.0,478.0,350.0,100.0,0.5150862068965517,0.3771551724137931,0.10775862068965517,217.0,83.0,62.0,0.0,,,,,0.049995866584000126,0.14798470995273294,-0.14492723944339192,-0.12647227501262281,,,,
val,B1_T4_G1,B1,T4,G1,backup,S3,E1,10,20,42,run,9.73,0.07912891801080302,-0.3822022592838503,0.47133407535826666,0.20703414511225143,7.390030238346003,0.12455403965470359,0.8222146059675621,0.042490118577075096,1338408.4894900038,293,301,7084,928.0,818.0,110.0,0.0,0.8814655172413793,0.11853448275862069,0.0,214.0,0.0,0.0,0.0,,,,,0.34432813548875085,-0.2409765224306426,0.16614355959594662,0.12480222588980627,,,,
val,B1_T4_G2,B1,T4,G2,backup,S3,E1,10,20,42,run,9.73,0.0647443829436094,-0.2908558778769921,0.419542919027429,0.22259953423045797,7.684801973003123,0.15645713353865762,0.8125074178471098,0.04376058723884811,1271399.4696327543,302,310,7084,928.0,818.0,110.0,0.0,0.8814655172413793,0.11853448275862069,0.0,207.0,31.0,12.0,0.0,,,,,0.34432813548875085,-0.13924266161713073,0.053001281905026065,0.04343909351621611,,,,
val,B2_T1_G1,B2,T1,G1,backup,S1,E1,10,20,42,run,9.6,0.06905162052031355,-0.21576809587049084,0.4798326283118866,0.32002701901656483,6.274975992625156,0.12371629905172896,0.6155328154872974,0.035431959345002824,1291198.1040092525,249,251,7084,928.0,629.0,0.0,299.0,0.677801724137931,0.0,0.32219827586206895,131.0,0.0,0.0,0.0,,,,,0.058981789893000514,0.17837773316275518,0.16537747091025823,-0.11212210833637148,,,,
val,B2_T1_G2,B2,T1,G2,backup,S1,E1,10,20,42,run,9.58,0.009936645872879346,-0.23431170447528638,0.1450996623218173,0.04240780841542381,7.189235866076849,0.4596236877002911,0.5566122341960049,0.04009034443817053,1038570.1890810019,282,284,7084,928.0,629.0,0.0,299.0,0.677801724137931,0.0,0.32219827586206895,128.0,91.0,424.0,0.0,,,,,0.0014986843897504265,0.033419161399492525,0.12174529450540095,-0.1054292308860908,,,,
